ID,pause_trigger,word_score_warriner,rt,offset_img,word,delay_frames_after,correct_resp,scan day,onset_word,key_t,no,duration_measured_word,delay_frames_before,age,session,word_score_pc,word_trigger,onset_img,word_label,gender,response,img_trigger,condition,pause_trigger_t,offset_word,img,duration_measured_img,duration_frames
HSS,41,5.44,-4.446859400020912,449.07052920002025,bridge,180,1,Wednesday,442.0589664999861,443.9401965000434,45,0.6965710000367835,336,22,1,0.1935892361901769,13,448.3870559000643,neu,female,b,21,faceWord_exp,443.75591210008133,442.7555375000229,image_stim_p.png,0.6834732999559492,42
HSS,32,4.65,-4.902792899985798,459.07034450001083,diplomat,180,0,Wednesday,452.0742251999909,453.4901777000632,46,0.6954977000132203,336,22,1,0.13451130194660302,12,458.392970600049,neg,female,b,22,faceWord_exp,453.77084470004775,452.7697229000041,image_stim_n.png,0.6773738999618217,42
HSS,41,5.14,-3.0365446999203414,469.0691454000771,spatula,180,0,Wednesday,462.0726840000134,465.35439930006396,47,0.6963956999825314,336,22,1,-0.18281188470513854,13,468.3909439999843,neu,female,y,21,faceWord_exp,463.7697814999847,462.7690796999959,image_stim_p.png,0.6782014000928029,42
HSS,31,7.68,-5.675992400036193,479.1153346000938,new,180,1,Wednesday,472.0719107000623,472.75273589999415,48,0.695503499940969,336,22,1,-1.2313279950095668,11,478.42872830003034,pos,female,b,21,faceWord_exp,473.7696674000472,472.76741420000326,image_stim_p.png,0.6866063000634313,42
HSS,42,5.41,-2.4535994000034407,486.5153533000266,school,336,0,Wednesday,482.120420100051,483.3841422999976,49,0.6950125999283046,180,22,1,0.26215401176465297,13,485.83774170000106,neu,female,b,22,faceWord_exp,483.81822450004984,482.8154326999793,image_stim_n.png,0.677611600025557,42
HSS,31,6.35,-2.6369983999757096,496.51480270002503,sled,336,1,Wednesday,492.1173611000413,493.20063390000723,50,0.6962877999758348,180,22,1,-1.9273821271493088,11,495.83763229998294,pos,female,b,21,faceWord_exp,493.8171178000048,492.81364890001714,image_stim_p.png,0.6771704000420868,42
HSS,41,5.8,-4.354083099984564,509.1312164000701,rocket,180,0,Wednesday,502.1171582000097,504.09822120005265,51,0.6979207000695169,336,22,1,-0.17528733847197087,13,508.4523043000372,neu,female,y,21,faceWord_exp,503.8139592000516,502.81507890007924,image_stim_p.png,0.6789121000329033,42
HSS,32,3.08,-2.125265600043349,516.5453599999892,aggressive,336,1,Wednesday,512.132775700069,513.728586900048,52,0.6961493999697268,180,22,1,2.166851165767892,12,515.8538525000913,neg,female,y,22,faceWord_exp,513.8294744000304,512.8289251000388,image_stim_n.png,0.6915074998978525,42
HSS,42,5.8,-1.637271499959752,526.5436690000352,tomato,336,0,Wednesday,522.1491400999948,524.2293830000563,53,0.6958949000108987,180,22,1,-1.3575770021145472,13,525.866654500016,neu,female,b,22,faceWord_exp,523.8452392000472,522.8450350000057,image_stim_n.png,0.6770145000191405,42
HSS,41,5.05,-0.4236556999385357,536.5597414000658,fence,336,1,Wednesday,532.147687699995,535.4428719000425,54,0.6947800000198185,180,22,1,0.3759356543037889,13,535.866527599981,neu,female,b,21,faceWord_exp,533.8435609000735,532.8424677000148,image_stim_p.png,0.6932138000847772,42
HSS,42,5.73,-2.7949896999634802,546.6080570000922,field,336,0,Wednesday,542.162069400074,543.1257282000734,55,0.6963715999154374,180,22,1,-0.9990759838186469,13,545.9207179000368,neu,female,b,22,faceWord_exp,543.8589158999966,542.8584409999894,image_stim_n.png,0.6873391000553966,42
HSS,31,6.15,-2.6439974000677466,556.6734620000934,plum,336,1,Wednesday,552.2095222000498,553.3409664999926,56,0.697615799959749,180,22,1,-1.1648995537800455,11,555.9849639000604,pos,female,b,21,faceWord_exp,553.907768300036,552.9071380000096,image_stim_p.png,0.6884981000330299,42
HSS,32,4.8,-4.199441500008106,569.28849549999,mouse,180,1,Wednesday,562.2761581999948,564.4077324999962,57,0.6973858000710607,336,22,1,1.5906822936049958,12,568.6071740000043,neg,female,y,22,faceWord_exp,563.9731596000493,562.9735440000659,image_stim_n.png,0.6813214999856427,42
HSS,31,6.85,-5.724291399936192,579.3046789000509,moral,180,1,Wednesday,572.2908924000803,572.8893518000841,58,0.6968402999918908,336,22,1,-1.1443669013398097,11,578.6136432000203,pos,female,b,21,faceWord_exp,573.9883426000597,572.9877327000722,image_stim_p.png,0.6910357000306249,42
HSS,31,6.36,-2.1573635999811813,586.7189354000147,boat,336,1,Wednesday,582.3068487000419,583.8705139000667,59,0.6955037999432534,180,22,1,-1.0613549170130714,11,586.0278775000479,pos,female,b,21,faceWord_exp,584.00287690002,583.0023524999851,image_stim_p.png,0.691057899966836,42
HSS,31,6.45,-4.921147700049914,599.3675304000499,pie,180,1,Wednesday,592.3232888000784,593.769615199999,60,0.694109599920921,336,22,1,-2.2727319315779937,11,598.6907629000489,pos,female,b,21,faceWord_exp,594.0189445000142,593.0173983999994,image_stim_p.png,0.6767675000010058,42
