pause_trigger,duration_measured_img,age,response,pause_trigger_t,ID,img,offset_word,word_score_pc,scan day,rt,correct_resp,duration_frames,session,delay_frames_after,onset_img,word_score_warriner,gender,offset_img,no,delay_frames_before,word_trigger,onset_word,img_trigger,word_label,word,condition,duration_measured_word,key_t
32,0.6813035999657586,24,y,362.92176080000354,clem,image_stim_n.png,361.92159109999193,3.6887696102955196,Monday,0.4656912999926135,1,42,3,336,364.9893599000061,2.81,male,365.67066349997185,37,180,12,361.22381960001076,22,neg,malice,faceWord_exp,0.6977714999811724,365.4550511999987
31,0.6824041999643669,24,b,372.9692976999795,clem,image_stim_p.png,371.969104400021,-1.728066945394655,Monday,1.0156693999888375,1,42,3,180,377.6018324000179,6.84,male,378.28423659998225,38,336,11,371.2711727999849,21,pos,computer,faceWord_exp,0.6979316000360996,378.6175018000067
32,0.6718745999969542,24,y,382.9833558999817,clem,image_stim_n.png,381.9833060000092,2.1987551193617842,Monday,0.6557085000094958,1,42,3,336,385.0272027999745,4.59,male,385.69907739997143,39,180,12,381.2853748999769,22,neg,volcano,faceWord_exp,0.6979311000322923,385.68291129998397
42,0.6815699999569915,24,y,392.99771039996995,clem,image_stim_n.png,391.9975526999915,0.30770997164376424,Monday,0.44843499996932223,1,42,3,180,397.6647755000158,5.73,male,398.3463454999728,40,336,13,391.2998428000137,22,neu,reality,faceWord_exp,0.6977098999777809,398.11321049998514
41,0.6836014000000432,24,b,403.0453483000165,clem,image_stim_p.png,402.04513859999133,0.07332602516344529,Monday,0.4841395999537781,1,42,3,180,407.6599904000177,5.7,male,408.34359180001775,41,336,13,401.3475655000075,21,neu,jungle,faceWord_exp,0.6975730999838561,408.1441299999715
42,0.6851104000234045,24,y,413.04290110000875,clem,image_stim_n.png,412.0427055999753,-0.4971407339658378,Monday,0.46900450001703575,1,42,3,336,415.05664279998746,5.68,male,415.74175320001086,42,180,13,411.34489399997983,22,neu,cafeteria,faceWord_exp,0.6978115999954753,415.5256473000045
31,0.6762027000077069,24,b,423.04037569998764,clem,image_stim_p.png,422.04032859997824,-2.484088237918995,Monday,0.4099763000267558,1,42,3,336,425.0965470999945,7.23,male,425.7727498000022,43,180,11,421.34249010001076,21,pos,butterfly,faceWord_exp,0.6978384999674745,425.50652340002125
32,0.6736773999873549,24,y,433.0712673999951,clem,image_stim_n.png,432.07109529996524,3.4172209593162717,Monday,0.4741663999739103,1,42,3,336,435.1132675000117,3.4,male,435.78694489999907,44,180,12,431.3733134000213,22,neg,delirium,faceWord_exp,0.6977818999439478,435.5874338999856
32,0.6763354000286199,24,y,443.08553510002093,clem,image_stim_n.png,442.08535449998453,0.7962654471128737,Monday,0.5436399999889545,1,42,3,180,447.7573974999832,4.57,male,448.4337329000118,45,336,12,441.387836400012,22,neg,reporter,faceWord_exp,0.6975180999725126,448.30103749997215
31,0.6859352000174113,24,b,453.13304440001957,clem,image_stim_p.png,452.1328558999812,-1.8894778219780863,Monday,0.5031256999936886,1,42,3,336,455.1460333999712,7.0,male,455.8319685999886,46,180,11,451.43508520000614,21,pos,coffee,faceWord_exp,0.6977706999750808,455.6491590999649
31,0.6861121999681927,24,b,463.13059559999965,clem,image_stim_p.png,462.13045619998593,-1.4443598905895143,Monday,0.5533285000128672,1,42,3,180,467.7427921000053,7.3,male,468.4289042999735,47,336,11,461.4329799999832,21,pos,raspberry,faceWord_exp,0.6974762000027113,468.2961206000182
32,0.682909999974072,24,y,473.1281564999954,clem,image_stim_n.png,472.1280394999776,0.041184453360586966,Monday,0.5667215000139549,1,42,3,336,475.1442787999986,4.6,male,475.82718879997265,48,180,12,471.43015929998364,22,neg,cabbage,faceWord_exp,0.6978801999939606,475.71100030001253
