offset_img,pause_trigger_t,word_score_warriner,age,onset_word,key_t,ID,session,word_score_pc,condition,word_trigger,onset_img,offset_word,gender,duration_measured_img,pause_trigger,duration_frames,delay_frames_after,word,scan day,rt,word_label,correct_resp,no,delay_frames_before,response,duration_measured_word,img,img_trigger
225.5539215140161,222.84423483797582,2.76,23,221.15095257299254,225.5235173800029,1,4,3.803034067475641,faceWord_exp,12,224.86649250198388,221.84607168997172,female,0.6874290120322257,32,42,336,flood,Monday,0.6570248780190013,neg,1,23,180,y,0.6951191169791855,image_stim_n.png,22
235.56374421401415,232.83753493597033,3.52,23,231.14418025297346,235.7176082219812,1,4,3.668156535681199,faceWord_exp,12,234.86067390302196,231.83935456897598,female,0.7030703109921888,32,42,336,battle,Monday,0.8569343189592473,neg,1,24,180,y,0.6951743160025217,image_stim_n.png,22
248.1674587680027,242.84708180098096,2.53,23,241.1543642670149,248.0703390489798,1,4,4.5355840269859025,faceWord_exp,12,247.46393579198048,241.8488671510131,female,0.7035229760222137,32,42,180,torment,Monday,0.6064032569993287,neg,1,25,336,y,0.6945028839982115,image_stim_n.png,22
258.16047404299024,252.85685916000511,5.43,23,251.16263173497282,258.08167056099046,1,4,-0.7774272008663468,faceWord_exp,13,257.4716312980163,251.85865329497028,female,0.6888427449739538,42,42,180,theme,Monday,0.6100392629741691,neu,1,26,336,y,0.6960215599974617,image_stim_n.png,22
265.5599080239772,262.8501181169995,6.32,23,261.15714710002067,265.56211810198147,1,4,-1.3206920491180312,faceWord_exp,11,264.87172980600735,261.851752675022,female,0.6881782179698348,31,42,336,harmonica,Monday,0.6903882959741168,pos,0,27,180,y,0.6946055750013329,image_stim_p.png,21
275.5694869310246,272.8432314469828,3.57,23,271.1503038259689,275.7233308450086,1,4,2.8314410724962364,faceWord_exp,12,274.8679242079961,271.8449737820192,female,0.7015627230284736,32,42,336,denial,Monday,0.8554066370124929,neg,1,28,180,y,0.6946699560503475,image_stim_n.png,22
285.5791086559766,282.8527617640211,6.53,23,281.16694857698167,285.7316745930002,1,4,-1.7974288604529352,faceWord_exp,11,284.876213880023,281.85458354098955,female,0.7028947759536095,31,42,336,bonfire,Monday,0.8554607129772194,pos,1,29,180,b,0.6876349640078843,image_stim_p.png,21
295.5888883700245,292.86254510702565,5.67,23,291.1721269140253,295.5607198799844,1,4,0.4395766978022416,faceWord_exp,13,294.8863254219759,291.8642611299874,female,0.7025629480485804,41,42,336,red,Monday,0.6743944580084644,neu,1,30,180,b,0.6921342159621418,image_stim_p.png,21
308.192592145002,302.8723666439764,7.23,23,301.1790661870036,308.01187028200366,1,4,-1.17416436554964,faceWord_exp,11,307.49125678197015,301.87397530302405,female,0.7013353630318306,31,42,180,bay,Monday,0.5206135000335053,pos,1,31,336,b,0.6949091160204262,image_stim_p.png,21
315.5916837960249,312.8821904580109,4.83,23,311.18854385399027,315.4281096190098,1,4,0.060511318752979076,faceWord_exp,12,314.90522471797885,311.883894418017,female,0.6864590780460276,32,42,336,pig,Monday,0.5228849010309204,neg,1,32,180,y,0.6953505640267394,image_stim_n.png,22
328.1953449770226,322.87511454802006,2.55,23,321.18218518898357,328.21691827999894,1,4,3.9974740190684885,faceWord_exp,12,327.49189048301196,321.87712513498263,female,0.7034544940106571,32,42,180,accident,Monday,0.7250277969869785,neg,1,33,336,y,0.6949399459990673,image_stim_n.png,22
338.2048338429886,332.88494429097045,6.71,23,331.1920620779856,338.0916749779717,1,4,-1.301667818567906,faceWord_exp,11,337.50650445499923,331.88667058298597,female,0.6983293879893608,31,42,180,bicycle,Monday,0.5851705229724757,pos,0,34,336,y,0.6946085050003603,image_stim_p.png,21
