word_trigger,delay_frames_before,duration_measured_word,response,duration_frames,gender,onset_word,scan day,delay_frames_after,age,no,img,word_score_pc,duration_measured_img,pause_trigger,ID,session,offset_img,key_t,word,rt,correct_resp,onset_img,offset_word,img_trigger,word_label,word_score_warriner,pause_trigger_t,condition
12,336,0.6921542540003429,l,42,female,201.83776432200102,Wednesday,180,20,21,image_stim_n.png,0.42679466080263373,0.701799360998848,32,jules,4,208.86598487899755,208.7178802060007,zone,0.5536946880019968,0,208.1641855179987,202.52991857600136,22,neg,4.75,203.53092338399438,faceWord_exp
12,336,0.696257922994846,l,42,female,211.87177231399983,Wednesday,180,20,22,image_stim_n.png,-0.3663992490442602,0.7050721739942674,32,jules,4,218.90443963899452,218.838669783996,expensive,0.6393023189957603,0,218.19936746500025,212.56803023699467,22,neg,3.36,213.56901745699724,faceWord_exp
13,336,0.6968141899997136,l,42,female,221.909286778995,Wednesday,180,20,23,image_stim_n.png,0.1872293205875,0.7050067800009856,42,jules,4,228.94245312600106,228.72793152999657,elevator,0.49048518399649765,0,228.23744634600007,222.60610096899472,22,neu,5.95,223.6071307979946,faceWord_exp
11,336,0.6972358359998907,k,42,female,231.94698363699717,Wednesday,180,20,24,image_stim_p.png,-1.426145970237633,0.7049771189995226,31,jules,4,238.98053204499593,238.79980749699462,lust,0.5242525709982147,0,238.2755549259964,232.64421947299707,21,pos,6.26,233.64520204099972,faceWord_exp
12,180,0.6966801029993803,l,42,female,241.9856011390002,Wednesday,336,20,25,image_stim_n.png,0.19555716741692625,0.7051898310019169,32,jules,4,246.4173468959998,246.15352768199955,majority,0.4413706170016667,0,245.71215706499788,242.6822812419996,22,neg,4.95,243.6833216369996,faceWord_exp
12,336,0.6967959309986327,l,42,female,252.0235748549967,Wednesday,180,20,26,image_stim_n.png,4.5355840269859025,0.7049704470045981,32,jules,4,259.0567142910004,258.8078292259961,torment,0.45608538200031035,0,258.3517438439958,252.72037078599533,22,neg,2.53,253.72139495900046,faceWord_exp
12,336,0.6972663209962775,l,42,female,262.0612254189982,Wednesday,180,20,27,image_stim_n.png,-0.10198134801944247,0.7048882469971431,32,jules,4,269.0947818479981,268.94725633199414,saw,0.5573627309931908,0,268.38989360100095,262.7584917399945,22,neg,4.16,263.75948095799686,faceWord_exp
11,180,0.6973785709997173,l,42,female,272.0991884429968,Wednesday,336,20,28,image_stim_p.png,-1.17416436554964,0.7070753160005552,31,jules,4,276.5316095109956,276.3662320929943,bay,0.5416978979992564,1,275.82453419499507,272.79656701399654,21,pos,7.23,273.79754551699443,faceWord_exp
11,336,0.6944240910015651,k,42,female,282.14020639999944,Wednesday,180,20,29,image_stim_p.png,-3.0311112754680245,0.7012378770014038,31,jules,4,289.1709846859958,288.9904082159992,peace,0.520661407004809,0,288.4697468089944,282.834630491001,21,pos,7.75,283.8356802709968,faceWord_exp
13,180,0.6967546450032387,l,42,female,292.1759796499973,Wednesday,336,20,30,image_stim_n.png,-2.547043884761341,0.7052533789974404,42,jules,4,296.6078447569962,296.4601656619998,circus,0.5575742840010207,0,295.90259137799876,292.87273429500055,22,neu,5.85,293.87308699699497,faceWord_exp
13,336,0.6971709779973025,k,42,female,302.21367832100077,Wednesday,180,20,31,image_stim_p.png,0.4398740830446768,0.7048072870020405,41,jules,4,309.2471520679974,309.099821541,hall,0.5574767600046471,0,308.54234478099534,302.9108492989981,21,neu,5.89,303.91198047699436,faceWord_exp
13,180,0.6972489899999346,k,42,female,312.25168680799834,Wednesday,336,20,32,image_stim_p.png,0.3545861367636661,0.7049765990013839,41,jules,4,316.68399411800056,316.60218700599944,put,0.6231694870002684,0,315.97901751899917,312.9489357979983,21,neu,5.09,313.9503483679946,faceWord_exp
13,180,0.6965933910032618,k,42,female,322.29042587399454,Wednesday,336,20,33,image_stim_p.png,0.18094025084207666,0.7049289290007437,41,jules,4,326.721979721995,326.6583761919974,journalist,0.641325399003108,0,326.01705079299427,322.9870192649978,21,neu,5.3,323.9880589989989,faceWord_exp
11,336,0.6966786600023624,k,42,female,332.3284035859979,Wednesday,180,20,34,image_stim_p.png,-2.411716547027706,0.7036340459962958,31,jules,4,339.3601269899955,339.1466299449967,flower,0.4901370009974926,0,338.6564929439992,333.02508224600024,21,pos,7.3,334.0261338519995,faceWord_exp
