img,duration_measured_word,word_label,response,ID,delay_frames_before,age,no,gender,offset_img,scan day,word_score_warriner,onset_img,duration_measured_img,duration_frames,pause_trigger,rt,pause_trigger_t,condition,session,key_t,delay_frames_after,word_score_pc,offset_word,onset_word,img_trigger,word_trigger,correct_resp,word
image_stim_n.png,0.8617316309828311,neg,y,5,336,22,32,female,341.87114439404104,Monday,4.65,341.1676335190423,0.7035108749987558,42,32,0.7567241049837321,336.53857230592985,faceWord_exp,1,341.924357624026,180,0.13451130194660302,335.50577832595445,334.6440466949716,22,12,1,diplomat
image_stim_p.png,0.6939975810237229,neu,b,5,336,22,33,female,351.90433030796703,Monday,5.73,351.2007047269726,0.7036255809944123,42,41,0.7247875119792297,346.5727783469483,faceWord_exp,1,351.92549223895185,180,-0.9990759838186469,345.5712243639864,344.8772267829627,21,13,1,field
image_stim_p.png,0.6941211150260642,pos,b,5,336,22,34,female,362.13975923496764,Monday,7.09,361.23400877893437,0.9057504560332745,42,31,0.9098614930408075,356.60484659997746,faceWord_exp,1,362.1438702719752,180,-1.7483058493195842,355.6044252499705,354.91030413494445,21,11,1,woman
image_stim_p.png,0.6946099639171734,pos,b,5,180,22,35,female,372.1894902930362,Monday,8.0,371.152676285943,1.0368140070931986,42,31,0.6881520140450448,368.4381996029988,faceWord_exp,1,371.84082829998806,336,-2.40140153221556,367.0376734789461,366.3430635150289,21,11,1,love
image_stim_p.png,0.693840139079839,neu,b,5,336,22,36,female,384.9538729400374,Monday,5.05,384.25045812595636,0.703414814081043,42,41,0.9921294830273837,379.62110517104156,faceWord_exp,1,385.24258760898374,180,-1.0601571884744718,378.62079740304034,377.9269572639605,21,13,1,fiddle
image_stim_n.png,0.693649242981337,neg,y,5,180,22,37,female,392.3867104219971,Monday,3.63,391.684095241013,0.7026151809841394,42,32,0.6236353919375688,389.6545871410053,faceWord_exp,1,392.30773063295055,336,3.6605330306018913,388.6540101399878,387.96036089700647,22,12,1,tornado
image_stim_p.png,0.6908517639385536,neu,b,5,180,22,38,female,402.4202905939892,Monday,5.67,401.719643488992,0.7006471049971879,42,41,0.5547468130243942,399.68772940395866,faceWord_exp,1,402.2743903020164,336,-0.9222259722889368,398.68725395097863,397.9964021870401,21,13,1,beer
image_stim_p.png,0.6947046490386128,neu,b,5,336,22,39,female,415.05342129594646,Monday,5.8,414.35001001902856,0.7034112769179046,42,41,0.6575205059489235,409.720955236,faceWord_exp,1,415.0075305249775,180,-1.3575770021145472,408.72044830198865,408.02574365295004,21,13,1,tomato
image_stim_p.png,0.6947756509762257,pos,b,5,180,22,40,female,422.48623717203736,Monday,7.25,421.7832779319724,0.7029592400649562,42,31,0.7071476359851658,419.7543227649294,faceWord_exp,1,422.4904255679576,336,-2.3673221107876317,418.7545718100155,418.05979615903925,21,11,1,garden
image_stim_p.png,0.6948732769815251,pos,b,5,180,22,41,female,432.5201555789681,Monday,7.78,431.81657737097703,0.703578207991086,42,31,0.6912195719778538,429.7884881349746,faceWord_exp,1,432.5077969429549,336,-2.8785481086132907,428.7868428439833,428.0919695670018,21,11,1,kiss
image_stim_n.png,0.6922367219813168,neg,y,5,180,22,42,female,443.38864454999566,Monday,4.73,442.46583537198603,0.9228091780096292,42,32,0.8093176570255309,439.8205816670088,faceWord_exp,1,443.27515302901156,336,0.98843671158419,438.81978697993327,438.12755025795195,22,12,1,commander
image_stim_p.png,0.6937033539870754,pos,b,5,180,22,43,female,454.5388620849699,Monday,6.85,453.6327466199873,0.9061154649825767,42,31,0.7080202690558508,451.6036839529406,faceWord_exp,1,454.34076688904315,336,-1.1443669013398097,450.60313525702804,449.90943190304097,21,11,1,moral
image_stim_n.png,1.046004673000425,neg,y,5,180,22,44,female,466.5029799810145,Monday,4.21,465.79927421500906,0.7037057660054415,42,32,0.9395784849766642,463.703756264993,faceWord_exp,1,466.7388526999857,336,0.397042668763988,462.4694782400038,461.4234735670034,22,12,1,policeman
image_stim_p.png,0.6954728650161996,pos,b,5,336,22,45,female,480.1380012789741,Monday,6.36,479.26520829903893,0.8727929799351841,42,31,0.5587328979745507,473.9045639500255,faceWord_exp,1,479.8239411970135,180,-1.0613549170130714,472.90405553998426,472.20858267496806,21,11,1,boat
image_stim_n.png,0.6909346299944445,neg,y,5,180,22,46,female,487.6375519250287,Monday,3.05,486.86839776393026,0.7691541610984132,42,32,0.837867877096869,484.8365879069315,faceWord_exp,1,487.70626564102713,336,3.3697994362845387,483.83584986103233,483.1449152310379,22,12,1,envy
