no,ID,condition,img,word_score_pc,onset_img,duration_frames,pause_trigger,session,word_label,gender,pause_trigger_t,duration_measured_img,correct_resp,word_score_warriner,img_trigger,delay_frames_before,onset_word,offset_img,response,delay_frames_after,duration_measured_word,scan day,word_trigger,rt,offset_word,key_t,word,age
24,KKF,faceWord_exp,image_stim_p.png,-1.301667818567906,235.39979619299993,42,31,4,pos,female,233.37305861300047,0.6892701979995763,1,6.71,21,180,231.67764459200043,236.0890663909995,b,336,0.695165625998925,Monday,11,0.5582817310005339,232.37281021799936,235.95807792400046,bicycle,21
25,KKF,faceWord_exp,image_stim_n.png,-0.9031069202434168,248.01601864199984,42,42,4,neu,female,243.3902332509988,0.6900963079988287,1,5.84,22,336,241.69357580399992,248.70611494999866,y,180,0.695869049999601,Monday,13,0.6254881299992121,242.38944485399952,248.64150677199905,boy,21
26,KKF,faceWord_exp,image_stim_p.png,-1.3206920491180312,258.02879082099935,42,31,4,pos,female,253.40507174199956,0.6925021360002575,1,6.32,21,336,251.7080667680002,258.7212929569996,b,180,0.6970421539990639,Monday,11,0.5452396319997206,252.40510892199927,258.57403045299907,harmonica,21
27,KKF,faceWord_exp,image_stim_p.png,-1.7974288604529352,265.4482278489995,42,31,4,pos,female,263.4232997959989,0.690449345000161,1,6.53,21,180,261.72431988399876,266.1386771939997,b,336,0.6975154830015526,Monday,11,0.6103271339998173,262.4218353670003,266.05855498299934,bonfire,21
28,KKF,faceWord_exp,image_stim_n.png,-2.547043884761341,275.4724424019987,42,42,4,neu,female,273.4397957679994,0.7001787360004528,1,5.85,22,180,271.7438953740002,276.17262113799916,y,336,0.6956641519991535,Monday,13,0.5369824420013174,272.43955952599936,276.009424844,circus,21
29,KKF,faceWord_exp,image_stim_n.png,3.1835494020570807,285.4967589909993,42,32,4,neg,female,283.4717907209997,0.6924346699997841,1,3.17,22,180,281.77833027700035,286.1891936609991,y,336,0.6939466329986317,Monday,12,0.5461052970003948,282.472276909999,286.0428642879997,explosion,21
30,KKF,faceWord_exp,image_stim_n.png,0.18094025084207666,295.51788146800027,42,42,4,neu,female,293.4896094180003,0.7037259099997755,1,5.3,22,180,291.7967050339994,296.22160737800004,y,336,0.691111861000536,Monday,13,0.5899684199994226,292.4878168949999,296.1078498879997,journalist,21
31,KKF,faceWord_exp,image_stim_p.png,-2.1205664047688315,305.54876887799946,42,31,4,pos,female,303.5232647009998,0.6899128770000971,1,7.24,21,180,301.8263600999999,306.23868175499956,b,336,0.6956853209994733,Monday,11,0.5757970279992151,302.52204542099935,306.1245659059987,trust,21
32,KKF,faceWord_exp,image_stim_p.png,-2.8305869761860607,318.1648363000004,42,31,4,pos,female,313.5392285099988,0.690542178999749,1,6.67,21,336,311.84299360600016,318.85537847900014,b,180,0.694826077999096,Monday,11,0.2936534219988971,312.53781968399926,318.4584897219993,gratitude,21
33,KKF,faceWord_exp,image_stim_n.png,3.668156535681199,328.18226420300016,42,32,4,neg,female,323.55586514099923,0.6893938510002044,1,3.52,22,336,321.8595618199997,328.87165805400036,y,180,0.6955090890005522,Monday,12,0.542257986999175,322.5550709090003,328.72452218999933,battle,21
