gender,pause_trigger,duration_frames,duration_measured_img,session,word_score_warriner,key_t,img,word_score_pc,delay_frames_before,scan day,pause_trigger_t,onset_img,rt,word,delay_frames_after,offset_word,response,correct_resp,condition,age,offset_img,onset_word,word_label,duration_measured_word,ID,no,img_trigger,word_trigger
female,31,42,0.7024049999999988,2,6.8,379.5673545999998,image_stim_p.png,-1.926056195769395,336,Monday,373.8846405999975,378.5135432999996,1.053811300000234,fireworks,180,372.8839765999983,b,1,faceWord_exp,20,379.2159482999996,372.19390360000034,pos,0.6900729999979376,T1572,38,21,11
female,32,42,0.7028960999996343,2,4.54,386.51605429999836,image_stim_n.png,0.6502198887451732,180,Monday,383.9161585999973,385.944868999999,0.5711852999993425,office,336,382.9152983999993,y,1,faceWord_exp,20,386.64776509999865,382.221605499999,neg,0.6936929000003147,T1572,39,22,12
female,31,42,0.7022950999999011,2,7.0,396.530200899997,image_stim_p.png,-2.461915733068042,180,Monday,393.9471077999988,395.97686189999877,0.5533389999982319,embrace,336,392.94645989999844,y,0,faceWord_exp,20,396.67915699999867,392.25302720000036,pos,0.693432699998084,T1572,40,21,11
female,41,42,0.7028263000029256,2,5.29,406.64489329999924,image_stim_p.png,0.0657349158769076,180,Monday,403.97845679999955,406.00754459999735,0.637348700001894,camel,336,402.9777759999997,b,1,faceWord_exp,20,406.71037090000027,402.2842075999979,neu,0.6935684000018227,T1572,41,21,13
female,31,42,0.7024892000008549,2,6.4,416.6259470999976,image_stim_p.png,-1.7947555393350414,180,Monday,414.00977689999854,416.039128299999,0.5868187999985821,piano,336,413.00905989999956,b,1,faceWord_exp,20,416.74161749999985,412.3151961000003,pos,0.6938637999992352,T1572,42,21,11
female,32,42,0.7024300999983097,2,4.76,426.6572591999975,image_stim_n.png,3.561717315569441,180,Monday,424.0409538999993,426.0704694999986,0.5867896999989171,landslide,336,423.04063739999765,y,1,faceWord_exp,20,426.7728995999969,422.3470834,neg,0.6935539999976754,T1572,43,22,12
female,32,42,0.7024172000019462,2,4.43,439.38795689999824,image_stim_n.png,-0.14866519221167074,336,Monday,434.0721784999987,438.7011848999973,0.6867720000009285,van,180,433.071552399997,y,1,faceWord_exp,20,439.40360209999926,432.3766109999997,neg,0.6949413999973331,T1572,44,22,12
female,32,42,0.7037650000020221,2,4.8,446.8534123999998,image_stim_n.png,0.2623575316864496,180,Monday,444.1034433999994,446.1321027999984,0.7213096000014048,hoe,336,443.1030271999989,y,1,faceWord_exp,20,446.8358678000004,442.4080187999971,neg,0.6950084000018251,T1572,45,22,12
female,42,42,0.7023330000010901,2,5.03,456.6688404999986,image_stim_n.png,0.4272037094573085,180,Monday,454.1347738999975,456.164321799999,0.5045186999996076,scissors,336,453.1341982999984,y,1,faceWord_exp,20,456.8666548000001,452.440702099997,neu,0.6934962000013911,T1572,46,22,13
female,41,42,0.70239710000169,2,5.43,466.8158791999995,image_stim_p.png,-0.34443889393116306,180,Monday,464.16616149999754,466.1955033999984,0.6203758000010566,asparagus,336,463.16541080000025,b,1,faceWord_exp,20,466.8979005000001,462.4723751999991,neu,0.693035600001167,T1572,47,21,13
