pause_trigger,correct_resp,offset_word,word,word_score_warriner,img,word_trigger,duration_measured_img,onset_img,delay_frames_before,duration_frames,gender,rt,session,ID,delay_frames_after,scan day,word_score_pc,no,duration_measured_word,img_trigger,response,key_t,word_label,age,onset_word,offset_img,pause_trigger_t,condition
32,,383.0336788999848,denial,3.57,image_stim_n.png,12,0.6981936000520363,386.0716828999575,180,42,female,,4,Dolly,336,Monday,2.8314410724962364,39,0.6948056999826804,22,,,neg,23,382.3388732000021,386.76987650000956,384.0351887999568,faceWord_exp
31,1,393.074011699995,bonfire,6.53,image_stim_p.png,11,0.6922990999883041,398.70255099993665,336,42,female,0.42664720001630485,4,Dolly,180,Monday,-1.7974288604529352,40,0.6914926000172272,21,b,399.12919819995295,pos,23,392.3825190999778,399.39485009992495,394.0758693999378,faceWord_exp
31,1,403.09820409992244,lust,6.26,image_stim_p.png,11,0.6850410000188276,408.73314309993293,336,42,female,0.5024122999748215,4,Dolly,180,Monday,-1.426145970237633,41,0.6925804999191314,21,b,409.23555539990775,pos,23,402.4056236000033,409.41818409995176,404.0994577999227,faceWord_exp
31,1,413.12080879998393,truce,6.42,image_stim_p.png,11,0.6967321999836713,418.76288369996473,336,42,female,0.7309652999974787,4,Dolly,180,Monday,-1.6859102219357711,42,0.6930505000054836,21,b,419.4938489999622,pos,23,412.42775829997845,419.4596158999484,414.1216274999315,faceWord_exp
32,1,423.16161399998236,zone,4.75,image_stim_n.png,12,0.697048700065352,426.20035079994705,180,42,female,0.5646722000092268,4,Dolly,336,Monday,0.42679466080263373,43,0.6859776000492275,22,y,426.7650229999563,neg,23,422.47563639993314,426.8973995000124,424.1629964999156,faceWord_exp
32,1,433.2019766999874,pig,4.83,image_stim_n.png,12,0.6961566000245512,436.24028289993294,180,42,female,0.6133107000496238,4,Dolly,336,Monday,0.060511318752979076,44,0.6961393000092357,22,y,436.85359359998256,neg,23,432.5058373999782,436.9364394999575,434.2032734999666,faceWord_exp
31,1,443.2415388999507,bicycle,6.71,image_stim_p.png,11,0.6967543000355363,448.8827322999714,336,42,female,0.41448459995444864,4,Dolly,180,Monday,-1.301667818567906,45,0.6901579999830574,21,b,449.29721689992584,pos,23,442.5513808999676,449.57948660000693,444.2438155999407,faceWord_exp
41,1,453.28211759997066,door,5.43,image_stim_p.png,13,0.6989607999566942,456.31931339995936,180,42,female,0.5665401000296697,4,Dolly,336,Monday,0.37753019343780747,46,0.69123540003784,21,b,456.885853499989,neu,23,452.5908821999328,457.01827419991605,454.283377799904,faceWord_exp
32,1,463.33943589997943,accident,2.55,image_stim_n.png,12,0.6828628999646753,466.3755060000112,180,42,female,0.5674726999131963,4,Dolly,336,Monday,3.9974740190684885,47,0.7099183000391349,22,y,466.9429786999244,neg,23,462.6295175999403,467.0583688999759,464.34118119999766,faceWord_exp
42,1,473.3626925999997,theme,5.43,image_stim_n.png,13,0.695749600068666,479.00439479993656,336,42,female,0.5132853999966756,4,Dolly,180,Monday,-0.7774272008663468,48,0.692334400024265,22,y,479.51768019993324,neu,23,472.67035819997545,479.70014440000523,474.3650928999996,faceWord_exp
