onset_img,duration_measured_word,delay_frames_after,word,word_label,onset_word,rt,key_t,img_trigger,pause_trigger,gender,word_score_pc,duration_frames,no,word_trigger,word_score_warriner,offset_img,response,offset_word,age,session,img,ID,delay_frames_before,condition,scan day,pause_trigger_t,correct_resp,duration_measured_img
215.32222990697483,0.6947626519831829,336,stapler,neu,211.600345681014,0.6498921170132235,215.97212202398805,22,42,female,0.19443075193465506,42,22,13,5.25,216.01895353099098,y,212.2951083329972,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,213.2932222149684,1,0.6967236240161583
225.32844696601387,0.6950409940327518,336,whine,neg,221.60962362797,0.7393878449802287,226.0678348109941,22,32,female,3.0668244091236065,42,23,12,2.82,226.02959106100025,y,222.30466462200275,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,223.30305505398428,1,0.7011440949863754
235.33796811796492,0.6949921640334651,336,dead,neg,231.61871396796778,0.6699755200534128,236.00794363801833,22,32,female,4.0294120701769724,42,24,12,2.02,236.03914276399883,y,232.31370613200124,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,233.31191556400154,1,0.7011746460339054
245.3496776149841,0.6954108020290732,336,bed,pos,241.62909754697466,0.5517427790327929,245.9014203940169,21,31,female,-1.962809513975644,42,25,11,7.16,246.04815096699167,b,242.32450834900374,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,243.3217224709806,1,0.6984733520075679
255.3640228859731,0.69459381402703,336,ant,neg,251.63943089498207,0.679814396018628,256.0438372819917,22,32,female,1.5300907112092572,42,26,12,3.9,256.0582450579968,y,252.3340247090091,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,253.33234407601412,1,0.6942221720237285
267.9640480959788,0.6946439869934693,180,apricot,neu,261.64827663498,0.5700636670226231,268.5341117630014,22,42,female,-1.2450836009557775,42,27,13,5.95,268.6621340480051,y,262.34292062197346,23,5,image_stim_n.png,1,336,faceWord_exp,Monday,263.34128858696204,1,0.6980859520263039
277.97420932597015,0.6950098889647052,180,carrot,neu,271.65788434800925,0.5832542590214871,278.55746358499164,21,41,female,-0.32385553549685003,42,28,13,5.79,278.6717309060041,b,272.35289423697395,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,273.3510157359997,1,0.6975215800339356
285.4080114379758,0.7082039769738913,336,rum,neu,281.67094131500926,0.6005841540172696,286.00859559199307,21,41,female,-1.1343736111597311,42,29,13,5.57,286.1042976480094,b,282.37914529198315,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,283.377003467991,1,0.6962862100335769
295.41543942998396,0.6907030129805207,336,intellect,pos,291.698219391983,0.5846940749906935,296.00013350497466,21,31,female,-2.249771083793789,42,30,11,6.62,296.11358426400693,b,292.3889224049635,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,293.3872106730123,1,0.698144834022969
308.0146120970021,0.6949524880037643,180,theater,pos,301.70449115597876,0.8072234019637108,308.8218354989658,21,31,female,-1.8816288507581482,42,31,11,6.14,308.7166815379751,b,302.3994436439825,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,303.3976105619804,1,0.7020694409729913
318.0267787949997,0.6935360380448401,180,engineer,neu,311.71474450896494,0.7528298670076765,318.7796086620074,22,42,female,-0.41434578466507305,42,32,13,5.79,318.72757106099743,y,312.4082805470098,23,5,image_stim_n.png,1,336,faceWord_exp,Monday,313.4073839969933,1,0.7007922659977339
328.0378472619923,0.6951326479902491,180,book,pos,321.7229271439719,0.5520436890074052,328.5898909509997,21,31,female,-1.1429809241505904,42,33,11,7.05,328.73711327300407,b,322.41805979196215,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,323.4161109349807,1,0.6992660110117868
338.0447344330023,0.6955187960411422,180,bus,neu,331.733109615976,0.588015103014186,338.6327495360165,22,42,female,0.5156614996478043,42,34,13,5.12,338.7462696299772,y,332.42862841201713,23,5,image_stim_n.png,1,336,faceWord_exp,Monday,333.42676373699214,1,0.7015351969748735
348.05481447896454,0.6949897179729305,180,tea,pos,341.74331202101894,0.6871743600349873,348.74198883899953,21,31,female,-1.410303556989907,42,35,11,6.56,348.7557848059805,b,342.43830173899187,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,343.4362124769832,1,0.7009703270159662
355.4695269599906,0.6943010339746252,336,banker,neg,351.752823724004,0.6055157119990326,356.07504267198965,22,32,female,0.8708146708303101,42,36,12,4.89,356.1724187959917,y,352.4471247579786,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,353.4454495579703,1,0.7028918360010721
368.0756092829979,0.6945507290074602,180,dime,neu,361.7628891610075,0.6031344429939054,368.6787437259918,21,41,female,-0.8220066925000616,42,37,13,5.58,368.7755498230108,b,362.45743989001494,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,363.4549776960048,1,0.6999405400129035
