age,word_trigger,correct_resp,onset_word,response,session,ID,word_label,word,pause_trigger_t,gender,offset_word,word_score_warriner,no,img,offset_img,onset_img,condition,key_t,img_trigger,word_score_pc,duration_frames,rt,delay_frames_after,scan day,duration_measured_img,delay_frames_before,pause_trigger,duration_measured_word
22,12,1,382.0833903999883,y,2,AHJ,neg,perjury,383.77681890001986,male,382.77683079999406,2.95,39,image_stim_n.png,389.10621499997796,388.4049897000077,faceWord_exp,388.89100050000707,22,3.222893544100452,42,0.4860107999993488,180,Monday,0.7012252999702469,336,32,0.6934404000057839
22,13,1,392.11112279997906,b,2,AHJ,neu,highway,393.8045925999759,male,392.80419140000595,5.19,40,image_stim_p.png,396.53558789996896,395.8354865000001,faceWord_exp,396.2200228999718,21,0.650019808676411,42,0.38453639997169375,336,Monday,0.7001013999688439,180,41,0.6930686000268906
22,11,1,402.13891179999337,b,2,AHJ,pos,fireworks,403.8323004000122,male,402.8318971999688,6.8,41,image_stim_p.png,406.56318709999323,405.8604467000114,faceWord_exp,406.181395099964,21,-1.926056195769395,42,0.3209483999526128,336,Monday,0.7027403999818489,180,31,0.6929853999754414
22,12,1,412.16512650001096,y,2,AHJ,neg,jaw,413.8601413000142,male,412.85995519999415,4.41,42,image_stim_n.png,416.5913341999985,415.88852869998664,faceWord_exp,416.44211289996747,22,0.16339675594021513,42,0.5535841999808326,336,Monday,0.7028055000118911,180,32,0.6948286999831907
22,13,1,422.19417630002135,b,2,AHJ,neu,street,423.8877962999977,male,422.8875684000086,5.07,43,image_stim_p.png,426.6189667999861,425.9162413000013,faceWord_exp,426.4036444000085,21,0.3228926581020319,42,0.48740310000721365,336,Monday,0.7027254999848083,180,41,0.6933920999872498
22,12,1,432.22259059996577,y,2,AHJ,neg,landslide,433.91577329998836,male,432.915212199965,4.76,44,image_stim_n.png,436.6464936999837,435.94298950000666,faceWord_exp,436.44769649999216,22,3.561717315569441,42,0.5047069999855012,336,Monday,0.7035041999770328,180,32,0.6926215999992564
22,12,1,442.2491326999734,y,2,AHJ,neg,heavy,443.9432275000145,male,442.94286329997703,4.78,45,image_stim_n.png,449.2727331999922,448.5700511999894,faceWord_exp,448.9907196999993,22,1.3393636650983416,42,0.4206685000099242,180,Monday,0.7026820000028238,336,32,0.6937306000036187
22,11,1,452.27681630000006,b,2,AHJ,pos,luck,453.9708171999664,male,452.9711025999859,6.73,46,image_stim_p.png,459.30073670001,458.597099000006,faceWord_exp,459.05192469997564,21,-2.2291915044129413,42,0.4548256999696605,180,Monday,0.7036377000040375,336,31,0.6942862999858335
22,12,1,462.30571009998675,y,2,AHJ,neg,terrorist,463.99877479998395,male,462.99837950000074,2.35,47,image_stim_n.png,469.3281976999715,468.6250636000186,faceWord_exp,468.9295581000042,22,4.537930167489568,42,0.3044944999855943,180,Monday,0.7031340999528766,336,32,0.6926694000139832
22,12,1,472.33176309999544,y,2,AHJ,neg,plea,474.0265403999947,male,473.02624350000406,4.35,48,image_stim_n.png,476.7574217999936,476.05458799999906,faceWord_exp,476.5590007000137,22,2.166481281776448,42,0.5044127000146545,336,Monday,0.7028337999945506,180,32,0.6944804000086151
