word_score_warriner,duration_measured_word,delay_frames_after,gender,age,delay_frames_before,word_label,correct_resp,word,duration_measured_img,key_t,no,response,pause_trigger_t,offset_img,ID,img,word_trigger,scan day,img_trigger,pause_trigger,onset_word,condition,duration_frames,rt,session,onset_img,offset_word,word_score_pc
6.15,0.698543299920857,180,female,21,336,pos,,plum,0.6910573001950979,,35,,344.38782289996743,349.7512869001366,sha,image_stim_p.png,11,Monday,21,31,342.6840902999975,faceWord_exp,42,,1,349.0602295999415,343.38263359991834,-1.1648995537800455
7.09,0.6889828997664154,336,female,21,180,pos,,woman,0.6926277000457048,,36,,354.4507650998421,357.20020999992266,sha,image_stim_p.png,11,Monday,21,31,352.76072670007125,faceWord_exp,42,,1,356.50758229987696,353.44970959983766,-1.7483058493195842
4.23,0.6881095999851823,336,female,21,180,neg,1,alligator,0.6914860997349024,366.90087069990113,37,y,364.49922259990126,367.2657838999294,sha,image_stim_n.png,12,Monday,22,32,362.8101345002651,faceWord_exp,42,0.3265728997066617,1,366.5742978001945,363.4982441002503,1.9014187675556817
6.37,0.6896039000712335,180,female,21,336,pos,,wealthy,0.6891801003366709,,38,,374.56437380006537,379.9308306002058,sha,image_stim_p.png,11,Monday,21,31,372.8743406999856,faceWord_exp,42,,1,379.24165049986914,373.56394460005686,-1.8465637543339983
5.67,0.6994640999473631,180,female,21,336,neu,1,beer,0.6926497998647392,389.61557610007003,39,b,384.63069060025737,389.99678779998794,sha,image_stim_p.png,13,Monday,21,41,382.92970129987225,faceWord_exp,42,0.3114380999468267,1,389.3041380001232,383.6291653998196,-0.9222259722889368
5.89,0.6991126998327672,336,female,21,180,neu,1,famous,0.6925218999385834,397.2968987999484,40,y,394.69649770017713,397.4453186998144,sha,image_stim_n.png,13,Monday,22,42,392.99660539999604,faceWord_exp,42,0.5441020000725985,1,396.7527967998758,393.6957180998288,-0.8050043475134195
4.95,0.6842163996770978,180,female,21,336,neg,1,sandpaper,0.6852561999112368,409.7278192001395,41,y,404.7438171999529,410.09220970002934,sha,image_stim_n.png,12,Monday,22,32,403.0587988002226,faceWord_exp,42,0.32086570002138615,1,409.4069535001181,403.7430151998997,0.5814463879932942
4.23,0.6822258997708559,336,female,21,180,neg,1,jury,0.6916255997493863,417.37886890023947,42,y,414.79285989981145,417.5591851999052,sha,image_stim_n.png,12,Monday,22,32,413.1100081000477,faceWord_exp,42,0.511309300083667,1,416.8675596001558,413.79223399981856,1.7036686386059527
5.81,0.6898755999282002,336,female,21,180,neu,1,whale,0.6917195999994874,427.41008599987254,43,y,424.85807120008394,427.6076977001503,sha,image_stim_n.png,13,Monday,22,42,423.167610200122,faceWord_exp,42,0.4941078997217119,1,426.9159781001508,423.8574858000502,-0.8455595735963974
6.14,0.689302199985832,336,female,21,180,pos,1,limousine,0.6850928999483585,437.2918871999718,44,b,434.9065590002574,437.65565130021423,sha,image_stim_p.png,11,Monday,21,31,433.2168584000319,faceWord_exp,42,0.3213287997059524,1,436.9705584002659,433.90616060001776,-1.4783411251765788
