scan day,condition,word_score_pc,ID,pause_trigger,duration_measured_word,img_trigger,offset_word,correct_resp,delay_frames_before,word_label,onset_img,gender,key_t,img,word_score_warriner,age,onset_word,delay_frames_after,pause_trigger_t,word,duration_frames,no,word_trigger,session,offset_img,response,duration_measured_img,rt
Monday,faceWord_exp,-1.1429809241505904,ELAS,31,0.6935250959941186,21,342.93515701504657,1,336,pos,348.5681116460473,female,348.95631152100395,image_stim_p.png,7.05,22,342.24163191905245,180,343.93604019400664,book,42,35,11,5,349.2692389830481,b,0.7011273370007984,0.38819987495662645
Monday,faceWord_exp,-1.6872526925643307,ELAS,31,0.6932168619823642,21,352.9692071340396,0,336,pos,358.60246344900224,female,359.0577580220415,image_stim_p.png,7.51,22,352.27599027205724,180,353.96988700603833,cash,42,36,11,5,359.30289950501174,y,0.7004360560094938,0.4552945730392821
Monday,faceWord_exp,-1.2397352233188434,ELAS,31,0.6937670499901287,21,363.0032403600053,1,180,pos,366.03598825400695,female,366.50679914001375,image_stim_p.png,7.25,22,362.30947331001516,336,364.0039604270132,wit,42,37,11,5,366.7368501810124,b,0.7008619270054623,0.4708108860068023
Monday,faceWord_exp,-1.8816288507581482,ELAS,31,0.6923738900222816,21,373.0372188180336,1,180,pos,376.0697656040429,female,376.72443784802454,image_stim_p.png,6.14,22,372.3448449280113,336,374.03794899600325,theater,42,38,11,5,376.77084491500864,b,0.7010793109657243,0.6546722439816222
Monday,faceWord_exp,0.2374341841762725,ELAS,41,0.692823632969521,21,383.07125155901304,1,180,neu,386.1040061470121,female,386.5582835760433,image_stim_p.png,5.59,22,382.3784279260435,336,384.07211486203596,number,42,39,13,5,386.8048597580055,b,0.700853610993363,0.45427742903120816
Monday,faceWord_exp,0.002541127499528235,ELAS,42,0.6888286349712871,22,393.10523640102474,1,336,neu,398.7410497510573,female,399.2769507840276,image_stim_n.png,5.84,22,392.41640776605345,180,394.1063602550421,umbrella,42,40,13,5,399.4390517830034,y,0.6980020319460891,0.5359010329702869
Monday,faceWord_exp,-2.1428059827362134,ELAS,31,0.6942506990162656,21,403.13957273704,1,180,pos,406.1714414320304,female,406.6943031530245,image_stim_p.png,6.85,22,402.44532203802373,336,404.1403820870328,awe,42,41,11,5,406.87299538304796,b,0.7015539510175586,0.5228617209941149
Monday,faceWord_exp,0.08756588783899029,ELAS,41,0.6917806039564312,21,413.1733801650116,1,180,neu,416.20646020403365,female,416.6273154510418,image_stim_p.png,5.61,22,412.4815995610552,336,414.1740407340112,mushroom,42,42,13,5,416.90640715003246,b,0.6999469459988177,0.4208552470081486
Monday,faceWord_exp,3.0668244091236065,ELAS,32,0.6929556450340897,22,423.20737799303606,1,336,neg,428.84008181502577,female,429.24478759104386,image_stim_n.png,2.82,22,422.514422348002,180,424.20810882601654,whine,42,43,12,5,429.5410918810521,y,0.7010100660263561,0.40470577601809055
Monday,faceWord_exp,0.3309936143559913,ELAS,42,0.6921857330016792,22,433.2415056160535,0,336,neu,438.8744656110066,female,439.34600670001237,image_stim_n.png,5.11,22,432.5493198830518,180,434.24212482903386,newspaper,42,44,13,5,439.5745376730338,b,0.700072062027175,0.4715410890057683
Monday,faceWord_exp,-0.2527650722021685,ELAS,41,0.6932623150059953,21,443.2754561120528,1,336,neu,448.9082913720049,female,449.49643635901157,image_stim_p.png,5.44,22,442.5821937970468,180,444.27615742903436,arm,42,45,13,5,449.609196474019,b,0.700905102014076,0.5881449870066717
Monday,faceWord_exp,-0.7502239645266248,ELAS,42,0.6925336680142209,22,453.30942972004414,1,336,neu,458.94237865903415,female,459.34719831403345,image_stim_n.png,5.28,22,452.6168960520299,180,454.31052898505004,ticket,42,46,13,5,459.6432254300453,y,0.700846771011129,0.40481965499930084
Monday,faceWord_exp,-1.7441234463665167,ELAS,31,0.6899143619812094,21,463.3435450870311,1,180,pos,466.3781061260379,female,466.91441856505116,image_stim_p.png,7.05,22,462.6536307250499,336,464.34456831100397,cherry,42,47,11,5,467.07774925103877,b,0.6996431250008754,0.5363124390132725
Monday,faceWord_exp,4.735833249102137,ELAS,32,0.6929077510139905,22,473.37756052502664,1,180,neg,476.4104239520384,female,476.93210583605105,image_stim_n.png,2.33,22,472.68465277401265,336,474.37851603503805,grief,42,48,12,5,477.11139838403324,y,0.7009744319948368,0.5216818840126507
Monday,faceWord_exp,2.9843905620469613,ELAS,32,0.6898880869848654,22,483.4115140030044,1,180,neg,486.44403301604325,female,487.1486502820044,image_stim_n.png,3.12,22,482.72162591601955,336,484.41226859000744,mosquito,42,49,12,5,487.144532876031,y,0.7004998599877581,0.7046172659611329
Monday,faceWord_exp,-2.641671297166366,ELAS,31,0.6969988089986145,21,493.44546128902584,1,180,pos,496.47803538601147,female,496.9832656890503,image_stim_p.png,8.0,22,492.74846248002723,336,494.44651573401643,peaceful,42,50,11,5,497.1794306820375,b,0.7013952960260212,0.505230303038843
Monday,faceWord_exp,-1.2194148821621404,ELAS,31,0.6923622640315443,21,503.4796129570459,1,336,pos,509.112240603019,female,509.6165872600395,image_stim_p.png,6.65,22,502.78725069301436,180,504.4805870660348,penguin,42,51,11,5,509.81358328904025,b,0.7013426860212348,0.5043466570205055
Monday,faceWord_exp,-2.625984580876632,ELAS,31,0.6927885570330545,21,513.5135533340508,1,336,pos,519.1458312680479,female,519.6672442610143,image_stim_p.png,7.64,22,512.8207647770178,180,514.5143831900205,spring,42,52,11,5,519.8474419760169,b,0.7016107079689391,0.5214129929663613
Monday,faceWord_exp,4.0294120701769724,ELAS,32,0.6932193740503863,22,523.5476125810528,1,180,neg,526.5792745640501,female,527.0518890120438,image_stim_n.png,2.02,22,522.8543932070024,336,524.5477687060484,dead,42,53,12,5,527.281357925036,y,0.7020833609858528,0.472614447993692
Monday,faceWord_exp,-1.1343736111597311,ELAS,41,0.6906109999981709,21,533.5816112290486,1,336,neu,539.2167939780047,female,539.6694378600223,image_stim_p.png,5.57,22,532.8910002290504,180,534.5826783970115,rum,42,54,13,5,539.9153660640004,b,0.6985720859956928,0.45264388201758265
Monday,faceWord_exp,1.399169263323496,ELAS,32,0.6931353450054303,22,543.6156489440473,0,180,neg,546.6478517409996,female,547.2367697180016,image_stim_n.png,4.65,22,542.9225135990418,336,544.6164508380461,army,42,55,12,5,547.3494450370199,b,0.7015932960202917,0.5889179770019837
Monday,faceWord_exp,-1.2450836009557775,ELAS,41,0.692823919991497,21,553.6496907620458,1,336,neu,559.2824498300324,female,559.8380216050427,image_stim_p.png,5.95,22,552.9568668420543,180,554.6505436250009,apricot,42,56,13,5,559.9837061590515,b,0.7012563290190883,0.5555717750103213
Monday,faceWord_exp,-1.4097678477610591,ELAS,42,0.6924397069960833,22,563.683855167008,1,180,neu,566.7159980410361,female,567.3386481900234,image_stim_n.png,5.7,22,562.9914154600119,336,564.6844878219999,mandolin,42,57,13,5,567.4175082840375,y,0.701510243001394,0.6226501489873044
Monday,faceWord_exp,2.2468136409924253,ELAS,32,0.6920287560205907,22,573.7178274870384,1,336,neg,579.3667275960324,female,579.9381218340131,image_stim_n.png,3.71,22,573.0257987310179,180,574.718430063047,ambulance,42,58,12,5,580.067864110053,y,0.701136514020618,0.5713942379807122
Monday,faceWord_exp,0.16108323717668446,ELAS,42,0.6931644309661351,22,583.7684412120143,1,336,neu,589.400944529043,female,590.0390075810137,image_stim_n.png,5.56,22,583.0752767810482,180,584.769224920019,desk,42,59,13,5,590.1022308100364,y,0.7012862809933722,0.6380630519706756
Monday,faceWord_exp,3.17672342877373,ELAS,32,0.6922356900176965,22,593.8026825010311,1,336,neg,599.4348525430541,female,599.9236387260025,image_stim_n.png,2.33,22,593.1104468110134,180,594.8032497240347,dangerous,42,60,12,5,600.1364649320021,y,0.7016123889479786,0.48878618294838816
