onset_word,duration_frames,duration_measured_img,offset_img,rt,pause_trigger,pause_trigger_t,word_label,word_score_pc,word_trigger,delay_frames_after,response,age,delay_frames_before,word_score_warriner,duration_measured_word,img_trigger,no,correct_resp,gender,img,ID,key_t,scan day,session,onset_img,condition,word,offset_word
417.94400189997396,42,1.009700500027975,428.37844770000083,3.2952413000166416,42,420.381948299997,neu,-0.8400509032218062,13,180,b,22,336,5.94,0.9359600000025239,22,32,0,male,image_stim_n.png,B12,430.6639884999895,Monday,2,427.36874719997286,faceWord_exp,store,418.8799618999765
432.7895946999779,42,1.0659802999871317,439.3942848999868,1.1691476999840233,32,435.2480586999736,neg,0.7321109855355353,12,336,y,22,180,3.48,0.956611100002192,22,33,1,male,image_stim_n.png,B12,439.4974522999837,Monday,2,438.3283045999997,faceWord_exp,axe,433.7462057999801
447.58386679997784,42,1.0075028999999631,457.9909272999794,,31,450.09615649998887,pos,-2.4114282062334524,11,180,,22,336,6.48,1.075292499997886,21,34,,male,image_stim_p.png,B12,,Monday,2,456.9834243999794,faceWord_exp,carnival,448.6591592999757
462.4505042999808,42,0.7140630999929272,471.3268985999748,-1.1542020000051707,42,464.94296989997383,neu,0.650019808676411,13,180,b,22,336,5.19,0.9761474000115413,22,35,0,male,image_stim_n.png,B12,469.4586334999767,Monday,2,470.6128354999819,faceWord_exp,highway,463.42665169999236
474.5744676999748,42,0.979161600000225,482.54251349999686,1.4814826999790967,31,476.49373969997396,pos,-1.5621536719325724,11,180,y,22,336,6.81,0.8337672000052407,21,36,0,male,image_stim_p.png,B12,483.04483459997573,Monday,2,481.56335189999663,faceWord_exp,sailboat,475.40823489998
486.894300999993,42,0.7512594999861903,496.8584355999774,-7.9653797000064515,41,489.3768154999998,neu,-0.32263149533554664,13,180,b,22,336,5.67,1.0494586999993771,21,37,1,male,image_stim_p.png,B12,488.14179639998474,Monday,2,496.1071760999912,faceWord_exp,attribute,487.94375969999237
500.02821339998627,42,0.8979783999966457,504.8088234999741,2.4018640000140294,31,501.79064549997565,pos,-1.7608811602119443,11,336,b,22,180,7.5,0.7291184999921825,21,38,1,male,image_stim_p.png,B12,506.3127090999915,Monday,2,503.91084509997745,faceWord_exp,summer,500.75733189997845
512.9386342999933,42,1.042107199988095,523.2754758999799,1.7620876999862958,31,515.4422497999913,pos,-1.7539828459428422,11,180,b,22,336,6.91,1.0202493999968283,21,39,1,male,image_stim_p.png,B12,523.9954563999781,Monday,2,522.2333686999918,faceWord_exp,spaghetti,513.9588836999901
527.7531917000015,42,1.0108446000085678,534.2082999999984,1.7465589999919757,31,530.1919237999828,pos,-1.6425048482978826,11,336,b,22,180,7.28,1.0216883999819402,21,40,1,male,image_stim_p.png,B12,534.9440143999818,Monday,2,533.1974553999898,faceWord_exp,knowledge,528.7748800999834
542.4064877999772,42,0.9061454000184312,552.4908529999957,0.8895453000150155,32,544.8776657999842,neg,3.222893544100452,12,180,y,22,336,2.95,0.9700142000219785,22,41,1,male,image_stim_n.png,B12,552.4742528999923,Monday,2,551.5847075999773,faceWord_exp,perjury,543.3765019999992
557.0062560999941,42,1.0218245000287425,563.4744567000016,1.255549500026973,41,559.4930855999992,neu,-0.06058349899147484,13,336,b,22,180,5.48,0.9991908999800216,21,42,1,male,image_stim_p.png,B12,563.7081816999998,Monday,2,562.4526321999729,faceWord_exp,business,558.0054469999741
571.6341286999814,42,0.9648584999958985,577.9746937999735,1.4155090000131167,32,574.0730306999758,neg,-0.14866519221167074,12,336,y,22,180,4.43,0.9887444000050891,22,43,1,male,image_stim_n.png,B12,578.4253442999907,Monday,2,577.0098352999776,faceWord_exp,van,572.6228730999865
586.2203735999938,42,1.0357498000084888,592.6383341999899,1.2900623000168707,32,588.659342399973,neg,1.472290472628449,12,336,y,22,180,4.1,0.9704131000034977,22,44,1,male,image_stim_n.png,B12,592.8926466999983,Monday,2,591.6025843999814,faceWord_exp,clang,587.1907866999973
600.7899203999841,42,1.0309436999959871,611.088092799997,2.9993411999894306,42,603.2744559999846,neu,-0.34443889393116306,13,180,b,22,336,5.43,1.0658880000119098,22,45,0,male,image_stim_n.png,B12,613.0564902999904,Monday,2,610.057149100001,faceWord_exp,asparagus,601.855808399996
615.5030403999845,42,0.9366324000002351,623.0357364999945,1.6720172000059392,31,617.3213886999874,pos,-2.461915733068042,11,180,b,22,336,7.0,0.751545500010252,21,46,1,male,image_stim_p.png,B12,623.7711213000002,Monday,2,622.0991040999943,faceWord_exp,embrace,616.2545858999947
627.2526026999985,42,0.9797990000224672,637.4041665999976,1.815457900025649,31,629.7368673999736,pos,-1.2978987804410356,11,180,b,22,336,6.76,0.9870029999874532,21,47,1,male,image_stim_p.png,B12,638.2398255000007,Monday,2,636.4243675999751,faceWord_exp,artist,628.239605699986
641.690327999997,42,0.9339872999989893,648.0890913999756,1.4837560000014491,31,644.1569649000012,pos,-2.7563434535584275,11,336,b,22,180,7.21,0.9449197999783792,21,48,1,male,image_stim_p.png,B12,648.638860099978,Monday,2,647.1551040999766,faceWord_exp,optimism,642.6352477999753
656.2173555999761,42,0.8609842000005301,662.1369641999772,0.9785325000120793,41,658.5521995000017,neu,0.10630403813009667,13,336,b,22,180,5.86,0.9686803000222426,21,49,1,male,image_stim_p.png,B12,662.2545124999888,Monday,2,661.2759799999767,faceWord_exp,whole,657.1860358999984
669.9341508999933,42,1.0085712999862153,676.4197198999755,1.4771721999859437,32,672.4206564999768,neg,0.6502198887451732,12,336,y,22,180,4.54,1.036639700003434,22,50,1,male,image_stim_n.png,B12,676.8883207999752,Monday,2,675.4111485999892,faceWord_exp,office,670.9707905999967
