correct_resp,img,no,condition,word_label,session,pause_trigger,response,gender,duration_measured_img,word_score_warriner,duration_measured_word,onset_img,key_t,pause_trigger_t,rt,duration_frames,onset_word,scan day,ID,word,age,delay_frames_after,img_trigger,offset_word,delay_frames_before,offset_img,word_score_pc,word_trigger
1,image_stim_p.png,29,faceWord_exp,neu,3,41,b,female,0.6881795410299674,5.55,0.688835964014288,284.9412355030072,285.55216871300945,282.9197744030389,0.6109332100022584,42,281.2327440670342,Monday,1,faucet,23,336,21,281.9215800310485,180,285.62941504403716,-0.123291752025302,13
1,image_stim_n.png,30,faceWord_exp,neg,3,32,y,female,0.6941044710110873,4.7,0.692062989983242,294.9452741550049,295.65869186702184,292.912875775015,0.7134177120169625,42,291.22243392502423,Monday,1,radish,23,336,22,291.9144969150075,180,295.63937862601597,0.33736940436804663,12
1,image_stim_n.png,31,faceWord_exp,neu,3,42,y,female,0.6947106409934349,5.89,0.6952392220264301,307.5481642970117,308.1305941210012,302.92254898301326,0.5824298239895143,42,301.2292131150025,Monday,1,gum,23,180,22,301.9244523370289,336,308.2428749380051,-1.0048841857254538,13
1,image_stim_n.png,32,faceWord_exp,neg,3,32,y,female,0.7011479600332677,4.18,0.6951476460089907,314.95743950200267,315.6443111060071,312.93236476305174,0.6868716040044092,42,311.2390181910014,Monday,1,belch,23,336,22,311.93416583701037,180,315.65858746203594,1.9197700017151131,12
1,image_stim_p.png,33,faceWord_exp,neu,3,41,b,female,0.6979202409856953,5.72,0.6954034559894353,327.56444709701464,328.1146822280134,322.9421224790276,0.5502351309987716,42,321.2485389690264,Monday,1,plane,23,180,21,321.94394242501585,336,328.26236733800033,0.20373950943912453,13
1,image_stim_n.png,34,faceWord_exp,neg,3,32,y,female,0.6955634760088287,4.95,0.6947905420092866,337.5763574060402,338.10883463703794,332.9518353290041,0.5324772309977561,42,331.2588462540298,Monday,1,debate,23,180,22,331.95363679603906,336,338.271920882049,1.239138220826116,12
1,image_stim_p.png,35,faceWord_exp,neu,3,41,b,female,0.7002725609927438,5.71,0.6952398699941114,344.9876621480216,345.7073150710203,342.9616159060388,0.7196529229986481,42,341.26818234904204,Monday,1,sum,23,336,21,341.96342221903615,180,345.68793470901437,0.1511721542964875,13
1,image_stim_p.png,36,faceWord_exp,pos,3,31,b,female,0.6872337220120244,7.23,0.6946733400109224,357.587696993025,358.28024427901255,352.97126315004425,0.6925472859875299,42,351.2784607640351,Monday,1,butterfly,23,180,21,351.97313410404604,336,358.27493071503704,-2.484088237918995,11
1,image_stim_p.png,37,faceWord_exp,pos,3,31,b,female,0.7026806710055098,7.3,0.6958143800147809,367.5819140350213,368.27071417402476,362.96453056205064,0.6888001390034333,42,361.27061833802145,Monday,1,raspberry,23,180,21,361.96643271803623,336,368.28459470602684,-1.4443598905895143,11
1,image_stim_p.png,38,faceWord_exp,pos,3,31,b,female,0.7022713620099239,6.75,0.6949445150094107,374.99824513302883,375.85561010905076,372.9742186340154,0.8573649760219269,42,371.28126866102684,Monday,1,agreement,23,336,21,371.97621317603625,180,375.70051649503876,-1.2126784285084091,11
1,image_stim_n.png,39,faceWord_exp,neg,3,32,y,female,0.6948437360115349,3.45,0.6919259100104682,387.6092670490034,388.2570174779976,382.9837280830252,0.6477504289941862,42,381.2938269150327,Monday,1,grievance,23,180,22,381.98575282504316,336,388.3041107850149,3.6017940902369654,12
1,image_stim_p.png,40,faceWord_exp,neu,3,41,b,female,0.69711238599848,5.4,0.6951906189788133,397.6167676250334,398.16691404301673,392.99363571801223,0.550146417983342,42,391.30012070405064,Monday,1,harp,23,180,21,391.99531132302945,336,398.31388001103187,-1.7878104403788575,13
1,image_stim_p.png,41,faceWord_exp,pos,3,31,b,female,0.7004950289847329,7.15,0.695151332009118,407.6231100780424,408.3122528240201,403.0033339570509,0.6891427459777333,42,401.31017894804245,Monday,1,symphony,23,180,21,402.00533028005157,336,408.3236051070271,-1.9498998207384868,11
1,image_stim_n.png,42,faceWord_exp,neu,3,42,y,female,0.7001521739875898,5.63,0.6957881429698318,415.0394031020114,416.1419533290318,413.0131445680163,1.1025502270204015,42,411.31933119305177,Monday,1,pen,23,336,22,412.0151193360216,180,415.739555275999,-0.23071750329615884,13
1,image_stim_n.png,43,faceWord_exp,neg,3,32,y,female,0.6968616339727305,3.4,0.6947505269781686,425.0525083630346,425.6877041370026,423.0228527630097,0.6351957739680074,42,421.32998808904085,Monday,1,delirium,23,336,22,422.024738616019,180,425.7493699970073,3.4172209593162717,12
1,image_stim_n.png,44,faceWord_exp,neg,3,32,y,female,0.700594712048769,3.28,0.6952182359527797,435.058424982999,435.72849211702123,433.0326103520347,0.670067134022247,42,431.3393234840478,Monday,1,trial,23,336,22,432.03454172000056,180,435.75901969504775,2.3068979902815,12
1,image_stim_n.png,45,faceWord_exp,neu,3,42,y,female,0.6991423899889924,5.1,0.6951815139618702,445.06957952701487,445.69027633900987,443.0423357610125,0.6206968119950034,42,441.34905262704706,Monday,1,cabinet,23,336,22,442.0442341410089,180,445.76872191700386,0.05858023181365075,13
1,image_stim_p.png,46,faceWord_exp,pos,3,31,b,female,0.7000549929798581,6.63,0.6954253260046244,455.07882624905324,455.81464307004353,453.05206010403344,0.7358168209902942,42,451.35872164100874,Monday,1,car,23,336,21,452.05414696701337,180,455.7788812420331,-1.4106928476010352,11
1,image_stim_n.png,47,faceWord_exp,neg,3,32,y,female,0.6864698979770765,4.85,0.695105777005665,465.085145449033,465.6576924440451,463.0618056220119,0.5725469950120896,42,461.3685224750079,Monday,1,voter,23,336,22,462.0636282520136,180,465.7716153470101,-0.3331872788781821,12
1,image_stim_n.png,48,faceWord_exp,neu,3,42,y,female,0.6998787019983865,5.24,0.6923524790327065,475.08151073002955,475.7033841049997,473.0548807220184,0.6218733749701641,42,471.36434507300146,Monday,1,toe,23,336,22,472.05669755203417,180,475.78138943202794,0.6016604903777263,13
1,image_stim_p.png,49,faceWord_exp,pos,3,31,b,female,0.6878636720357463,6.32,0.6941882739774883,487.6804248410044,488.20489386003464,483.0645716750296,0.5244690190302208,42,481.37219143204857,Monday,1,saxophone,23,180,21,482.06637970602605,336,488.36828851304017,-1.100912149643323,11
