pause_trigger_t,ID,word_score_warriner,no,rt,gender,img_trigger,scan day,correct_resp,response,session,img,onset_word,word_label,delay_frames_after,offset_word,onset_img,word,pause_trigger,age,key_t,word_score_pc,duration_measured_word,duration_measured_img,duration_frames,offset_img,word_trigger,delay_frames_before,condition
303.0711300759576,5,6.4,30,0.8053334179567173,female,21,Monday,1,b,2,image_stim_p.png,301.37978459498845,pos,336,302.070763516007,305.1032847829629,mercy,31,22,305.9086182009196,-1.0752281295040744,0.6909789210185409,0.7004000339657068,42,305.8036848169286,11,180,faceWord_exp
313.10431978898123,5,5.27,31,0.8072669869288802,female,22,Monday,1,y,2,image_stim_n.png,311.40937586699147,neu,336,312.1037890519947,315.13390968798194,verb,42,22,315.9411766749108,0.17918122123944408,0.6944131850032136,0.704386175959371,42,315.8382958639413,13,180,faceWord_exp
323.13734025193844,5,6.76,32,0.9908417540136725,female,21,Monday,1,b,2,image_stim_p.png,321.4428508699639,pos,336,322.13796351500787,325.1675306109246,artist,31,22,326.15837236493826,-1.2978987804410356,0.6951126450439915,0.7023324340116233,42,325.8698630449362,11,180,faceWord_exp
333.7234196929494,5,4.8,33,0.9101173190865666,female,22,Monday,1,y,2,image_stim_n.png,331.47581319499295,neg,180,332.3065844869707,339.6495099829044,hoe,32,22,340.559627301991,0.2623575316864496,0.8307712919777259,0.7036994009977207,42,340.35320938390214,12,336,faceWord_exp
347.0372350770049,5,5.86,34,0.9233957310207188,female,22,Monday,1,y,2,image_stim_n.png,344.44323634391185,neu,336,345.6050029739272,349.2497304419521,whole,42,22,350.17312617297284,0.10630403813009667,1.161766630015336,0.7034523920156062,42,349.95318283396773,13,180,faceWord_exp
359.0381231799256,5,4.57,35,0.7408451150404289,female,22,Monday,1,y,2,image_stim_n.png,356.5440409249859,neg,180,357.687198726926,363.7996213679435,lab,32,22,364.5404664829839,0.2032181950076048,1.1431578019401059,0.7032962220255286,42,364.502917589969,12,336,faceWord_exp
370.0034299789695,5,5.15,36,0.9089797709602863,female,21,Monday,1,b,2,image_stim_p.png,367.7263224379858,neu,180,368.7694821789628,374.73263363796286,pan,41,22,375.64161340892315,0.3296196251321362,1.0431597409769893,0.7034468640340492,42,375.4360805019969,13,336,faceWord_exp
380.13758503994904,5,5.43,37,0.9088342839386314,female,21,Monday,1,b,2,image_stim_p.png,378.44357569597196,neu,336,379.13665772392415,382.78267723100726,asparagus,41,22,383.6915115149459,-0.34443889393116306,0.6930820279521868,0.8062862809747458,42,383.588963511982,13,180,faceWord_exp
391.5692689169664,5,4.41,38,0.9375680780503899,female,22,Monday,1,y,2,image_stim_n.png,389.4554832269205,neg,336,390.38795851694886,393.6859201529296,jaw,32,22,394.62348823098,0.16339675594021513,0.9324752900283784,0.7009495659731328,42,394.38686971890274,12,180,faceWord_exp
401.6864563788986,5,7.0,39,0.8755809210706502,female,21,Monday,1,b,2,image_stim_p.png,399.9921277529793,pos,336,400.6859468999319,403.71546953590587,embrace,31,22,404.5910504569765,-2.461915733068042,0.6938191469525918,0.703585860086605,42,404.4190553959925,11,180,faceWord_exp
412.93637762998696,5,5.94,40,0.9588724490022287,female,22,Monday,1,y,2,image_stim_n.png,411.1585850008996,neu,336,411.9356524029281,414.9654643549584,store,42,22,415.9243368039606,-0.8400509032218062,0.7770674020284787,0.7034218349726871,42,415.6688861899311,13,180,faceWord_exp
422.9695483589312,5,7.1,41,0.8047174920793623,female,21,Monday,1,b,2,image_stim_p.png,421.2754961469909,pos,180,421.96896484296303,428.3015125609236,barbecue,31,22,429.10623005300295,-2.5746228757417584,0.6934686959721148,0.7672029680106789,42,429.06871552893426,11,336,faceWord_exp
434.60256427992135,5,7.59,42,0.9406519900076091,female,21,Monday,1,b,2,image_stim_p.png,432.590833456954,pos,180,433.47159140894655,439.2318452919135,tree,31,22,440.1724972819211,-1.3695211950901562,0.8807579519925639,0.7035747210029513,42,439.93542001291644,11,336,faceWord_exp
444.635881347931,5,5.19,43,0.7924353050766513,female,21,Monday,1,b,2,image_stim_p.png,442.9415485080099,neu,336,443.63535902195144,446.6645408848999,highway,41,22,447.45697618997656,0.650019808676411,0.6938105139415711,0.7038625130662695,42,447.3684033979662,13,180,faceWord_exp
454.6690858709626,5,5.67,44,0.8744329469045624,female,22,Monday,1,y,2,image_stim_n.png,452.9752705009887,neu,180,453.6684032159392,460.2481927589979,attribute,42,22,461.12262570590246,-0.32263149533554664,0.6931327149504796,0.7033732729032636,42,460.95156603190117,13,336,faceWord_exp
465.6523079299368,5,2.29,45,0.8555065079126507,female,22,Monday,1,y,2,image_stim_n.png,463.9606322660111,neg,336,464.6515719399322,467.683973170002,sick,32,22,468.53947967791464,3.4738609063027237,0.6909396739210933,0.7005637719994411,42,468.38453694200143,12,180,faceWord_exp
475.68547648598906,5,5.03,46,0.8579414329724386,female,21,Monday,1,b,2,image_stim_p.png,473.9914350209292,neu,336,474.68491771491244,477.71448709396645,scissors,41,22,478.5724285269389,0.4272037094573085,0.6934826939832419,0.7035732589429244,42,478.4180603529094,13,180,faceWord_exp
485.7186974979704,5,4.43,47,0.9076531659811735,female,22,Monday,1,y,2,image_stim_n.png,484.0238636509748,neg,180,484.71812902693637,490.3476258999435,van,32,22,491.2552790659247,-0.14866519221167074,0.6942653759615496,0.7035397340077907,42,491.0511656339513,12,336,faceWord_exp
496.66855705191847,5,4.75,48,0.8058822159655392,female,22,Monday,1,y,2,image_stim_n.png,494.79315517190844,neg,180,495.6180094999727,501.2979972769972,ricochet,32,22,502.10387949296273,1.0482300490198866,0.824854328064248,0.704066569916904,42,502.0020638469141,12,336,faceWord_exp
507.3203851559665,5,7.88,49,0.8916109129786491,female,21,Monday,1,b,2,image_stim_p.png,505.00681046792306,pos,180,505.9022569229128,512.9636482079513,joke,31,22,513.85525912093,-1.8879163634684628,0.8954464549897239,0.7372329690260813,42,513.7008811769774,11,336,faceWord_exp
519.1182436769595,5,4.78,50,0.8416089580859989,female,22,Monday,1,y,2,image_stim_n.png,517.0102364199702,neg,180,517.8863068399951,523.813725582906,heavy,32,22,524.655334540992,1.3393636650983416,0.8760704200249165,0.7036761700874195,42,524.5174017529935,12,336,faceWord_exp
529.2181586750085,5,6.8,51,0.9908970879623666,female,21,Monday,1,b,2,image_stim_p.png,527.5235093899537,pos,336,528.2175384199945,531.247257792973,fireworks,31,22,532.2381548809353,-1.926056195769395,0.6940290300408378,0.7033845200203359,42,531.9506423129933,11,180,faceWord_exp
540.134745488991,5,3.52,52,1.1040402019862086,female,22,Monday,1,y,2,image_stim_n.png,538.4435350729618,neg,336,539.1340886959806,542.6358602310065,problem,32,22,543.7399004329927,4.02985566434138,0.6905536230187863,0.9311261778930202,42,543.5669864088995,12,180,faceWord_exp
552.1844698169734,5,6.73,53,0.6413788850186393,female,21,Monday,1,b,2,image_stim_p.png,550.4896410959773,pos,336,551.183940412011,554.2133984579705,luck,31,22,554.8547773429891,-2.2291915044129413,0.694299316033721,0.703847922035493,42,554.917246380006,11,180,faceWord_exp
562.4169225569349,5,7.21,54,0.9411020620027557,female,21,Monday,1,b,2,image_stim_p.png,560.523593146936,pos,180,561.2170792279067,567.7131779359188,optimism,31,22,568.6542799979215,-2.7563434535584275,0.6934860809706151,0.7036404070677236,42,568.4168183429865,11,336,faceWord_exp
574.1020625119563,5,5.8,55,0.7077883640304208,female,21,Monday,1,b,2,image_stim_p.png,572.0402035180014,neu,336,572.8346255139913,576.9298627139069,toaster,41,22,577.6376510779373,-0.5451009915059291,0.7944219959899783,0.7032684130826965,42,577.6331311269896,13,180,faceWord_exp
586.134000005899,5,4.76,56,1.0069423801032826,female,22,Monday,1,y,2,image_stim_n.png,584.4400321139256,neg,180,585.1332795269554,590.7635636168998,landslide,32,22,591.770505997003,3.561717315569441,0.6932474130298942,0.7024877090007067,42,591.4660513259005,12,336,faceWord_exp
596.1671973660123,5,2.95,57,0.9079529930604622,female,22,Monday,1,y,2,image_stim_n.png,594.4730039329734,neg,336,595.1666590969544,598.1958914989373,perjury,32,22,599.1038444919977,3.222893544100452,0.6936551639810205,0.7038299180567265,42,598.899721416994,12,180,faceWord_exp
606.2004937919555,5,3.48,58,0.8749884950229898,female,22,Monday,1,y,2,image_stim_n.png,604.5053707569605,neg,336,605.1998153039021,608.2296736569842,axe,32,22,609.1046621520072,0.7321109855355353,0.6944445469416678,0.7032856809673831,42,608.9329593379516,12,180,faceWord_exp
616.2502389379079,5,4.1,59,0.8045732190366834,female,22,Monday,1,y,2,image_stim_n.png,614.5438979419414,neg,180,615.2496971229557,620.8823070349172,clang,32,22,621.6868802539539,1.472290472628449,0.7057991810142994,0.7000901200808585,42,621.582397154998,12,336,faceWord_exp
626.2834414609242,5,5.5,60,1.109131255070679,female,21,Monday,1,b,2,image_stim_p.png,624.5885485279141,neu,180,625.2829990279861,630.9124404109316,nose,41,22,632.0215716660023,-0.049892793833906636,0.6944505000719801,0.7037100810557604,42,631.6161504919874,13,336,faceWord_exp
