condition,word,word_trigger,response,delay_frames_after,scan day,gender,duration_measured_img,img,offset_img,pause_trigger,word_score_warriner,age,ID,no,img_trigger,duration_measured_word,word_label,duration_frames,onset_img,delay_frames_before,correct_resp,key_t,offset_word,onset_word,session,rt,word_score_pc,pause_trigger_t
faceWord_exp,jungle,13,y,180,Monday,female,0.6891319669994118,image_stim_n.png,238.61653405700054,42,5.7,21,KKF,24,22,0.6949706549985422,neu,42,237.92740209000112,336,1,238.5204644050009,232.3000021709995,231.60503151600096,3,0.59306231499977,0.07332602516344529,233.30050130900054
faceWord_exp,computer,11,b,180,Monday,female,0.6903807149992645,image_stim_p.png,248.64988051299952,31,6.84,21,KKF,25,21,0.6952095970009395,pos,42,247.95949979800025,336,1,248.42017913500058,242.31642797200038,241.62121837499944,3,0.4606793370003288,-1.728066945394655,243.31728380200002
faceWord_exp,family,11,b,180,Monday,female,0.6897965029984334,image_stim_p.png,258.6664779679995,31,7.25,21,KKF,26,21,0.6961402100005216,pos,42,257.9766814650011,336,1,258.5366014430001,252.34961724000095,251.65347703000043,3,0.5599199779990158,-1.6019047514101912,253.35047019000012
faceWord_exp,trial,12,y,336,Monday,female,0.6903676370002358,image_stim_n.png,266.08296165700085,32,3.28,21,KKF,27,22,0.6952648160004173,neg,42,265.3925940200006,180,1,265.98721115599983,262.36596819900114,261.6707033830007,3,0.594617135999215,2.3068979902815,263.3668698849997
faceWord_exp,pencil,13,y,180,Monday,female,0.6899539870009903,image_stim_n.png,278.69947583000067,42,5.65,21,KKF,28,22,0.6954564370007574,neu,42,278.0095218429997,336,1,278.5861439519995,272.38259202300105,271.6871355860003,3,0.5766221089997998,0.13339963708933658,273.38345062200096
faceWord_exp,symphony,11,b,336,Monday,female,0.6895464350000111,image_stim_p.png,286.11610560400004,31,7.15,21,KKF,29,21,0.6954278350003733,pos,42,285.42655916900003,180,1,286.0524489740001,282.39926189200014,281.70383405699977,3,0.6258898050000425,-1.9498998207384868,283.39969824699983
faceWord_exp,egg,13,y,336,Monday,female,0.6919974570009799,image_stim_n.png,296.1326015930008,42,5.95,21,KKF,30,22,0.6932428599993727,neu,42,295.4406041359998,180,1,295.93559877000007,292.4157861780004,291.72254331800104,3,0.4949946340002498,-0.6884171372613734,293.4155377959996
faceWord_exp,tuba,13,y,336,Monday,female,0.6897681190002913,image_stim_n.png,306.1492312150003,42,5.58,21,KKF,31,22,0.6957277439996687,neu,42,305.45946309600004,180,1,305.96860298200045,302.43216126100015,301.7364335170005,3,0.5091398860004119,-0.945340141786388,303.43185371300024
faceWord_exp,jam,13,b,180,Monday,female,0.6901396670000395,image_stim_p.png,318.76564882099956,41,5.81,21,KKF,32,21,0.6962917990003916,neu,42,318.0755091539995,336,1,318.535641425,312.44896606600014,311.75267426699975,3,0.46013227100047516,-1.343270424679961,313.4493247070004
faceWord_exp,snub,12,y,180,Monday,female,0.6892841329990915,image_stim_n.png,328.78105354299987,32,3.23,21,KKF,33,22,0.6959281010003906,neg,42,328.0917694100008,336,1,328.4506028100004,322.4653731310009,321.7694450300005,3,0.35883339999963937,3.9847946241932393,323.466096827
faceWord_exp,butterfly,11,b,336,Monday,female,0.6906508190004388,image_stim_p.png,336.198862442001,31,7.23,21,KKF,34,21,0.6946261619996221,pos,42,335.50821162300053,180,1,336.05212670900073,332.4817082970003,331.7870821350007,3,0.5439150860001973,-2.484088237918995,333.48192617399945
faceWord_exp,gum,13,y,336,Monday,female,0.6898678559991822,image_stim_n.png,346.21486917999937,42,5.89,21,KKF,35,22,0.696097596999607,neu,42,345.5250013240002,180,1,346.1002740010008,342.49845990299946,341.80236230599985,3,0.575272677000612,-1.0048841857254538,343.498938879
faceWord_exp,delirium,12,y,180,Monday,female,0.6901832359999389,image_stim_n.png,358.9151043210004,32,3.4,21,KKF,36,22,0.6948075590007647,neg,42,358.22492108500046,336,1,358.7851196020001,352.5970613640002,351.9022538049994,3,0.5601985169996624,3.4172209593162717,353.59821234300034
