word_trigger,duration_measured_img,correct_resp,word,img,onset_img,ID,scan day,pause_trigger,condition,age,delay_frames_before,word_score_warriner,offset_img,offset_word,duration_frames,delay_frames_after,word_label,img_trigger,key_t,session,pause_trigger_t,gender,onset_word,duration_measured_word,word_score_pc,no,response,rt
13,0.7006453999783844,1,audience,image_stim_p.png,248.03594289999455,AHJ,Monday,41,faceWord_exp,22,336,5.89,248.73658829997294,242.40664179995656,42,180,neu,21,248.62104569998337,6,243.40663819998736,male,241.71399749995908,0.6926442999974824,-0.7656585604551551,25,b,0.5851027999888174
12,0.7005761999753304,1,sin,image_stim_n.png,255.46514069999103,AHJ,Monday,32,faceWord_exp,22,180,3.08,256.16571689996636,252.43396469997242,42,336,neg,22,255.8170729999547,6,253.43489599996246,male,251.7400032999576,0.693961400014814,3.1738538072533196,26,y,0.35193229996366426
12,0.7008851999999024,1,protest,image_stim_n.png,265.49212549999356,AHJ,Monday,32,faceWord_exp,22,180,4.42,266.19301069999347,262.4622990999487,42,336,neg,22,265.84475579997525,6,263.46290709997993,male,261.76899739995133,0.6933016999973916,1.346131993343653,27,y,0.3526302999816835
13,0.7011421000352129,1,satire,image_stim_n.png,275.5200362999458,AHJ,Monday,42,faceWord_exp,22,180,5.81,276.221178399981,272.4899083999917,42,336,neu,22,275.97221269999864,6,273.48993209999753,male,271.7968658999889,0.6930425000027753,-0.9476055713690849,28,y,0.4521764000528492
12,0.7010362000437453,1,rake,image_stim_n.png,285.54745029995684,AHJ,Monday,32,faceWord_exp,22,180,4.75,286.2484865000006,282.5171433999785,42,336,neg,22,286.05026239994913,6,283.51766309997765,male,281.8241526999627,0.6929907000157982,0.5993691927879942,29,y,0.5028120999922976
12,0.7032060000346974,1,fee,image_stim_n.png,298.1721810999443,AHJ,Monday,32,faceWord_exp,22,336,2.86,298.875387099979,292.5453632999561,42,180,neg,22,298.5099347999785,6,293.5456630999688,male,291.85196029994404,0.6934030000120401,2.6698720582687456,30,y,0.3377537000342272
11,0.7001296000089496,1,sun,image_stim_p.png,305.6043254999677,AHJ,Monday,31,faceWord_exp,22,180,6.92,306.3044550999766,302.57312259997707,42,336,pos,21,306.0557694999734,6,303.57318369997665,male,301.87922039994737,0.6939022000296973,-1.2017878999114775,31,b,0.45144400000572205
12,0.7005908999708481,1,crow,image_stim_n.png,315.63109779998194,AHJ,Monday,32,faceWord_exp,22,180,4.32,316.3316886999528,312.6006330999662,42,336,neg,22,316.10012749995803,6,313.6010949999909,male,311.906724499946,0.6939086000202224,0.8985553834191027,32,y,0.46902969997609034
11,0.7011747000506148,1,forest,image_stim_p.png,328.2573081999435,AHJ,Monday,31,faceWord_exp,22,336,6.68,328.9584828999941,322.6285952999606,42,180,pos,21,328.70935699995607,6,323.6288910000003,male,321.9347232999862,0.6938719999743626,-1.6320665929887423,33,b,0.4520488000125624
11,0.7001681000110693,1,chipmunk,image_stim_p.png,338.2855701999506,AHJ,Monday,31,faceWord_exp,22,336,7.33,338.98573829996167,332.65640039998107,42,180,pos,21,338.7204176999512,6,333.6567669999786,male,331.96285529999295,0.6935450999881141,-1.071197614358652,34,b,0.4348475000006147
