correct_resp,onset_word,word_score_warriner,session,condition,scan day,rt,pause_trigger,word_trigger,age,offset_img,duration_measured_word,word_label,delay_frames_before,gender,pause_trigger_t,img,word_score_pc,duration_measured_img,key_t,word,onset_img,response,ID,delay_frames_after,offset_word,img_trigger,no,duration_frames
1,422.1547234919999,2.29,6,faceWord_exp,Monday,-4.890659582000808,32,12,22,429.1837689339882,0.6957753229944501,neg,336,female,423.85095937199367,image_stim_n.png,4.2219398121868315,0.7075598879891913,423.5855494639982,guilt,428.476209045999,y,C,180,422.85049881499435,22,43,42
1,432.1881185069942,6.37,6,faceWord_exp,Monday,-2.689253527991241,31,11,22,436.6003583309939,0.6953677300043637,pos,180,female,433.88418499499676,image_stim_p.png,-2.3709211732995845,0.6912418550055008,433.21986294799717,parade,435.9091164759884,b,C,336,432.8834862369986,21,44,42
1,442.2072168500017,7.63,6,faceWord_exp,Monday,-3.090974646998802,31,11,22,446.6338119509892,0.6927763610001421,pos,180,female,443.900766723993,image_stim_p.png,-2.539279812815429,0.705950577990734,442.83688672599965,chocolate,445.92786137299845,b,C,336,442.89999321100186,21,45,42
1,452.2376933119958,5.49,6,faceWord_exp,Monday,-2.3564974799955962,41,13,22,456.6502036929887,0.6957693110016407,neu,180,female,453.9339172339969,image_stim_p.png,0.1576901893660491,0.6911830229946645,453.60252318999846,table,455.95902066999406,b,C,336,452.93346262299747,21,46,42
1,462.2545436379878,6.68,6,faceWord_exp,Monday,-2.655801539993263,31,11,22,466.66651760198874,0.6954219010076486,pos,180,female,463.9504897709994,image_stim_p.png,-1.6320665929887423,0.6911904199951096,463.3195256420004,forest,465.97532718199363,b,C,336,462.94996553899546,21,47,42
0,472.27050938399043,4.32,6,faceWord_exp,Monday,-2.7223441819951404,32,12,22,476.6830837999878,0.695794860002934,neg,180,female,473.96700311299355,image_stim_n.png,0.8985553834191027,0.6911684289952973,473.26957118899736,crow,475.9919153709925,b,C,336,472.96630424399336,22,48,42
1,482.3201802399999,3.38,6,faceWord_exp,Monday,-2.3734912750078365,32,12,22,486.7328934690013,0.6961629219877068,neg,180,female,484.0168854599906,image_stim_n.png,4.673386290788297,0.6908859550021589,483.6685162389913,woe,486.0420075139991,y,C,336,483.0163431619876,22,49,42
0,492.33738203799294,4.42,6,faceWord_exp,Monday,-5.08954399698996,32,12,22,499.36616741798935,0.6952471840049839,neg,336,female,494.033362340997,image_stim_n.png,1.346131993343653,0.7073474089993397,493.56927601200005,protest,498.65882000899,b,C,180,493.0326292219979,22,50,42
0,502.37012327299453,4.59,6,faceWord_exp,Monday,-5.30564795799728,32,12,22,509.38261347699154,0.6960551109950757,neg,336,female,504.0668527309899,image_stim_n.png,0.3271241198863318,0.6914327809936367,503.3855327380006,mayor,508.6911806959979,b,C,180,503.0661783839896,22,51,42
1,512.3891812259972,5.89,6,faceWord_exp,Monday,-2.80867163700168,41,13,22,516.8159404639882,0.6934834050043719,neu,180,female,514.0831218649982,image_stim_p.png,-0.7656585604551551,0.7061917169921799,513.3010771099944,audience,516.109748746996,b,C,336,513.0826646310015,21,52,42
1,522.4202134730003,7.33,6,faceWord_exp,Monday,-5.140030420006951,31,11,22,529.4490318229946,0.6956158739922103,pos,336,female,524.1162986409909,image_stim_p.png,-1.071197614358652,0.7077105619973736,523.6012908409903,chipmunk,528.7413212609972,b,C,180,523.1158293469925,21,53,42
1,532.453527626989,7.0,6,faceWord_exp,Monday,-5.456047710002167,31,11,22,539.4823358919966,0.6952633940090891,pos,336,female,534.1495669339929,image_stim_p.png,-1.1380831950062478,0.7075196469959337,533.3187685349985,pumpkin,538.7748162450007,b,C,180,533.148791020998,21,54,42
1,542.4870301249903,6.21,6,faceWord_exp,Monday,-2.6056674430001294,31,11,22,546.8987585799914,0.6950456339982338,pos,180,female,544.1827289969951,image_stim_p.png,-1.283661754694624,0.6908446610032115,543.6022464759881,handshake,546.2079139189882,b,C,336,543.1820757589885,21,55,42
0,552.5030061229918,4.11,6,faceWord_exp,Monday,-1.7065700120001566,32,12,22,556.9152764939936,0.6955583630042383,neg,180,female,554.1991097079881,image_stim_n.png,2.52891321026023,0.690691876996425,554.518014604997,folly,556.2245846169972,b,C,336,553.198564485996,22,56,42
0,562.5192599029979,2.86,6,faceWord_exp,Monday,-4.5401019230048405,32,12,22,569.5485578469961,0.696024689998012,neg,336,female,564.2155374199938,image_stim_n.png,2.6698720582687456,0.7070169869984966,564.3014389369928,fee,568.8415408599976,b,C,180,563.2152845929959,22,57,42
1,572.552904680997,5.81,6,faceWord_exp,Monday,-2.606098838004982,41,13,22,576.9651754399965,0.6956936950009549,neu,180,female,574.2486266029882,image_stim_p.png,-0.9476055713690849,0.6908915749954758,573.6681850269961,satire,576.274283865001,b,C,336,573.248598375998,21,58,42
1,582.5718003789952,6.67,6,faceWord_exp,Monday,-5.458270199989784,31,11,22,589.5980714409961,0.6930229699937627,pos,336,female,584.2654882450006,image_stim_p.png,-2.035068499528653,0.7051695310074138,583.4346317099989,dolphin,588.8929019099887,b,C,180,583.264823348989,21,59,42
1,592.6018535139883,6.32,6,faceWord_exp,Monday,-2.7897859060030896,31,11,22,597.0147408929915,0.6962425180099672,pos,180,female,594.2985476929898,image_stim_p.png,-1.1812540207039297,0.6909408999927109,593.5340140869957,elm,596.3237999929988,b,C,336,593.2980960319983,21,60,42
