gender,offset_word,no,img,pause_trigger,delay_frames_after,onset_img,duration_measured_word,condition,rt,response,word,delay_frames_before,pause_trigger_t,scan day,ID,session,key_t,word_score_warriner,onset_word,word_trigger,duration_frames,offset_img,word_score_pc,age,word_label,duration_measured_img,img_trigger,correct_resp
female,322.1133536649868,33,image_stim_p.png,31,180,327.7314430399565,0.697586995025631,faceWord_exp,0.7345130030298606,b,sun,336,323.1114357999759,Monday,1,6,328.46595604298636,6.92,321.41576666996116,11,42,328.42972807900514,-1.2017878999114775,23,pos,0.6982850390486419,21,1
female,332.1229102949728,34,image_stim_n.png,42,180,337.7392725929967,0.6967532020062208,faceWord_exp,0.6860047850059345,y,chair,336,333.1213365729782,Monday,1,6,338.42527737800265,5.89,331.4261570929666,13,42,338.4395865109982,-0.4928774877246448,23,neu,0.7003139180014841,22,1
female,342.1324762000004,35,image_stim_n.png,32,336,345.154281666968,0.6968043160159141,faceWord_exp,0.5737765119993128,y,woe,180,343.13075230899267,Monday,1,6,345.72805817896733,3.38,341.43567188398447,12,42,345.85523341596127,4.673386290788297,23,neg,0.7009517489932477,22,1
female,352.14249296096386,36,image_stim_p.png,41,336,355.17106171295745,0.6966250109835528,faceWord_exp,0.7154346170136705,b,table,180,353.1406275779591,Monday,1,6,355.8864963299711,5.49,351.4458679499803,13,42,355.8651019609533,0.1576901893660491,23,neu,0.694040247995872,21,1
female,362.15185618097894,37,image_stim_n.png,32,336,365.1778817370068,0.6949433360132389,faceWord_exp,0.5347002509515733,b,judge,180,363.15015273197787,Monday,1,6,365.7125819879584,3.89,361.4569128449657,12,42,365.87488891900284,1.421533554407035,23,neg,0.697007181996014,22,0
female,372.16194286796963,38,image_stim_p.png,41,180,377.78453702596016,0.6938814469613135,faceWord_exp,0.9488901700242423,b,bugle,336,373.160276451963,Monday,1,6,378.7334271959844,5.05,371.4680614210083,13,42,378.478457566991,-0.441124933220443,23,neu,0.6939205410308205,21,1
female,382.17127478995826,39,image_stim_p.png,41,180,387.78873797197593,0.6963235409930348,faceWord_exp,0.5683735359925777,b,accordion,336,383.16987369797425,Monday,1,6,388.3571115079685,5.26,381.4749512489652,13,42,388.4881356229889,-0.8574934623041074,23,neu,0.6993976510129869,21,1
female,392.181651951978,40,image_stim_p.png,31,180,397.7978579159826,0.6983022409840487,faceWord_exp,0.5566177470027469,b,elm,336,393.17976170097245,Monday,1,6,398.35447566298535,6.32,391.48334971099393,11,42,398.4981430769549,-1.1812540207039297,23,pos,0.7002851609722711,21,1
female,402.19121493096463,41,image_stim_p.png,31,180,407.8074293329846,0.6973573199938983,faceWord_exp,0.554455233970657,b,girl,336,403.189382646,Monday,1,6,408.36188456695527,7.15,401.49385761097074,11,42,408.5072654999676,-1.313583728320736,23,pos,0.6998361669830047,21,1
female,412.20096307696076,42,image_stim_n.png,42,336,415.22559039498447,0.6955574469757266,faceWord_exp,0.5674803900183178,y,quantity,180,413.19918825896457,Monday,1,6,415.7930707850028,5.33,411.50540562998503,13,42,415.92362507095095,-0.1985745460766808,23,neu,0.6980346759664826,22,1
female,422.2106566129951,43,image_stim_p.png,31,180,427.82959400396794,0.6975591480149888,faceWord_exp,0.6167458670097403,b,chipmunk,336,423.20894365297863,Monday,1,6,428.4463398709777,7.33,421.5130974649801,11,42,428.52718905499205,-1.071197614358652,23,pos,0.6975950510241091,21,1
female,432.2205935609527,44,image_stim_p.png,41,180,437.83770744898356,0.6970915629644878,faceWord_exp,0.5562852579751052,b,church,336,433.2185912959976,Monday,1,6,438.39399270695867,5.21,431.5235019979882,13,42,438.5368820980075,0.4070035035588155,23,neu,0.6991746490239166,21,1
female,442.2298556669848,45,image_stim_n.png,32,180,447.8505697029759,0.6970069999806583,faceWord_exp,0.7670034199836664,y,law,336,443.2281782879727,Monday,1,6,448.6175731229596,4.55,441.53284866700415,12,42,448.54651137895416,0.7240429444440241,23,neg,0.6959416759782471,22,1
