no,delay_frames_before,word_score_pc,condition,delay_frames_after,response,offset_word,word_label,onset_word,key_t,pause_trigger_t,duration_frames,gender,scan day,img,correct_resp,ID,onset_img,offset_img,word,rt,word_score_warriner,duration_measured_img,random_timepoint,duration_measured_word,age,session
38,65,-0.08455950357770388,faceWord_exp,133,right,211.3979980259901,neu,210.60259458998917,213.35022334600217,212.3982821549871,48,male,Monday,image_stim_p.png,1,1,212.53395955098676,213.33091294398764,keyboard,0.8162637950154021,5.17,0.7969533930008765,226.55217767797876,0.7954034360009246,22,1
39,97,0.397042668763988,faceWord_exp,123,left,216.3479019709921,neg,215.5580159459787,218.59959271198022,217.3485370099952,48,male,Monday,image_stim_n.png,1,1,218.01722482198966,218.814475029998,policeman,0.5823678899905644,4.21,0.7972502080083359,232.03544279298512,0.7898860250134021,22,1
40,97,-2.2727319315779937,faceWord_exp,187,right,221.66439685798832,pos,220.86834545398597,224.0161406149855,222.66488985999604,48,male,Monday,image_stim_p.png,1,1,223.33284279998043,224.13108050599112,pie,0.6832978150050621,6.45,0.7982377060106955,237.35106046698638,0.7960514040023554,22,1
41,153,-2.3673221107876317,faceWord_exp,71,right,228.04773118899902,pos,227.2519436729781,231.11638040698017,229.04842004698003,48,male,Monday,image_stim_p.png,1,1,230.6499290339998,231.44711845199345,garden,0.466451372980373,7.25,0.7971894179936498,244.6681468290044,0.7957875160209369,22,1
42,88,3.3697994362845387,faceWord_exp,209,left,233.43096038498334,neg,232.63517304099514,235.49964858798194,234.43140061598388,48,male,Monday,image_stim_n.png,1,1,234.94989429600537,235.74763014199561,envy,0.5497542919765692,3.05,0.7977358459902462,248.968112225004,0.7957873439881951,22,1
43,116,1.9014187675556817,faceWord_exp,160,left,240.03090592697845,neg,239.23529513800167,242.53333750000456,241.03069561198936,48,male,Monday,image_stim_n.png,1,1,242.01748579597916,242.81376277498202,alligator,0.5158517040254083,4.23,0.7962769790028688,256.03570362299797,0.7956107889767736,22,1
44,147,0.5814463879932942,faceWord_exp,253,right,246.2806947119825,neg,245.48582253800123,249.231501561997,247.28144912299467,48,male,Monday,image_stim_n.png,0,1,248.7829944510013,249.5807362929918,sandpaper,0.44850711099570617,4.95,0.7977418419905007,262.80121235299157,0.7948721739812754,22,1
45,-1,-1.0613549170130714,faceWord_exp,70,left,254.59735455497866,pos,253.8010734349955,255.23302047798643,247.28144912299467,48,male,Monday,image_stim_p.png,0,1,254.6489541589981,255.44745982298627,boat,0.5840663189883344,6.36,0.7985056639881805,268.66717201299616,0.7962811199831776,22,1
46,74,0.13451130194660302,faceWord_exp,131,left,257.41401256099925,neg,256.6186336239916,259.34915653898497,258.4144882260007,48,male,Monday,image_stim_n.png,1,1,258.6966795969929,259.4972974729899,diplomat,0.6524769419920631,4.65,0.8006178759969771,272.71489737697993,0.7953789370076265,22,1
47,200,2.561630339716405,faceWord_exp,93,left,262.4808117770008,neg,261.6901435049949,266.26538741998957,263.4810859739955,48,male,Monday,image_stim_n.png,1,1,265.8626607109909,266.66363917899434,hospital,0.4027267089986708,3.52,0.80097846800345,279.88087825200637,0.7906682720058598,22,1
48,39,-0.05916451699915906,faceWord_exp,90,left,269.01417738499003,neu,268.21851609798614,270.399420118978,263.4810859739955,48,male,Monday,image_stim_n.png,1,1,269.7198793749849,270.514040612994,embassy,0.6795407439931296,5.3,0.7941612380091101,283.7380959209986,0.7956612870038953,22,1
49,92,-1.9273821271493088,faceWord_exp,121,right,272.81422833399847,pos,272.0193858999992,274.9656331889855,273.8146273419843,48,male,Monday,image_stim_p.png,1,1,274.3990207949828,275.1972296559834,sled,0.5666123940027319,6.35,0.7982088610006031,288.417238716007,0.7948424339992926,22,1
50,168,-0.277657621999038,faceWord_exp,152,left,278.01401521399384,neu,277.2174935840012,281.51545700698625,279.0145539059886,48,male,Monday,image_stim_n.png,1,1,280.8653012889845,281.66368426699773,man,0.6501557180017699,5.42,0.798382978013251,294.8835193949926,0.7965216299926396,22,1
51,129,3.648586845460279,faceWord_exp,141,left,284.99698191398056,neg,284.20233705898863,287.6151887459855,285.997603530006,48,male,Monday,image_stim_n.png,1,1,287.19987109999056,287.99660062399926,hurricane,0.41531764599494636,3.16,0.7967295240086969,301.21808888198575,0.7946448549919296,22,1
52,232,-0.8455595735963974,faceWord_exp,70,right,291.1468656929792,neu,290.35110148999956,295.6322262129979,292.1475890069851,48,male,Monday,image_stim_p.png,1,1,295.0651474839833,295.86345122699277,whale,0.5670787290146109,5.81,0.7983037430094555,309.0833656699979,0.7957642029796261,22,1
53,162,0.26215401176465297,faceWord_exp,174,left,297.83007984998403,neu,297.0341364729975,301.131535367982,298.83050291400286,48,male,Monday,image_stim_n.png,1,1,300.58239096798934,301.3800415729929,school,0.549144399992656,5.41,0.7976506050035823,314.6006090019946,0.7959433769865427,22,1
54,40,-0.5907285556577869,faceWord_exp,168,right,305.08006851098617,neu,304.28953483200166,306.3485026929993,298.83050291400286,48,male,Monday,image_stim_n.png,0,1,305.79778099700343,306.5965135819861,truck,0.5507216959958896,5.16,0.7987325849826448,319.8159989469859,0.7905336789845023,22,1
55,90,4.314775126713813,faceWord_exp,184,left,310.1967766279995,neg,309.40117207498406,312.0306515559787,311.1972116319812,48,male,Monday,image_stim_n.png,1,1,311.74623019900173,312.54618068100535,deceit,0.2844213569769636,2.89,0.7999504820036236,325.76444812800037,0.795604553015437,22,1
56,190,-0.9222259722889368,faceWord_exp,86,right,316.41329909299384,neu,315.61728094000136,320.1649857199809,317.4137807810039,48,male,Monday,image_stim_p.png,1,1,319.6314986689831,320.4288069070026,beer,0.5334870509977918,5.67,0.7973082380194683,333.6497167509806,0.7960181529924739,22,1
57,150,3.6605330306018913,faceWord_exp,147,left,322.6628144829883,neg,321.869504272996,325.7806431459903,323.6629305179813,48,male,Monday,image_stim_n.png,1,1,325.21513009199407,326.0131155879935,tornado,0.5655130539962556,3.63,0.7979854959994555,339.2333479549852,0.7933102099923417,22,1
58,86,3.457530661450998,faceWord_exp,26,left,329.26305057798163,neg,328.4675231940055,331.4142663109815,330.2631885189912,48,male,Monday,image_stim_n.png,1,1,330.7505895560025,331.5462967210042,victim,0.6636767549789511,2.05,0.7957071650016587,344.7688076829945,0.7955273839761503,22,1
59,166,-2.1296901000704778,faceWord_exp,178,right,332.77983512499486,pos,331.9847773729998,336.1479033079813,333.77917552000144,48,male,Monday,image_stim_p.png,1,1,335.59830434198375,336.3959432700067,zoo,0.5495989659975749,7.0,0.7976389280229341,349.6165222749987,0.7950577519950457,22,1
60,122,3.2148840110758776,faceWord_exp,173,left,340.16218734899303,neg,339.3691081199795,342.86402040798566,341.1630642929813,48,male,Monday,image_stim_n.png,1,1,342.24486431499827,343.0449540169793,avalanche,0.6191560929873958,4.0,0.8000897019810509,356.26308189099655,0.7930792290135287,22,1
