scan day,duration_frames,word_score_pc,duration_measured_word,word_score_warriner,img,duration_measured_img,img_trigger,gender,offset_word,onset_img,ID,pause_trigger,correct_resp,rt,delay_frames_before,word,age,onset_word,offset_img,session,key_t,condition,pause_trigger_t,word_label,word_trigger,response,no,delay_frames_after
Monday,42,-3.1565376907491283,0.6951035999809392,8.53,image_stim_p.png,0.677198400022462,21,female,472.9455697000376,475.9697679000092,2,31,1,-2.686324699956458,180,vacation,22,472.25046610005666,476.64696630003164,2,473.2834432000527,faceWord_exp,473.94686470000306,pos,11,b,48,336
Monday,42,-0.049892793833906636,0.6904580999980681,5.5,image_stim_n.png,0.6815849999547936,22,female,482.9454946000478,485.98036050004885,2,42,0,-1.685540500038769,180,nose,22,482.25503650004975,486.66194550000364,2,484.2948200000101,faceWord_exp,483.94670150004094,neu,13,b,49,336
Monday,42,-1.0752281295040744,0.6969009999884292,6.4,image_stim_p.png,0.6803400000208057,21,female,492.9610920000123,495.99799890001304,2,31,1,-2.5854972999659367,180,mercy,22,492.26419100002386,496.67833890003385,2,493.4125016000471,faceWord_exp,493.9635356000508,pos,11,b,50,336
Monday,42,-2.0702836690965865,0.6948643999639899,6.95,image_stim_p.png,0.6835010999930091,21,female,502.97541800001636,505.99242700001923,2,31,1,-2.9477136000059545,180,restaurant,22,502.2805536000524,506.67592810001224,2,503.0447134000133,faceWord_exp,503.9784918000223,pos,11,b,51,336
Monday,42,1.3393636650983416,0.6956038999487646,4.78,image_stim_n.png,0.6807175999856554,22,female,512.9751561000012,518.6268998000305,2,32,1,-3.1344071999774314,336,heavy,22,512.2795522000524,519.3076174000162,2,515.4924926000531,faceWord_exp,513.9758901000023,neg,12,y,52,180
Monday,42,0.5494484707734639,0.6919211999629624,4.81,image_stim_n.png,0.6892500999965705,22,female,523.0069875000045,528.6180450000102,2,32,0,-5.5255295999813825,336,stone,22,522.3150663000415,529.3072951000067,2,523.0925154000288,faceWord_exp,524.0094380000373,neg,12,b,53,180
Monday,42,-1.2502658664257256,0.6937415999709629,6.36,image_stim_p.png,0.6837408000137657,21,female,533.0056521000224,538.6364788000355,2,31,1,-5.36491780000506,336,day,22,532.3119105000515,539.3202196000493,2,533.2715610000305,faceWord_exp,534.0068222000264,pos,11,b,54,180
Monday,42,0.6502198887451732,0.6890205999952741,4.54,image_stim_n.png,0.6838067999924533,22,female,543.0211076000123,548.6532123000361,2,32,0,-4.778183499991428,336,office,22,542.332087000017,549.3370191000286,2,543.8750288000447,faceWord_exp,544.0222551000188,neg,12,b,55,180
Monday,42,-0.32263149533554664,0.6872739000245929,5.67,image_stim_p.png,0.6811684999847785,21,female,553.0364454000373,556.0714253000333,2,41,1,-2.701703800004907,180,attribute,22,552.3491715000127,556.7525938000181,2,553.3697215000284,faceWord_exp,554.0379466000013,neu,13,b,56,336
Monday,42,0.7321109855355353,0.696040200011339,3.48,image_stim_n.png,0.6797214000253007,22,female,563.0518272000481,566.0869873000192,2,32,1,-2.6636092999833636,180,axe,22,562.3557870000368,566.7667087000445,2,563.4233780000359,faceWord_exp,564.0541279000463,neg,12,y,57,336
Monday,42,2.483224745184551,0.6944589999620803,3.57,image_stim_n.png,0.6782730999984778,22,female,573.0660864000092,578.7385544000426,2,32,1,-5.387768300017342,336,cough,22,572.3716274000471,579.4168275000411,2,573.3507861000253,faceWord_exp,574.0681189000024,neg,12,y,58,180
Monday,42,0.4272037094573085,0.6886178000131622,5.03,image_stim_n.png,0.6831777999759652,22,female,583.1161365000298,586.1485667000525,2,42,1,-2.597804500022903,180,scissors,22,582.4275187000167,586.8317445000284,2,583.5507622000296,faceWord_exp,584.1161345000146,neu,13,y,59,336
Monday,42,-0.5451009915059291,0.6885776999988593,5.8,image_stim_n.png,0.6858819999615662,22,female,593.1311521000462,596.1782342000515,2,42,0,-2.745846000034362,180,toaster,22,592.4425744000473,596.8641162000131,2,593.4323882000172,faceWord_exp,594.1321189000155,neu,13,b,60,336
