word_score_warriner,onset_img,condition,correct_resp,response,pause_trigger_t,word_score_pc,gender,duration_measured_word,delay_frames_before,onset_word,offset_word,word_trigger,duration_frames,word_label,key_t,word,duration_measured_img,offset_img,scan day,delay_frames_after,img_trigger,rt,session,age,pause_trigger,no,img,ID
7.25,248.3725846069865,faceWord_exp,1,b,243.73960641899612,-1.6019047514101912,male,0.6955229070154019,336,242.04327599098906,242.73879889800446,11,42,pos,248.86170654802117,family,0.7025633150478825,249.07514792203438,Monday,180,21,0.4891219410346821,3,21,31,25,image_stim_p.png,km
6.63,255.81023092399118,faceWord_exp,1,b,253.77741601498565,-1.4106928476010352,male,0.6960005200235173,180,252.0803870820091,252.77638760203263,11,42,pos,256.28287598199677,car,0.70141328003956,256.51164420403074,Monday,336,21,0.47264505800558254,3,21,31,26,image_stim_p.png,km
5.95,265.8474726069835,faceWord_exp,1,y,263.8154722559848,-0.6884171372613734,male,0.6965640669804998,180,262.1182812890038,262.8148453559843,13,42,neu,266.41862719500205,egg,0.7024706170195714,266.5499432240031,Monday,336,22,0.571154588018544,3,21,42,27,image_stim_n.png,km
7.15,278.4870387180126,faceWord_exp,1,b,273.8540529580205,-1.9498998207384868,male,0.6960184660274535,336,272.1570884649991,272.85310693102656,11,42,pos,278.97448190301657,symphony,0.702211752999574,279.1892504710122,Monday,180,21,0.48744318500394,3,21,31,28,image_stim_p.png,km
5.81,288.52475764002884,faceWord_exp,1,b,283.8918231559801,-1.343270424679961,male,0.6964664150145836,336,282.19463484099833,282.8911012560129,13,42,neu,289.28213925199816,jam,0.7029644649592228,289.22772210498806,Monday,180,21,0.757381611969322,3,21,41,29,image_stim_p.png,km
3.0,295.9622957709944,faceWord_exp,1,y,293.9301181540359,3.4211910580769755,male,0.6953254920081235,180,292.233882230008,292.92920772201614,12,42,neg,296.60018767399015,tax,0.7022632980369963,296.6645590690314,Monday,336,22,0.6378919029957615,3,21,32,30,image_stim_n.png,km
4.7,308.6051298570237,faceWord_exp,1,y,303.968093833013,0.33736940436804663,male,0.6931864200159907,336,302.2739516450092,302.9671380650252,12,42,neg,309.19338199601043,radish,0.6982322109979577,309.30336206802167,Monday,180,22,0.5882521389867179,3,21,32,31,image_stim_n.png,km
2.62,318.63892611599294,faceWord_exp,,,314.0061556129949,4.2618443246155895,male,0.6961583259981126,336,312.309155045019,313.0053133710171,12,42,neg,,shame,0.7025391510105692,319.3414652670035,Monday,180,22,,3,21,32,32,image_stim_n.png,km
4.6,328.677469577,faceWord_exp,1,y,324.0443331989809,0.041184453360586966,male,0.6960851759649813,336,322.3471637610346,323.0432489369996,12,42,neg,329.4485900350264,cabbage,0.7022071679821238,329.37967674498213,Monday,180,22,0.7711204580264166,3,21,32,33,image_stim_n.png,km
4.68,336.11444358399604,faceWord_exp,1,y,334.08246049901936,0.41231466195915456,male,0.6961852220119908,180,332.3851731949835,333.0813584169955,12,42,neg,336.8881569239893,foot,0.7023195690126158,336.81676315300865,Monday,336,22,0.7737133399932645,3,21,32,34,image_stim_n.png,km
6.32,346.15265053801704,faceWord_exp,1,b,344.12058704701485,-1.100912149643323,male,0.6953995969961397,180,342.42419340700144,343.1195930039976,11,42,pos,346.6737364330329,saxophone,0.7022720469976775,346.8549225850147,Monday,336,21,0.5210858950158581,3,21,31,35,image_stim_p.png,km
4.18,358.7933845410007,faceWord_exp,1,y,354.1586637010332,1.9197700017151131,male,0.6957390449824743,336,352.4620122750057,353.15775131998817,12,42,neg,359.36311228602426,belch,0.7008646510075778,359.4942491920083,Monday,180,22,0.569727745023556,3,21,32,36,image_stim_n.png,km
5.7,366.24473161803326,faceWord_exp,1,y,364.1967758410028,0.07332602516344529,male,0.6967016900307499,180,362.4990620680037,363.19576375803445,13,42,neu,366.7683397930232,jungle,0.7028763399575837,366.94760795799084,Monday,336,22,0.5236081749899313,3,21,42,37,image_stim_n.png,km
4.57,376.28645808500005,faceWord_exp,1,y,374.25150207203114,0.7962654471128737,male,0.6926762500079349,180,372.55760201602243,373.25027826603036,12,42,neg,376.77301887300564,reporter,0.6991560290334746,376.9856141140335,Monday,336,22,0.48656078800559044,3,21,32,38,image_stim_n.png,km
4.85,386.32187086500926,faceWord_exp,1,y,384.2896979950019,-0.3331872788781821,male,0.6957464750157669,180,382.5928073319956,383.28855380701134,12,42,neg,386.82807809399674,voter,0.7015007180161774,387.02337158302544,Monday,336,22,0.5062072289874777,3,21,32,39,image_stim_n.png,km
3.37,396.36012164101703,faceWord_exp,1,y,394.32772227801615,2.411295736651624,male,0.6964915519929491,180,392.63031168299494,393.3268032349879,12,42,neg,396.930632239033,tobacco,0.7015057720127515,397.0616274130298,Monday,336,22,0.5705105980159715,3,21,32,40,image_stim_n.png,km
5.48,408.99933770502685,faceWord_exp,1,b,404.3658453070093,0.2046331385026182,male,0.6957374110352248,336,402.6691533449921,403.3648907560273,13,42,neu,409.56963296298636,glass,0.7017511819722131,409.70108888699906,Monday,180,21,0.5702952579595149,3,21,41,41,image_stim_p.png,km
4.32,416.43605515302625,faceWord_exp,1,y,414.40420891402755,1.7592404876513306,male,0.6964522379566915,180,412.70665738603566,413.40310962399235,12,42,neg,417.00644063198706,cold,0.7020417059538886,417.13809685898013,Monday,336,22,0.5703854789608158,3,21,32,42,image_stim_n.png,km
5.24,426.473861763021,faceWord_exp,1,b,424.4418151770369,0.6016604903777263,male,0.696363814000506,180,422.74446639599046,423.44083020999096,13,42,neu,427.04483758303104,toe,0.7020201229606755,427.17588188598165,Monday,336,21,0.5709758200100623,3,21,41,43,image_stim_p.png,km
5.75,439.1131004290073,faceWord_exp,1,y,434.4798158699996,0.5062695562835388,male,0.6958948219544254,336,432.78307351103285,433.4789683329873,13,42,neu,439.7843714270275,year,0.7021057229721919,439.8152061519795,Monday,180,22,0.6712709980201907,3,21,42,44,image_stim_n.png,km
4.59,449.1546705060173,faceWord_exp,1,y,444.51811604603427,2.1987551193617842,male,0.6938651570235379,336,442.8232979410095,443.51716309803305,12,42,neg,449.74316056101816,volcano,0.6992241889820434,449.8538946949993,Monday,180,22,0.5884900550008751,3,21,32,45,image_stim_n.png,km
6.84,456.58803196798544,faceWord_exp,1,b,454.5562004119856,-1.728066945394655,male,0.6952846430358477,180,452.8600521439803,453.55533678701613,11,42,pos,457.1096428959863,computer,0.7025136090232991,457.29054557700874,Monday,336,21,0.5216109280008823,3,21,31,46,image_stim_p.png,km
5.61,469.2271934840246,faceWord_exp,1,b,464.59459685499314,0.5990623206044929,male,0.6954675870365463,336,462.8984161519911,463.59388373902766,13,42,neu,469.80146301700734,witness,0.7025704989791848,469.9297639830038,Monday,180,21,0.5742695329827257,3,21,41,47,image_stim_p.png,km
5.34,479.26561457902426,faceWord_exp,1,y,474.63228422100656,-0.1793860699809707,male,0.6951304110116325,336,472.93616682098946,473.6312972320011,13,42,neu,479.7199571300298,patent,0.7022965839714743,479.96791116299573,Monday,180,22,0.45434255100553855,3,21,42,48,image_stim_n.png,km
6.75,489.30361408903264,faceWord_exp,1,b,484.6705315519939,-1.0841943171680315,male,0.6960702700307593,336,482.9733627800015,483.66943305003224,11,42,pos,489.8411913650343,bird,0.7022873449604958,490.00590143399313,Monday,180,21,0.5375772760016844,3,21,31,49,image_stim_p.png,km
7.0,496.74042217602255,faceWord_exp,1,b,494.7087797700078,-1.9950971558262764,male,0.6955135239986703,180,493.0123609920265,493.7078745160252,11,42,pos,497.26461864303565,park,0.7021887049777433,497.4426108810003,Monday,336,21,0.5241964670130983,3,21,31,50,image_stim_p.png,km
5.71,509.38011684501544,faceWord_exp,1,y,504.7466636769823,0.1511721542964875,male,0.6965931210434064,336,503.0492088639876,503.745801985031,13,42,neu,510.0673030029866,sum,0.702001765021123,510.08211861003656,Monday,180,22,0.6871861579711549,3,21,42,51,image_stim_n.png,km
6.62,519.4226139099919,faceWord_exp,1,b,514.7848199050059,-1.0930411682114536,male,0.693711400963366,336,513.0900277470355,513.7837391479989,11,42,pos,520.0224281569826,goldfish,0.6976789089967497,520.1202928189887,Monday,180,21,0.599814246990718,3,21,31,52,image_stim_p.png,km
5.73,529.4562844170141,faceWord_exp,1,b,524.8228105599992,0.30770997164376424,male,0.6960134590044618,336,523.1257132110186,523.821726670023,13,42,neu,529.9292342549888,reality,0.7020065339747816,530.1582909509889,Monday,180,21,0.47294983797473833,3,21,41,53,image_stim_p.png,km
3.28,539.4939566120156,faceWord_exp,1,y,534.8613302620361,2.3068979902815,male,0.6963334500323981,336,533.163944098982,533.8602775490144,12,42,neg,540.0148098469945,trial,0.7023328159702942,540.1962894279859,Monday,180,22,0.5208532349788584,3,21,32,54,image_stim_n.png,km
5.65,546.931193832017,faceWord_exp,1,b,544.8993316119886,0.13339963708933658,male,0.6959458559867926,180,543.2022751290351,543.8982209850219,13,42,neu,547.8699267919874,pencil,0.7021201190073043,547.6333139510243,Monday,336,21,0.9387329599703662,3,21,41,55,image_stim_p.png,km
4.95,556.969549831003,faceWord_exp,1,y,554.9372314059874,1.239138220826116,male,0.6959929160075262,180,553.240320691024,553.9363136070315,12,42,neg,557.4232725810143,debate,0.7016103109926917,557.6711601419956,Monday,336,22,0.45372275001136586,3,21,32,56,image_stim_n.png,km
2.11,567.0087512379978,faceWord_exp,1,y,564.9750993080088,3.6129749181587063,male,0.6959812449640594,180,563.2783601650153,563.9743414099794,12,42,neg,567.5138668330037,criminal,0.7007133869919926,567.7094646249898,Monday,336,22,0.5051155950059183,3,21,32,57,image_stim_n.png,km
6.26,579.6467345200363,faceWord_exp,1,b,575.0134066219907,-2.0727743906520253,male,0.6963653419516049,336,573.3160533460323,574.0124186879839,11,42,pos,580.3345538920257,fountain,0.7020703349844553,580.3488048550207,Monday,180,21,0.6878193719894625,3,21,31,58,image_stim_p.png,km
5.68,587.0860152670066,faceWord_exp,1,b,585.0516267750063,-0.4971407339658378,male,0.6931284089805558,180,583.3573949300335,584.050523339014,13,42,neu,587.5901554360171,cafeteria,0.6996200489811599,587.7856353159877,Monday,336,21,0.5041401690104976,3,21,41,59,image_stim_p.png,km
5.72,599.7224765950232,faceWord_exp,1,b,595.089555343031,0.20373950943912453,male,0.6961503039929084,336,593.3926602220163,594.0888105260092,13,42,neu,600.3602749379934,plane,0.7026005209772848,600.4250771160005,Monday,180,21,0.6377983429701999,3,21,41,60,image_stim_p.png,km
