age,key_t,no,gender,word,word_score_warriner,word_label,word_trigger,rt,pause_trigger,response,img_trigger,onset_img,delay_frames_after,delay_frames_before,duration_measured_word,scan day,correct_resp,duration_frames,duration_measured_img,offset_img,word_score_pc,onset_word,pause_trigger_t,img,ID,condition,offset_word,session
22,246.2876014749636,25,female,landslide,4.76,neg,12,0.6385876630083658,32,y,22,245.64901381195523,336,180,0.6919988959562033,Monday,1,42,0.7014535730122589,246.3504673849675,3.561717315569441,241.9247056620079,243.6175027359859,image_stim_n.png,ELAS,faceWord_exp,242.6167045579641,2
22,258.85501375596505,26,female,terrorist,2.35,neg,12,0.5724944769754075,32,y,22,258.28251927898964,180,336,0.6920680169714615,Monday,1,42,0.7019798110122792,258.9844990900019,4.537930167489568,251.95874155400088,253.65165457996773,image_stim_n.png,ELAS,faceWord_exp,252.65080957097234,2
22,266.25554734200705,27,female,whole,5.86,neu,13,0.5379806540440768,42,y,22,265.717566687963,336,180,0.6928418899769895,Monday,1,42,0.700763191038277,266.41832987900125,0.10630403813009667,261.9919500849792,263.68579310696805,image_stim_n.png,ELAS,faceWord_exp,262.68479197495617,2
22,276.3060300909565,28,female,street,5.07,neu,13,0.5546634869533591,41,b,21,275.7513666040031,336,180,0.692621172987856,Monday,1,42,0.7010189690045081,276.45238557300763,0.3228926581020319,272.02615557500394,273.71949212497566,image_stim_p.png,ELAS,faceWord_exp,272.7187767479918,2
22,286.37362931499956,29,female,asparagus,5.43,neu,13,0.5893366370000876,42,y,22,285.7842926779995,336,180,0.6922462100046687,Monday,1,42,0.702885273960419,286.4871779519599,-0.34443889393116306,282.06059991999064,283.75379761395743,image_stim_n.png,ELAS,faceWord_exp,282.7528461299953,2
22,296.49219391297083,30,female,cough,3.57,neg,12,0.6727415329660289,32,y,22,295.8194523800048,336,180,0.6926420459640212,Monday,1,42,0.70119213295402,296.5206445129588,2.483224745184551,292.0941827640054,293.7878941220115,image_stim_n.png,ELAS,faceWord_exp,292.7868248099694,2
22,308.9746180929942,31,female,power,5.97,neu,13,0.5185953039908782,41,y,21,308.4560227890033,180,336,0.689890384033788,Monday,0,42,0.6986635229550302,309.15468631195836,-0.02119054453060663,302.1309919069754,303.8216462339624,image_stim_p.png,ELAS,faceWord_exp,302.8208822910092,2
22,319.0925297149806,32,female,hoe,4.8,neg,12,0.6047768999706022,32,y,22,318.48775281501,180,336,0.693641085003037,Monday,1,42,0.7008964179549366,319.18864923296496,0.2623575316864496,312.16126935899956,313.8556554989773,image_stim_n.png,ELAS,faceWord_exp,312.8549104440026,2
22,328.9772316800081,33,female,piano,6.4,pos,11,0.45639408205170184,31,b,21,328.5208375979564,180,336,0.6926631099777296,Monday,1,42,0.7018166750203818,329.2226542729768,-1.7947555393350414,322.19624946900876,323.88992836599937,image_stim_p.png,ELAS,faceWord_exp,322.8889125789865,2
22,336.64379419299075,34,female,luck,6.73,pos,11,0.6885202170233242,31,b,21,335.95527397596743,336,180,0.6930164369987324,Monday,1,42,0.7013109690160491,336.6565849449835,-2.2291915044129413,332.22987324895803,333.9236781600048,image_stim_p.png,ELAS,faceWord_exp,332.92288968595676,2
22,346.7294756809715,35,female,excuse,4.52,neg,12,0.7403009269619361,32,y,22,345.9891747540096,336,180,0.6927207859698683,Monday,1,42,0.7014677769620903,346.6906425309717,2.373388118792564,342.2641966390074,343.95770241197897,image_stim_n.png,ELAS,faceWord_exp,342.9569174249773,2
22,356.62884552095784,36,female,ricochet,4.75,neg,12,0.6059092419454828,32,y,22,356.02293627901236,336,180,0.6924885410116985,Monday,1,42,0.7009684959775768,356.72390477498993,1.0482300490198866,352.29851243499434,353.9916829220019,image_stim_n.png,ELAS,faceWord_exp,352.99100097600603,2
22,366.5952372439788,37,female,angry,2.53,neg,12,0.5381336829741485,32,y,22,366.0571035610046,336,180,0.6928924389649183,Monday,1,42,0.7014913719613105,366.75859493296593,3.4296451702105397,362.33208656299394,364.02606666099746,image_stim_n.png,ELAS,faceWord_exp,363.02497900195885,2
22,373.2301518889726,38,female,restaurant,6.95,pos,11,-5.464100854005665,31,y,21,378.6942527429783,180,336,0.6890541319735348,Monday,0,42,0.6985354879871011,379.3927882309654,-2.0702836690965865,372.369981958007,374.05981112399604,image_stim_p.png,ELAS,faceWord_exp,373.0590360899805,2
22,389.33077647397295,39,female,optimism,7.21,pos,11,0.6056608110084198,31,b,21,388.7251156629645,180,336,0.6924700459931046,Monday,1,42,0.7019568069954403,389.42707246995997,-2.7563434535584275,382.4005734680104,384.093782426964,image_stim_p.png,ELAS,faceWord_exp,383.0930435140035,2
22,396.73100433597574,40,female,store,5.94,neu,13,0.5724400529870763,41,b,21,396.15856428298866,336,180,0.6929921550326981,Monday,1,42,0.7024476769729517,396.8610119599616,-0.8400509032218062,392.43410050397506,394.1277833239874,image_stim_p.png,ELAS,faceWord_exp,393.12709265900776,2
22,406.88201472500805,41,female,perjury,2.95,neg,12,0.6885129330330528,32,y,22,406.193501791975,336,180,0.692640881985426,Monday,1,42,0.7012930240016431,406.89479481597664,3.222893544100452,402.4684719039942,404.16188642999623,image_stim_n.png,ELAS,faceWord_exp,403.16111278597964,2
22,416.832898897992,42,female,monkey,5.82,neu,13,0.604873995995149,41,b,21,416.22802490199683,336,180,0.6926086019957438,Monday,1,42,0.7009341779630631,416.9289590799599,-0.6680004122251881,412.5025717130047,414.19593237695517,image_stim_p.png,ELAS,faceWord_exp,413.19518031500047,2
22,429.5168350790045,43,female,fireworks,6.8,pos,11,0.6549832160235383,31,b,21,428.861851862981,180,336,0.6920355620095506,Monday,1,42,0.701243995979894,429.5630958589609,-1.926056195769395,422.53747307596495,424.229901011975,image_stim_p.png,ELAS,faceWord_exp,423.2295086379745,2
22,436.8505386019824,44,female,chicken,6.17,pos,11,0.5545666320249438,31,b,21,436.29597196995746,336,180,0.6929042870178819,Monday,1,42,0.7009348710416816,436.99690684099915,-1.3205598447631597,432.57032231095945,434.26399263797794,image_stim_p.png,ELAS,faceWord_exp,433.26322659797734,2
22,449.5024836809607,45,female,jaw,4.41,neg,12,0.5709123439737596,32,y,22,448.93157133698696,180,336,0.6907047459972091,Monday,1,42,0.6996524140122347,449.6312237509992,0.16339675594021513,442.6066626739921,444.2979727690108,image_stim_n.png,ELAS,faceWord_exp,443.2973674199893,2
22,456.9687808229937,46,female,embrace,7.0,pos,11,0.6056721360073425,31,b,21,456.3631086869864,336,180,0.6922781569883227,Monday,1,42,0.7019807099713944,457.0650893969578,-2.461915733068042,452.63903951999964,454.3322126920102,image_stim_p.png,ELAS,faceWord_exp,453.33131767698796,2
22,469.71967364999,47,female,mercy,6.4,pos,11,0.7221746770082973,31,b,21,468.9974989729817,180,336,0.6932241230388172,Monday,1,42,0.70083618798526,469.69833516096696,-1.0752281295040744,462.67209117196035,464.36632977897534,image_stim_p.png,ELAS,faceWord_exp,463.36531529499916,2
22,479.870369147975,48,female,sailboat,6.81,pos,11,0.8391892749932595,31,y,21,479.03117987298174,180,336,0.6928366629872471,Monday,0,42,0.7020754939876497,479.7332553669694,-1.5621536719325724,472.70646362699335,474.4000331129646,image_stim_p.png,ELAS,faceWord_exp,473.3993002899806,2
22,487.20386307896115,49,female,theory,5.65,neu,13,0.7377518719877116,42,b,22,486.46611120697344,336,180,0.6929283349891193,Monday,0,42,0.7010833169915713,487.167194523965,0.1106807997481866,482.7404809879954,484.4340732640121,image_stim_n.png,ELAS,faceWord_exp,483.4334093229845,2
22,496.80483867396833,50,female,sick,2.29,neg,12,0.3055041719926521,32,y,22,496.4993345019757,336,180,0.6936044039903209,Monday,1,42,0.7019480000017211,497.2012825019774,3.4738609063027237,492.77377962798346,494.4685254599899,image_stim_n.png,ELAS,faceWord_exp,493.4673840319738,2
22,509.6556525210035,51,female,apartment,5.72,neu,13,0.5221272080088966,41,b,21,509.1335253129946,180,336,0.6921060609747656,Monday,1,42,0.7016710590105504,509.83519637200516,-0.5485436049411244,502.80924102000427,504.5020245629712,image_stim_p.png,ELAS,faceWord_exp,503.50134708097903,2
22,519.7565430239774,52,female,camel,5.29,neu,13,0.5868753789691254,42,y,22,519.1696676450083,180,336,0.6891970079741441,Monday,1,42,0.6997369369491935,519.8694045819575,0.0657349158769076,512.8461644449853,514.5363554939977,image_stim_n.png,ELAS,faceWord_exp,513.5353614529595,2
22,529.7571665179566,53,female,lab,4.57,neg,12,0.5554903099546209,32,y,22,529.201676208002,180,336,0.6936124949716032,Monday,1,42,0.7015359089709818,529.903212116973,0.2032181950076048,522.8757572679897,524.570384185994,image_stim_n.png,ELAS,faceWord_exp,523.5693697629613,2
22,537.1249354520114,54,female,stone,4.81,neg,12,0.48876512405695394,32,y,22,536.6361703279545,336,180,0.6927050200174563,Monday,1,42,0.7010512640117668,537.3372215919662,0.5494484707734639,532.9107839399949,534.6042267360026,image_stim_n.png,ELAS,faceWord_exp,533.6034889600123,2
22,549.7577409470105,55,female,problem,3.52,neg,12,0.4880959890433587,32,y,22,549.2696449579671,180,336,0.6927269150037318,Monday,1,42,0.7018773640156724,549.9715223219828,4.02985566434138,542.9447137019597,544.6382638749783,image_stim_n.png,ELAS,faceWord_exp,543.6374406169634,2
22,559.9092693179846,56,female,tired,4.29,neg,12,0.604755936015863,32,y,22,559.3045133819687,180,336,0.6928529790020548,Monday,1,42,0.7007477820152417,560.005261163984,2.351878020671037,552.9786637579673,554.6722355319653,image_stim_n.png,ELAS,faceWord_exp,553.6715167369694,2
22,567.1931468659895,57,female,carnival,6.48,pos,11,0.4551590060000308,31,b,21,566.7379878599895,336,180,0.6926465979777277,Monday,1,42,0.7013711420004256,567.4393590019899,-2.4114282062334524,563.0129060649779,564.7062518179882,image_stim_p.png,ELAS,faceWord_exp,563.7055526629556,2
22,579.9943389149848,58,female,tree,7.59,pos,11,0.6219210699782707,31,y,21,579.3724178450066,180,336,0.6930044059990905,Monday,0,42,0.7009334659669548,580.0733513109735,-1.3695211950901562,573.0465285750106,574.74037735397,image_stim_p.png,ELAS,faceWord_exp,573.7395329810097,2
22,589.8117713679676,59,female,highway,5.19,neu,13,0.40401199396001175,42,y,22,589.4077593740076,180,336,0.6893458749982528,Monday,1,42,0.6995236990042031,590.1072830730118,0.650019808676411,583.0842601300101,584.7743670939817,image_stim_n.png,ELAS,faceWord_exp,583.7736060050083,2
22,599.9611632949673,60,female,verb,5.27,neu,13,0.5218415849958546,41,y,21,599.4393217099714,180,336,0.6932930640177801,Monday,0,42,0.7014408039976843,600.1407625139691,0.17918122123944408,593.1143495569704,594.8079925939674,image_stim_p.png,ELAS,faceWord_exp,593.8076426209882,2
