response,word_label,scan day,pause_trigger_t,offset_word,onset_img,age,delay_frames_before,word_score_warriner,word_score_pc,delay_frames_after,rt,word_trigger,word,img_trigger,key_t,gender,ID,duration_measured_word,img,onset_word,duration_frames,condition,correct_resp,no,session,offset_img,pause_trigger,duration_measured_img
y,neu,Monday,324.00752689999354,323.00644640000246,328.66127589999815,23,336,5.14,-0.18281188470513854,180,0.5123007999936817,13,spatula,22,329.1735766999918,male,74,0.6917595000122674,image_stim_n.png,322.3146868999902,42,faceWord_exp,1,33,1,329.33872619998874,42,0.6774502999905962
y,neu,Monday,334.0398425000021,333.03853679999884,336.0931821999984,23,180,5.8,-1.3575770021145472,336,0.5133095999917714,13,tomato,22,336.6064917999902,male,74,0.6921082000044407,image_stim_n.png,332.3464285999944,42,faceWord_exp,1,34,1,336.77131799999916,42,0.6781358000007458
y,neg,Monday,344.07161749999796,343.07055779999064,348.72842030000174,23,336,3.16,3.648586845460279,180,0.5926611999893794,12,hurricane,22,349.3210814999911,male,74,0.6915688000008231,image_stim_n.png,342.3789889999898,42,faceWord_exp,1,35,1,349.41947439999785,32,0.6910540999961086
y,neg,Monday,354.1203999999998,353.1193043999956,358.77389609999955,23,336,3.32,2.3815246085651838,180,0.4290792999963742,12,bribe,22,359.2029753999959,male,74,0.6920783999958076,image_stim_n.png,352.4272259999998,42,faceWord_exp,1,36,1,359.45149669999955,32,0.6776006000000052
y,neg,Monday,364.1524817000027,363.15142009999545,368.8047515999933,23,336,2.67,4.010420717126172,180,0.463602500007255,12,lonely,22,369.2683541000006,male,74,0.6923824999976205,image_stim_n.png,362.4590375999978,42,faceWord_exp,1,37,1,369.483541900001,32,0.6787903000076767
b,pos,Monday,374.1846317000018,373.1831772000005,376.2371485999902,23,180,6.35,-1.9273821271493088,336,0.46410409999953117,11,sled,21,376.7012526999897,male,74,0.6929566000035265,image_stim_p.png,372.490220599997,42,faceWord_exp,1,38,1,376.91638179999427,31,0.6792332000040915
y,neu,Monday,384.2165738999902,383.2152147000015,386.23636579999584,23,180,5.16,-0.5907285556577869,336,0.6135500999953365,13,truck,22,386.8499158999912,male,74,0.6919271000078879,image_stim_n.png,382.52328759999364,42,faceWord_exp,1,39,1,386.9150612999947,42,0.6786954999988666
y,neg,Monday,394.2153183999908,393.2145410999947,398.8733427999978,23,336,4.0,3.2148840110758776,180,0.4409579999919515,12,avalanche,22,399.3143007999897,male,74,0.6938430000009248,image_stim_n.png,392.52069809999375,42,faceWord_exp,1,40,1,399.56305820000125,32,0.6897154000034789
y,neg,Monday,404.26403539998864,403.2628277999902,406.31729229999473,23,180,3.05,3.3697994362845387,336,0.5968171999993501,12,envy,22,406.9141094999941,male,74,0.6932847999996739,image_stim_n.png,402.5695429999905,42,faceWord_exp,1,41,1,406.995459400001,32,0.6781671000062488
y,pos,Monday,414.29613649999374,413.29532589999144,416.3510913999926,23,180,7.13,-1.5151286486205269,336,0.5432994000002509,11,lake,21,416.89439079999283,male,74,0.6936430999921868,image_stim_p.png,412.60168279999925,42,faceWord_exp,0,42,1,417.0438670000003,31,0.6927756000077352
b,pos,Monday,424.3447535000014,423.34364469999855,429.001966900003,23,336,8.0,-2.40140153221556,180,0.5091634999989765,11,love,21,429.511130400002,male,74,0.6805989999993471,image_stim_p.png,422.6630456999992,42,faceWord_exp,1,43,1,429.69291329999396,31,0.6909463999909349
b,pos,Monday,434.39344089999213,433.3923960999964,439.04911029999494,23,336,6.37,-1.8465637543339983,180,1.2606099999975413,11,wealthy,21,440.3097202999925,male,74,0.692432199997711,image_stim_p.png,432.6999638999987,42,faceWord_exp,1,44,1,439.74159189999045,31,0.6924815999955172
b,neu,Monday,444.4421672999888,443.44105229999695,449.0965632000007,23,336,5.05,0.3759356543037889,180,0.5282386999897426,13,fence,21,449.6248018999904,male,74,0.6922423000069102,image_stim_p.png,442.74880999999004,42,faceWord_exp,1,45,1,449.79026739999244,41,0.693704199991771
b,pos,Monday,454.49087589999544,453.4896207999991,459.14533099999244,23,336,6.85,-1.1443669013398097,180,0.49552050000056624,11,moral,21,459.640851499993,male,74,0.6937926999962656,image_stim_p.png,452.79582810000284,42,faceWord_exp,1,46,1,459.8388644999941,31,0.6935335000016494
y,neg,Monday,464.53974279999966,463.5385244999925,469.192976499995,23,336,3.08,2.166851165767892,180,0.5296850000013364,12,aggressive,22,469.7226614999963,male,74,0.6915383000014117,image_stim_n.png,462.8469861999911,42,faceWord_exp,1,47,1,469.87086579999595,32,0.6778893000009703
