word_trigger,delay_frames_before,ID,offset_img,age,condition,word_score_pc,session,onset_word,scan day,response,no,word_label,pause_trigger_t,key_t,img_trigger,correct_resp,word_score_warriner,duration_measured_img,rt,duration_frames,gender,img,duration_measured_word,onset_img,delay_frames_after,offset_word,pause_trigger,word
11,336,2019102101,247.99040833627805,25,faceWord_exp,-1.9002611819546853,3,240.9928371293936,Monday,b,25,pos,242.69057123956736,248.07427500316408,21,1,7.11,0.6857284101424739,0.769595077028498,42,male,image_stim_p.png,0.6973529972601682,247.30467992613558,180,241.69019012665376,31,couple
13,336,2019102101,257.99090237158816,25,faceWord_exp,-1.0048841857254538,3,250.99300779611804,Monday,b,26,neu,252.69095941015985,257.95790369901806,21,1,5.89,0.685823688399978,0.6528250158298761,42,male,image_stim_p.png,0.6976388320326805,257.3050786831882,180,251.69064662815072,41,gum
13,180,2019102101,265.3912134213606,25,faceWord_exp,-1.5026706526379858,3,260.9940975611098,Monday,b,27,neu,262.69144478382077,265.2248896921519,21,1,5.82,0.6857406006893143,0.5194168714806437,42,male,image_stim_p.png,0.6970735784852877,264.7054728206713,336,261.6911711395951,41,spiritual
13,180,2019102101,275.3916811508825,25,faceWord_exp,0.6016604903777263,3,270.9938758867793,Monday,b,28,neu,272.69192951591685,275.24203753005713,21,1,5.24,0.6854297433746979,0.5357861225493252,42,male,image_stim_p.png,0.6977671528002247,274.7062514075078,336,271.6916430395795,41,toe
11,336,2019102101,287.9922397957416,25,faceWord_exp,-1.8894778219780863,3,280.9947596967686,Monday,b,29,pos,282.69232538575307,287.70925026608165,21,1,7.0,0.6855869364226237,0.4025974067626521,42,male,image_stim_p.png,0.6972086362075061,287.306652859319,180,281.6919683329761,31,coffee
13,180,2019102101,295.39258324657567,25,faceWord_exp,0.1511721542964875,3,290.99479434336536,Monday,,30,neu,292.69278926576953,,21,,5.71,0.6855798787437379,,42,male,image_stim_p.png,0.6976635337341577,294.70700336783193,336,291.6924578770995,41,sum
11,336,2019102101,307.9931842373917,25,faceWord_exp,-3.230607919269787,3,300.99538301536813,Monday,b,31,pos,302.6932053461205,307.7935230685398,21,1,8.21,0.6857543952064589,0.4860932263545692,42,male,image_stim_p.png,0.6975246263900772,307.30742984218523,180,301.6929076417582,31,joy
11,336,2019102101,317.9936298315879,25,faceWord_exp,-2.0727743906520253,3,310.99610578257125,Monday,b,32,pos,312.69368494534865,317.8939877183875,21,1,6.26,0.6858695631381124,0.5862274499377236,42,male,image_stim_p.png,0.6972179395379499,317.3077602684498,180,311.6933237221092,31,fountain
12,180,2019102101,325.3939659039024,25,faceWord_exp,0.41231466195915456,3,320.99616128136404,Monday,y,33,neg,322.6941549205221,325.34440293267835,22,1,4.68,0.6860642899991944,0.6365013187751174,42,male,image_stim_n.png,0.6976372279459611,324.70790161390323,336,321.69379850931,32,foot
12,180,2019102101,335.39444678637665,25,faceWord_exp,3.4211910580769755,3,330.9966453718953,Monday,y,34,neg,332.69466531672515,335.14476935286075,22,1,3.0,0.6860113576985896,0.4363339241826907,42,male,image_stim_n.png,0.6976045060437173,334.70843542867806,336,331.694249877939,32,tax
13,336,2019102101,347.99501698010135,25,faceWord_exp,0.5062695562835388,3,340.9973501742352,Monday,y,35,neu,342.6951632016571,347.8120744158514,22,1,5.75,0.6860790469218045,0.5031364826718345,42,male,image_stim_n.png,0.6973321450641379,347.30893793317955,180,341.6946823192993,42,year
