word_score_warriner,img_trigger,rt,age,duration_measured_img,condition,duration_measured_word,response,onset_img,key_t,gender,duration_frames,img,session,word_label,word_trigger,pause_trigger_t,offset_img,word,ID,word_score_pc,no,delay_frames_after,correct_resp,onset_word,scan day,offset_word,delay_frames_before,pause_trigger
6.67,21,0.42902475700248033,25,0.6903715879889205,faceWord_exp,0.6962892040028237,b,366.25849654000194,366.6875212970044,female,42,image_stim_p.png,4,pos,11,364.23232890899817,366.94886812799086,gratitude,77,-2.8305869761860607,37,336,1,362.53529225999955,Monday,363.2315814640024,180,31
5.85,21,0.4753932250023354,25,0.7059132349968422,faceWord_exp,0.6931356510031037,b,378.8832112999953,379.35860452499765,female,42,image_stim_p.png,4,neu,13,374.25378188600007,379.58912453499215,circus,77,-2.547043884761341,38,180,1,372.559782486991,Monday,373.25291813799413,336,41
6.73,21,0.44090711598983034,25,0.7055171639949549,faceWord_exp,0.6951804730051663,b,388.92165041700355,389.3625575329934,female,42,image_stim_p.png,4,pos,11,384.2919035619998,389.6271675809985,parent,77,-1.2094761189992442,39,180,1,382.595659625993,Monday,383.29084009899816,336,31
4.95,22,0.5091358379868325,25,0.7059943269996438,faceWord_exp,0.6966937510005664,y,398.95927635900443,399.46841219699127,female,42,image_stim_n.png,4,neg,12,394.3298823359946,399.6652706860041,majority,77,0.19555716741692625,40,180,1,392.63227959300275,Monday,393.3289733440033,336,32
6.15,21,0.6095173530047759,25,0.7058436259976588,faceWord_exp,0.6957335409970256,b,406.39634077899973,407.0058581320045,female,42,image_stim_p.png,4,pos,11,404.367994152999,407.1021844049974,choir,77,-1.883093263099396,41,336,1,402.67137741199986,Monday,403.3671109529969,180,31
6.17,21,0.5429633980093058,25,0.7066420750052202,faceWord_exp,0.694667882999056,b,416.4336995689955,416.9766629670048,female,42,image_stim_p.png,4,pos,11,414.4060030440014,417.1403416440007,kitchen,77,-1.5082836116280287,42,336,1,412.7102109090047,Monday,413.40487879200373,180,31
5.89,21,0.5265656359988498,25,0.7060611979977693,faceWord_exp,0.6947192000079667,b,429.071857515999,429.59842315199785,female,42,image_stim_p.png,4,neu,13,424.4443145279947,429.77791871399677,hall,77,0.4398740830446768,43,180,1,422.7471285609936,Monday,423.44184776100155,336,41
5.38,21,0.6263095030008117,25,0.7074336820078315,faceWord_exp,0.6950068410078529,b,436.50871932799055,437.13502883099136,female,42,image_stim_p.png,4,neu,13,434.4821950869955,437.2161530099984,businessman,77,0.6669259665908855,44,336,1,432.7863603059959,Monday,433.48136714700377,180,41
3.36,22,0.3583783689973643,25,0.7046127810026519,faceWord_exp,0.6919604990107473,y,449.1498503579933,449.50822872699064,female,42,image_stim_n.png,4,neg,12,444.5202992709965,449.8544631389959,expensive,77,-0.3663992490442602,45,180,1,442.82727857299324,Monday,443.519239072004,336,32
7.3,21,0.5252684879960725,25,0.7556103870010702,faceWord_exp,0.6952540380007122,b,459.1880001929967,459.71326868099277,female,42,image_stim_p.png,4,pos,11,454.55777478500386,459.94361057999777,flower,77,-2.411716547027706,46,180,1,452.86233756,Monday,453.5575915980007,336,31
3.17,22,0.35867792899080086,25,0.7061748879932566,faceWord_exp,0.695319724996807,y,469.2757553190022,469.634433247993,female,42,image_stim_n.png,4,neg,12,464.64493001600204,469.98193020699546,explosion,77,3.1835494020570807,47,180,1,462.9502177550021,Monday,463.6455374799989,336,32
