delay_frames_before,gender,delay_frames_after,word_score_warriner,ID,no,onset_img,word_trigger,offset_img,pause_trigger,duration_frames,key_t,correct_resp,pause_trigger_t,word_label,session,img,offset_word,scan day,response,rt,duration_measured_img,duration_measured_word,age,word,word_score_pc,img_trigger,condition,onset_word
336,male,180,5.73,2019102101,31,307.3070795261301,13,307.9928108236054,42,42,307.9598711786093,1,302.6928957719356,neu,1,image_stim_n.png,301.6925515512703,Monday,y,0.652791652479209,0.6857312974752858,0.6973392027430236,25,field,-0.9990759838186469,22,faceWord_exp,300.9952123485273
180,male,336,5.67,2019102101,32,314.7067271571141,13,315.39315908635035,42,42,315.32687398185953,1,312.6934385692002,neu,1,image_stim_n.png,311.6929884838173,Monday,y,0.6201468247454613,0.6864319292362779,0.6975958445109427,25,beer,-0.9222259722889368,22,faceWord_exp,310.9953926393064
336,male,180,5.44,2019102101,33,327.30775706027634,13,327.99373890424613,42,42,327.79418648732826,1,322.6938260982279,neu,1,image_stim_n.png,321.6934924640227,Monday,y,0.4864294270519167,0.6859818439697847,0.6974306313786656,25,bridge,0.1935892361901769,22,faceWord_exp,320.99606183264405
180,male,336,6.35,2019102101,34,334.7083452831721,11,335.394103527884,31,42,335.2277676082449,1,332.6944667401258,pos,1,image_stim_p.png,331.6939200932393,Monday,b,0.51942232507281,0.6857582447119057,0.6976885562762618,25,sled,-1.9273821271493088,21,faceWord_exp,330.996231536963
336,male,180,4.55,2019102101,35,347.3086995771155,12,347.99468879937194,32,42,347.7450527494075,0,342.69483117142227,neg,1,image_stim_n.png,341.69435606338084,Monday,b,0.43635317229200155,0.6859892222564667,0.6971707815537229,25,meeting,0.7573178762670367,22,faceWord_exp,340.9971852818271
180,male,336,6.37,2019102101,36,354.7092220354825,11,355.39498188428115,31,42,355.2786699285498,1,352.69522383320145,pos,1,image_stim_p.png,351.6948757629143,Monday,b,0.5694478930672631,0.6857598487986252,0.6965105708222836,25,wealthy,-1.8465637543339983,21,faceWord_exp,350.998365192092
336,male,180,4.65,2019102101,37,367.30962541210465,12,367.99578369711526,32,42,367.84591968520544,1,362.6956610865891,neg,1,image_stim_n.png,361.6952754823724,Monday,y,0.5362942731007934,0.686158285010606,0.6969985108589754,25,diplomat,0.13451130194660302,22,faceWord_exp,360.9982769715134
180,male,336,6.36,2019102101,38,374.71029062743764,11,375.39589905762114,31,42,375.36295331746805,1,372.6960762045346,pos,1,image_stim_p.png,371.6957313423045,Monday,b,0.6526626900304109,0.6856084301834926,0.6972259596223012,25,boat,-1.0613549170130714,21,faceWord_exp,370.9985053826822
336,male,180,8.37,2019102101,39,387.310659357463,11,387.9964644393185,31,42,387.71355671423953,1,382.69654393417295,pos,1,image_stim_p.png,381.69616570835933,Monday,b,0.4028973567765206,0.6858050818555057,0.6976526264334098,25,fun,-3.2613064969771037,21,faceWord_exp,380.9985130819259
180,male,336,5.05,2019102101,40,394.71066885325126,13,395.3968418951845,42,42,395.4141292818822,1,392.69698920752853,neu,1,image_stim_n.png,391.6966578188585,Monday,y,0.7034604286309332,0.6861730419332162,0.6972888367017731,25,fence,0.3759356543037889,22,faceWord_exp,390.99936898215674
180,male,336,7.21,2019102101,41,404.71192896412686,11,405.397370897932,31,42,405.2309621562017,1,402.69756119779777,pos,1,image_stim_p.png,401.6971483253874,Monday,b,0.5190331920748577,0.685441933805123,0.6974489170825109,25,beach,-2.8031613090757777,21,faceWord_exp,400.9996994083049
336,male,180,3.52,2019102101,42,417.3118546663318,12,417.9978281693766,32,42,417.7480791970156,1,412.6979076641146,neg,1,image_stim_n.png,411.69755221530795,Monday,y,0.4362245306838304,0.6859735030448064,0.6970976387383416,25,hospital,2.561630339716405,22,faceWord_exp,411.0004545765696
336,male,180,5.41,2019102101,43,427.3124616240384,13,427.99832765827887,42,42,427.88212477532215,1,422.6983818097506,neu,1,image_stim_n.png,421.6980157744838,Monday,y,0.5696631512837484,0.6858660342404619,0.6971797641599551,25,school,0.26215401176465297,22,faceWord_exp,421.00083601032384
180,male,336,5.71,2019102101,44,434.71270241809543,13,435.39868073316757,42,42,435.2990360535914,1,432.69885948416777,neu,1,image_stim_n.png,431.69845751905814,Monday,y,0.5863336354959756,0.6859783150721341,0.6973199546337128,25,tourist,-0.31568469709749714,22,faceWord_exp,431.0011375644244
180,male,336,5.42,2019102101,45,444.71328146604355,13,445.399102908792,41,42,445.2994258282706,1,442.6992572788149,neu,1,image_stim_p.png,441.6989493087167,Monday,b,0.5861443622270599,0.6858214427484199,0.6977649071486667,25,man,-0.277657621999038,21,faceWord_exp,441.001184401568
180,male,336,7.25,2019102101,46,454.7137671604287,11,455.39955812704284,31,42,455.21653439989313,1,452.699756446993,pos,1,image_stim_p.png,451.6993993940996,Monday,b,0.5027672394644469,0.6857909666141495,0.6973693580366671,25,garden,-2.3673221107876317,21,faceWord_exp,451.00203003606293
336,male,180,5.81,2019102101,47,467.314041574602,13,468.0001482105581,42,42,467.9005304784514,1,462.7001789433416,neu,1,image_stim_n.png,461.69982798583806,Monday,y,0.5864889038493857,0.6861066359560937,0.6973821902647614,25,whale,-0.8455595735963974,22,faceWord_exp,461.0024457955733
336,male,180,7.0,2019102101,48,477.3149058156414,11,478.0005966919707,31,42,477.8343544465024,1,472.7007243070984,pos,1,image_stim_p.png,471.7002973194467,Monday,b,0.5194486308610067,0.6856908763293177,0.6962465506512672,25,zoo,-2.1296901000704778,21,faceWord_exp,471.0040507687954
180,male,336,4.73,2019102101,49,484.71515719627496,12,485.40093533077743,32,42,485.3679863825673,1,482.7011083072284,neg,1,image_stim_n.png,481.7007756354287,Monday,y,0.6528291862923652,0.6857781345024705,0.6972131275106221,25,commander,0.98843671158419,22,faceWord_exp,481.0035625079181
180,male,336,7.09,2019102101,50,494.71535063988995,11,495.40136520564556,31,42,495.28523546550423,1,492.70160522975493,pos,1,image_stim_p.png,491.7012093599187,Monday,b,0.569884825614281,0.6860145657556131,0.6975743507500738,25,woman,-1.7483058493195842,21,faceWord_exp,491.00363500916865
180,male,336,8.47,2019102101,51,504.71572148718406,11,505.401854749769,31,42,505.3188754215371,1,502.7020312551176,pos,1,image_stim_p.png,501.70170243282337,Monday,b,0.6031539343530312,0.6861332625849172,0.6973594132578,25,happy,-3.1501939707833047,21,faceWord_exp,501.00434301956557
180,male,336,7.68,2019102101,52,514.7165966355242,11,515.4023035519058,31,42,515.1693812945159,1,512.7025294607738,pos,1,image_stim_p.png,511.7021156260744,Monday,b,0.4527846589917317,0.685706916381605,0.6977697192924097,25,new,-1.2313279950095668,21,faceWord_exp,511.00434590678196
180,male,336,5.26,2019102101,53,524.7168308211258,13,525.4027478629723,42,42,525.3031243563164,1,522.7030174009269,neu,1,image_stim_n.png,521.7025692402385,Monday,y,0.5862935351906344,0.685917041846551,0.6972262803465128,25,corkscrew,-0.3369766028281135,22,faceWord_exp,521.005342959892
336,male,180,5.8,2019102101,54,537.3177275914932,13,538.0033408335876,41,42,537.9537518774159,1,532.7034270652803,neu,1,image_stim_p.png,531.7031203784281,Monday,b,0.6360242859227583,0.685613242094405,0.6975076239323243,25,rocket,-0.17528733847197087,21,faceWord_exp,531.0056127544958
180,male,336,6.14,2019102101,55,544.7174069817411,11,545.4036480337381,31,42,545.1373370083747,1,542.7038441080367,pos,1,image_stim_p.png,541.7034867344191,Monday,b,0.41993002663366497,0.6862410519970581,0.6969343504169956,25,limousine,-1.4783411251765788,21,faceWord_exp,541.0065523840021
336,male,180,3.32,2019102101,56,557.3183675917098,12,558.0042329845019,32,42,557.7379049565643,1,552.7043577122968,neg,1,image_stim_n.png,551.7039859025972,Monday,y,0.41953736485447735,0.6858653927920386,0.6975143606541678,25,bribe,2.3815246085651838,22,faceWord_exp,551.006471541943
336,male,180,2.89,2019102101,57,567.3187018675962,12,568.0046910899691,32,42,567.638395655551,1,562.7047519781627,neg,1,image_stim_n.png,561.7044071158161,Monday,y,0.3196937879547477,0.6859892223728821,0.6973863606108353,25,deceit,4.314775126713813,22,faceWord_exp,561.0070207552053
180,male,336,4.23,2019102101,58,574.7194857797585,12,575.4050239542266,32,42,575.2720793689368,1,572.7052861137781,neg,1,image_stim_n.png,571.704897622345,Monday,y,0.5525935891782865,0.6855381744680926,0.6960463699651882,25,jury,1.7036686386059527,22,faceWord_exp,571.0088512523798
180,male,336,5.14,2019102101,59,584.7196426519658,13,585.4054753228556,42,42,585.2558464589529,1,582.7057358784368,neu,1,image_stim_n.png,581.7053101739148,Monday,y,0.5362038069870323,0.6858326708897948,0.697219543508254,25,spatula,-0.18281188470513854,22,faceWord_exp,581.0080906304065
180,male,336,5.22,2019102101,60,594.7201681259321,13,595.4059712829767,41,42,595.5231952792965,1,592.7061067257309,neu,1,image_stim_p.png,591.705791056389,Monday,b,0.8030271533643827,0.6858031570445746,0.6975858996156603,25,noun,0.11872473318936595,21,faceWord_exp,591.0082051567733
