no,word,ID,condition,img_trigger,delay_frames_after,onset_img,onset_word,pause_trigger_t,gender,duration_frames,pause_trigger,scan day,response,offset_img,img,delay_frames_before,age,duration_measured_img,key_t,word_label,duration_measured_word,word_score_warriner,rt,session,word_trigger,correct_resp,word_score_pc,offset_word
44,foot,2019102204,faceWord_exp,22,336,434.780143693788,431.0651154599618,432.7630946629215,female,42,32,Tuesday,y,435.4628761324566,image_stim_n.png,180,23,0.6827324386686087,435.6800620816648,neg,0.6976086765062064,4.68,0.8999183878768235,3,12,1,0.41231466195915456,431.762724136468
45,snub,2019102204,faceWord_exp,22,180,447.38869063323364,441.06565537001006,442.7635559765622,female,42,32,Tuesday,y,448.0634832184296,image_stim_n.png,336,23,0.6747925851959735,448.0472624988761,neg,0.6975297592580318,3.23,0.6585718656424433,3,12,1,3.9847946241932393,441.7631851292681
46,pen,2019102204,faceWord_exp,22,336,454.7818089777138,451.0660438614432,452.7641337411478,female,42,42,Tuesday,y,455.46381736616604,image_stim_n.png,180,23,0.6820083884522319,455.4977434775792,neu,0.6976150926202536,5.63,0.7159344998653978,3,13,1,-0.23071750329615884,451.76365895406343
47,goldfish,2019102204,faceWord_exp,21,180,467.3895462125074,461.06691291439347,462.7644795658998,female,42,31,Tuesday,b,468.06437729415484,image_stim_p.png,336,23,0.6748310816474259,468.68156760628335,pos,0.6972596438135952,6.62,1.29202139377594,3,11,1,-1.0930411682114536,461.76417255820706
48,egg,2019102204,faceWord_exp,22,180,477.39106071949936,471.0668635109905,472.7650143431965,female,42,42,Tuesday,y,478.0648806327954,image_stim_n.png,336,23,0.673819913296029,478.06537563051097,neu,0.6978675636928529,5.95,0.6743149110116065,3,13,1,-0.6884171372613734,471.76473107468337
49,dusty,2019102204,faceWord_exp,22,336,484.7837623420637,481.06768187717535,482.7653967393562,female,42,32,Tuesday,y,485.46521862992086,image_stim_n.png,180,23,0.6814562878571451,485.26562611269765,neg,0.6973552429117262,3.95,0.48186377063393593,3,12,1,1.8802224749820768,481.7650371200871
50,gum,2019102204,faceWord_exp,22,180,497.3914174514357,491.0679917722009,492.7658304637298,female,42,42,Tuesday,y,498.0658055052627,image_stim_n.png,336,23,0.6743880538269877,498.03296562982723,neu,0.6974710524082184,5.89,0.6415481783915311,3,13,1,-1.0048841857254538,491.76546282460913
51,spiritual,2019102204,faceWord_exp,21,180,507.3913818425499,501.06933368742466,502.76636909064837,female,42,41,Tuesday,b,508.06622703932226,image_stim_p.png,336,23,0.6748451967723668,507.8666402967647,neu,0.6966045659501106,5.82,0.4752584542147815,3,13,1,-1.5026706526379858,501.76593825337477
52,cabbage,2019102204,faceWord_exp,22,180,517.3935989062302,511.0694280033931,512.7667848502751,female,42,32,Tuesday,y,518.0666922025848,image_stim_n.png,336,23,0.6730932963546365,518.1006058028433,neg,0.69695680658333,4.6,0.7070068966131657,3,12,1,0.041184453360586966,511.76638480997644
53,jam,2019102204,faceWord_exp,21,336,524.7925811933819,521.0692512413952,522.767207988305,female,42,41,Tuesday,b,525.4670654879883,image_stim_p.png,180,23,0.6744842946063727,525.7008654600941,neu,0.6975791626609862,5.81,0.908284266712144,3,13,1,-1.343270424679961,521.7668304040562
54,park,2019102204,faceWord_exp,21,336,534.7863807294052,531.0708873323165,532.7677366703283,female,42,31,Tuesday,b,535.4675431624055,image_stim_p.png,180,23,0.6811624330002815,535.8179823083337,pos,0.6964958140160888,7.0,1.0316015789285302,3,11,1,-1.9950971558262764,531.7673831463326
55,year,2019102204,faceWord_exp,21,336,544.78721866454,541.0702216678765,542.768130294513,female,42,41,Tuesday,b,545.4680602953304,image_stim_p.png,180,23,0.6808416307903826,545.4685995639302,neu,0.6975695386063308,5.75,0.6813808993902057,3,13,1,0.5062695562835388,541.7677912064828
56,computer,2019102204,faceWord_exp,21,180,557.3942411520984,551.070883161854,552.7686082897708,female,42,31,Tuesday,b,558.0685255869757,image_stim_p.png,336,23,0.674284434877336,558.1357374889776,pos,0.6973417692352086,6.84,0.7414963368792087,3,11,1,-1.728066945394655,551.7682249310892
57,cold,2019102204,faceWord_exp,22,336,564.7925866469741,561.0732452282682,562.7690432975069,female,42,32,Tuesday,y,565.4688533183653,image_stim_n.png,180,23,0.676266671391204,565.5528171884362,neg,0.6954750213772058,4.32,0.7602305414620787,3,12,1,1.7592404876513306,561.7687202496454
58,reporter,2019102204,faceWord_exp,22,336,574.7879128805362,571.0718763654586,572.7696242700331,female,42,32,Tuesday,y,575.4693127069622,image_stim_n.png,180,23,0.681399826426059,575.5364370301832,neg,0.6972737591713667,4.57,0.7485241496469826,3,12,1,0.7962654471128737,571.76915012463
59,shame,2019102204,faceWord_exp,22,180,587.3884529187344,581.0723068818916,582.7700345760677,female,42,32,Tuesday,y,588.0698909207713,image_stim_n.png,336,23,0.6814380020368844,588.0204331728164,neg,0.6973205963149667,2.62,0.6319802540820092,3,12,1,4.2618443246155895,581.7696274782065
60,radish,2019102204,faceWord_exp,22,180,597.3894891098607,591.0728211277165,592.7704044610728,female,42,32,Tuesday,y,598.0703721242025,image_stim_n.png,336,23,0.6808830143418163,598.0374745042063,neg,0.6972317341715097,4.7,0.6479853943455964,3,12,1,0.33736940436804663,591.770052861888
