pause_trigger_t,word_trigger,no,delay_frames_after,word_label,age,duration_measured_img,onset_word,session,pause_trigger,delay_frames_before,offset_word,gender,condition,key_t,duration_measured_word,word_score_pc,response,word_score_warriner,scan day,duration_frames,rt,ID,offset_img,onset_img,img_trigger,img,word,correct_resp
252.69391945167445,11,26,336,pos,23,0.6849831866566092,250.9961798877921,3,31,180,251.69354700041004,female,faceWord_exp,255.3441414788831,0.6973671126179397,-1.9002611819546853,b,7.11,Wednesday,42,0.6353833233006299,2019102308,255.39374134223908,254.70875815558247,21,image_stim_p.png,couple,1
262.69435478025116,12,27,336,neg,23,0.6852757583837956,260.99652507086284,3,32,180,261.6940217874944,female,faceWord_exp,265.3112926208414,0.6974967166315764,1.7592404876513306,y,4.32,Wednesday,42,0.6023910667281598,2019102308,265.39417731249705,264.70890155411325,22,image_stim_n.png,cold,1
272.69486613874324,11,28,180,pos,23,0.6856828562449664,270.998414916452,3,31,336,271.69452223880216,female,faceWord_exp,278.06201554858126,0.6961073223501444,-3.230607919269787,b,8.21,Wednesday,42,0.7529223472811282,2019102308,277.9947760575451,277.30909320130013,21,image_stim_p.png,joy,1
282.69532937719487,13,29,336,neu,23,0.6853168210946023,280.99786313669756,3,42,180,281.6949415272102,female,faceWord_exp,285.3787996608298,0.6970783905126154,-0.4971407339658378,y,5.68,Wednesday,42,0.6690197505522519,2019102308,285.3950967313722,284.7097799102776,22,image_stim_n.png,cafeteria,1
292.69576534722,12,30,336,neg,23,0.6848163695540279,290.99807999888435,3,32,180,291.6953794222791,female,faceWord_exp,295.27942862571217,0.6972994233947247,3.6129749181587063,y,2.11,Wednesday,42,0.5686725142877549,2019102308,295.39557248097844,294.7107561114244,22,image_stim_n.png,criminal,1
302.6962151119951,12,31,180,neg,23,0.68497901619412,300.9985711472109,3,32,336,301.69586704159155,female,faceWord_exp,307.9298893294763,0.6972958943806589,-0.3331872788781821,y,4.85,Wednesday,42,0.6187378615140915,2019102308,307.9961304841563,307.3111514679622,22,image_stim_n.png,voter,1
312.69666006439365,12,32,180,neg,23,0.6856475679669529,310.99910111236386,3,32,336,311.6962885756511,female,faceWord_exp,317.88038121559657,0.6971874632872641,2.411295736651624,y,3.37,Wednesday,42,0.5693423491902649,2019102308,317.99668643437326,317.3110388664063,22,image_stim_n.png,tobacco,1
322.69713773881085,13,33,336,neu,23,0.6850945050828159,320.9991062451154,3,41,180,321.6967383401934,female,faceWord_exp,325.38067827839404,0.6976320950780064,-0.6884171372613734,b,5.95,Wednesday,42,0.6688410637434572,2019102308,325.3969317197334,324.7118372146506,21,image_stim_p.png,egg,1
332.6975650473032,11,34,180,pos,23,0.6859638788737357,331.00028487225063,3,31,336,331.69723430043086,female,faceWord_exp,337.76466210209765,0.6969494281802326,-1.2474567486001964,b,6.71,Wednesday,42,0.4530310349073261,2019102308,337.99759494606405,337.3116310671903,21,image_stim_p.png,advantage,1
342.6980629323516,11,35,180,pos,23,0.6860107162501663,341.00064096273854,3,31,336,341.69767540320754,female,faceWord_exp,348.0152063430287,0.6970344404689968,-1.100912149643323,b,6.32,Wednesday,42,0.7032345840707421,2019102308,347.9979824752081,347.31197175895795,21,image_stim_p.png,saxophone,1
352.6984600853175,11,36,180,pos,23,0.6855256631970406,351.00049371435307,3,31,336,351.6981594937388,female,faceWord_exp,357.96550606843084,0.6976657793857157,-1.4106928476010352,b,6.63,Wednesday,42,0.6525812060572207,2019102308,357.99845052557066,357.3129248623736,21,image_stim_p.png,car,1
362.6989537999034,13,37,336,neu,23,0.6851272268686444,361.0018920910079,3,41,180,361.69862048653886,female,faceWord_exp,365.3824555221945,0.696728395530954,0.5990623206044929,b,5.61,Wednesday,42,0.6687993593513966,2019102308,365.39878338971175,364.7136561628431,21,image_stim_p.png,witness,1
372.6994767074939,11,38,336,pos,23,0.6848227856680751,371.0017852638848,3,31,180,371.69907891284674,female,faceWord_exp,375.59975792258047,0.6972936489619315,-1.728066945394655,b,6.84,Wednesday,42,0.8853231729008257,2019102308,375.3992575353477,374.71443474967964,21,image_stim_p.png,computer,1
382.6998491587583,12,39,180,neg,23,0.684914535144344,381.0021471288055,3,32,336,381.69951103325,female,faceWord_exp,388.33365156897344,0.6973639044445008,1.9197700017151131,y,4.18,Wednesday,42,1.0187515278812498,2019102308,387.99981457623653,387.3149000410922,22,image_stim_n.png,belch,1
392.7003986928612,13,40,336,neu,23,0.6850255327299237,391.0026745274663,3,41,180,391.69997715880163,female,faceWord_exp,395.50064866198227,0.697302631335333,0.05858023181365075,b,5.1,Wednesday,42,0.7855302828829736,2019102308,395.4001439118292,394.7151183790993,21,image_stim_p.png,cabinet,1
402.70096972072497,13,41,180,neu,23,0.6846418532077223,401.00278969551437,3,41,336,401.70050519914366,female,faceWord_exp,407.9677423804533,0.697715503629297,-0.23071750329615884,b,5.63,Wednesday,42,0.6516242534853518,2019102308,408.00075998017564,407.3161181269679,21,image_stim_p.png,pen,1
412.70152663323097,11,42,180,pos,23,0.684818615205586,411.00365393655375,3,31,336,411.7009835152421,female,faceWord_exp,417.95159095409326,0.6973295786883682,-1.6019047514101912,b,7.25,Wednesday,42,0.6352062404621392,2019102308,418.0012033288367,417.3163847136311,21,image_stim_p.png,family,1
422.70188721478917,11,43,336,pos,23,0.6847515674307942,421.00416080397554,3,31,180,421.7014015202876,female,faceWord_exp,425.852041231934,0.6972407163120806,-1.7760144816699572,b,7.18,Wednesday,42,1.1352578895166516,2019102308,425.4015349098481,424.71678334241733,21,image_stim_p.png,island,1
432.70223881397396,12,44,180,neg,23,0.6850277781486511,431.00450117490254,3,32,336,431.70183267840184,female,faceWord_exp,437.8691701425705,0.6973315034992993,3.6887696102955196,y,2.81,Wednesday,42,0.5520745313260704,2019102308,438.0021233893931,437.31709561124444,22,image_stim_n.png,malice,1
442.70271777175367,11,45,336,pos,23,0.6859994879923761,441.0046904482879,3,31,180,441.70225613727234,female,faceWord_exp,445.60298711713403,0.6975656889844686,-2.098490136277324,b,7.11,Wednesday,42,0.8865191233344376,2019102308,445.402467481792,444.7164679937996,21,image_stim_p.png,rose,1
452.7030860525556,13,46,336,neu,23,0.6853357483632863,451.0052447945345,3,42,180,451.70273830299266,female,faceWord_exp,455.48668350232765,0.6974935084581375,0.07332602516344529,y,5.7,Wednesday,42,0.7691132323816419,2019102308,455.4029060183093,454.717570269946,22,image_stim_n.png,jungle,1
462.7034777519293,11,47,180,pos,23,0.685721994144842,461.006034609396,3,31,336,461.703221431002,female,faceWord_exp,468.4708416501526,0.6971868216060102,-1.9498998207384868,b,7.15,Wednesday,42,1.153085507452488,2019102308,468.00347813684493,467.3177561427001,21,image_stim_p.png,symphony,1
