word,key_t,word_score_pc,onset_word,condition,onset_img,no,img,scan day,correct_resp,response,word_trigger,duration_frames,duration_measured_word,rt,age,delay_frames_before,offset_img,img_trigger,ID,gender,word_score_warriner,pause_trigger_t,session,offset_word,delay_frames_after,pause_trigger,duration_measured_img,word_label
tangerine,487.82970217370894,-1.178487968131687,480.99856056063436,faceWord_exp,487.3103221943602,49,image_stim_p.png,Monday,1,b,11,42,0.6971265109023079,0.5193799793487415,25,336,487.99598868971225,21,2019102101,male,6.81,482.6960579188308,5,481.69568707153667,180,31,0.6856664953520522,pos
apricot,497.7634619814344,-1.2450836009557775,490.99879795429297,faceWord_exp,497.31067026476376,50,image_stim_p.png,Monday,1,b,13,42,0.6973667916608974,0.45279171667061746,25,336,497.9964362087194,21,2019102101,male,5.95,492.69653527252376,5,491.69616474595387,180,41,0.6857659439556301,neu
intellect,507.94731049088296,-2.249771083793789,500.99955248099286,faceWord_exp,507.3113494028803,51,image_stim_p.png,Monday,1,b,11,42,0.6970748617313802,0.6359610880026594,25,336,507.99689880548976,21,2019102101,male,6.62,502.6971117539797,5,501.69662734272424,180,31,0.6855494026094675,pos
dread,515.264233510592,4.006417686109669,510.99962401983794,faceWord_exp,514.7110329637071,52,image_stim_n.png,Monday,1,y,12,42,0.697497679037042,0.5532005468849093,25,180,515.3972473890753,22,2019102101,male,3.0,512.6974402553169,5,511.697121698875,336,32,0.6862144253682345,neg
penguin,527.9983722497709,-1.2194148821621404,521.000233864761,faceWord_exp,527.3122168519767,53,image_stim_p.png,Monday,1,b,11,42,0.6972933280048892,0.6861553977942094,25,336,527.9978092419915,21,2019102101,male,6.65,522.6979015688412,5,521.6975271927658,180,31,0.68559239001479,pos
dead,535.1651454227977,4.0294120701769724,531.0002970627975,faceWord_exp,534.7122869793093,54,image_stim_n.png,Monday,1,y,12,42,0.6976904810871929,0.4528584434883669,25,180,535.3981700161239,22,2019102101,male,2.02,532.698453027755,5,531.6979875438847,336,32,0.68588303681463,neg
applause,545.2489697438432,-2.3591802685249372,541.0012739053927,faceWord_exp,544.7129824784352,55,image_stim_p.png,Monday,1,b,11,42,0.6971781599568203,0.5359872654080391,25,180,545.3986364625162,21,2019102101,male,7.12,542.6988787322771,5,541.6984520653496,336,31,0.6856539840810001,pos
dangerous,557.8329252729891,3.17672342877373,551.0017278403975,faceWord_exp,557.3140877701808,56,image_stim_n.png,Monday,1,y,12,42,0.697196124936454,0.5188375028083101,25,336,557.9991906160722,22,2019102101,male,2.33,552.6993949029129,5,551.698923965334,180,32,0.6851028458913788,neg
mosquito,567.8501177022699,2.9843905620469613,561.0037357411347,faceWord_exp,567.3143630183768,57,image_stim_n.png,Monday,1,y,12,42,0.695674239541404,0.5357546838931739,25,336,567.9996503256261,22,2019102101,male,3.12,562.6998376098927,5,561.6994099806761,180,32,0.6852873072493821,neg
cherry,575.4505454598693,-1.7441234463665167,571.0026360313641,faceWord_exp,574.7146198526025,58,image_stim_p.png,Monday,1,b,11,42,0.6972179394215345,0.7359256072668359,25,180,575.400008854107,21,2019102101,male,7.05,572.7001818306744,5,571.6998539707856,336,31,0.6853890015045181,pos
rum,587.7510292936349,-1.1343736111597311,581.0026151791681,faceWord_exp,587.3157982872799,59,image_stim_p.png,Monday,1,b,13,42,0.6976853482192382,0.4352310063550249,25,336,588.0006040703738,21,2019102101,male,5.57,582.7007159661734,5,581.7003005273873,180,41,0.6848057830939069,neu
mob,597.9847753710346,2.490397821352158,591.0031034400454,faceWord_exp,597.3158935655374,60,image_stim_n.png,Monday,1,y,12,42,0.6976664209505543,0.6688818054972216,25,336,598.0011208826909,22,2019102101,male,3.7,592.7012889188481,5,591.7007698609959,180,32,0.6852273171534762,neg
