delay_frames_after,onset_word,duration_frames,offset_img,key_t,rt,no,onset_img,ID,age,word_label,word,img,condition,session,pause_trigger_t,correct_resp,gender,pause_trigger,delay_frames_before,img_trigger,response,scan day,word_trigger,offset_word,duration_measured_word,word_score_pc,word_score_warriner,duration_measured_img
180,240.99575963709503,42,247.99112244183198,247.97487702057697,0.6641644099727273,25,247.31071261060424,2019102204,23,pos,television,image_stim_p.png,faceWord_exp,5,242.69111050805077,1,female,31,336,21,b,Tuesday,11,241.69073324464262,0.6949736075475812,-1.295378487470534,7.18,0.6804098312277347
180,250.99362052837387,42,257.991568677593,258.09208625997417,0.7814618698321283,26,257.31062439014204,2019102204,23,pos,awe,image_stim_p.png,faceWord_exp,5,252.69171072891913,1,female,31,336,21,b,Tuesday,11,251.69134918483905,0.6977286564651877,-2.1428059827362134,6.85,0.6809442874509841
336,260.9945912756957,42,265.3919785344042,265.2257064545993,0.5149535511154681,27,264.7107529034838,2019102204,23,pos,theater,image_stim_p.png,faceWord_exp,5,262.69219032814726,1,female,31,180,21,b,Tuesday,11,261.69172676908784,0.6971354933921248,-1.8816288507581482,6.14,0.6812256309203804
336,270.996427226346,42,275.3923798580654,275.40953026222996,0.697276967111975,28,274.712253295118,2019102204,23,pos,wit,image_stim_p.png,faceWord_exp,5,272.69255957147107,1,female,31,180,21,b,Tuesday,11,271.6921787792817,0.6957515529356897,-1.2397352233188434,7.25,0.6801265629474074
336,280.99545968696475,42,285.39296371792443,285.39349015429616,0.6791792341973633,29,284.7143109200988,2019102204,23,pos,applause,image_stim_p.png,faceWord_exp,5,282.69290218804963,1,female,31,180,21,b,Tuesday,11,281.6926596616395,0.6971999746747315,-2.3591802685249372,7.12,0.6786527978256345
180,290.9958661433775,42,297.9934992650524,297.8104992771987,0.491209700005129,30,297.31928957719356,2019102204,23,neg,screech,image_stim_n.png,faceWord_exp,5,292.6933413662482,1,female,32,336,22,y,Tuesday,12,291.69315016805194,0.6972840246744454,2.424733943851676,3.5,0.67420968785882
336,300.9960249403957,42,305.39376700646244,305.3775093946606,0.6594595252536237,31,304.71804986940697,2019102204,23,neu,bus,image_stim_p.png,faceWord_exp,5,302.69396051438525,1,female,41,180,21,b,Tuesday,13,301.6935492460616,0.6975243056658655,0.5156614996478043,5.12,0.6757171370554715
180,310.9965549055487,42,317.99435003241524,318.04489529994316,0.7245384140405804,32,317.3203568859026,2019102204,23,neg,cab,image_stim_n.png,faceWord_exp,5,312.69451421895064,1,female,32,336,22,y,Tuesday,12,311.69414914608933,0.6975942405406386,0.1828236131989572,4.81,0.6739931465126574
336,320.9968975223601,42,325.39474128279835,325.3784207936842,0.6646263650618494,33,324.71379442862235,2019102204,23,neu,rum,image_stim_n.png,faceWord_exp,5,322.69487768784165,1,female,42,180,22,y,Tuesday,13,321.6945180685725,0.6976205462124199,-1.1343736111597311,5.57,0.6809468541759998
180,330.9977768410463,42,337.9952418624889,338.0292253976222,0.7065224854741246,34,337.3227029121481,2019102204,23,neu,mandolin,image_stim_p.png,faceWord_exp,5,332.6953874423634,1,female,41,336,21,b,Tuesday,13,331.69495275546797,0.6971759144216776,-1.4097678477610591,5.7,0.6725389503408223
180,340.9984299943317,42,347.99569675978273,347.9459236632101,0.6320309406146407,35,347.3138927225955,2019102204,23,pos,intellect,image_stim_p.png,faceWord_exp,5,342.6958433021791,1,female,31,336,21,b,Tuesday,11,341.69540636986494,0.6969763755332679,-2.249771083793789,6.62,0.6818040371872485
180,351.00012062164024,42,357.99615133646876,357.72988233622164,0.40801768004894257,36,357.3218646561727,2019102204,23,neg,mosquito,image_stim_n.png,faceWord_exp,5,352.6962641947903,1,female,32,336,22,y,Tuesday,12,351.695852605626,0.6957319839857519,2.9843905620469613,3.12,0.6742866802960634
336,360.9988367713522,42,365.3965069777332,365.29689694498666,0.5825058242771775,37,364.7143911207095,2019102204,23,neg,army,image_stim_n.png,faceWord_exp,5,362.69669471122324,1,female,32,180,22,y,Tuesday,12,361.6963203351479,0.6974835637956858,1.399169263323496,4.65,0.6821158570237458
336,370.99915821524337,42,375.3969416646287,375.5974869641941,0.8767786072567105,38,374.7207083569374,2019102204,23,neu,clue,image_stim_p.png,faceWord_exp,5,372.6970854483079,1,female,41,180,21,b,Tuesday,13,371.6967736284714,0.6976154132280499,0.07992973296861662,5.38,0.676233307691291
336,380.99941710243,42,385.3974103566725,385.31455197092146,0.5937618094030768,39,384.7207901615184,2019102204,23,neg,vice,image_stim_n.png,faceWord_exp,5,382.6976526265498,1,female,32,180,22,y,Tuesday,12,381.69722980912775,0.6978127066977322,2.1399531488678094,3.81,0.6766201951541007
180,391.0004292333033,42,397.9980408612173,398.0819197187666,0.7573814974166453,40,397.32453822134994,2019102204,23,neu,mushroom,image_stim_p.png,faceWord_exp,5,392.69812773447484,1,female,41,336,21,b,Tuesday,13,391.6977033133153,0.6972740800119936,0.08756588783899029,5.61,0.6735026398673654
336,401.0005184162874,42,405.39835062786005,405.58224501204677,0.8597436919808388,41,404.72250132006593,2019102204,23,neu,arm,image_stim_n.png,faceWord_exp,5,402.6985932183452,1,female,42,180,22,y,Tuesday,13,401.698168476345,0.6976500600576401,-0.2527650722021685,5.44,0.6758493077941239
336,411.0011882511899,42,415.3987702371087,415.2658785840031,0.5491099983919412,42,414.71676858561113,2019102204,23,neg,grief,image_stim_n.png,faceWord_exp,5,412.6990943113342,1,female,32,180,22,y,Tuesday,12,411.6985884064343,0.6974001552443951,4.735833249102137,2.33,0.6820016514975578
180,421.0018827877939,42,427.9993378643412,427.98310527508147,0.6574070330243558,43,427.3256982420571,2019102204,23,pos,penguin,image_stim_p.png,faceWord_exp,5,422.69947574520484,1,female,31,336,21,b,Tuesday,11,421.6991267122794,0.6972439244855195,-1.2194148821621404,6.65,0.6736396222840995
336,431.0019123016391,42,435.39976761094294,435.1834487901069,0.4595070683863014,44,434.7239417217206,2019102204,23,neg,dead,image_stim_n.png,faceWord_exp,5,432.69990401598625,1,female,32,180,22,y,Tuesday,12,431.69952996075153,0.6976176591124386,4.0294120701769724,2.02,0.6758258892223239
336,441.00261678313836,42,445.4001147188246,445.3172252152581,0.5918187107890844,45,444.725406504469,2019102204,23,neu,editor,image_stim_p.png,faceWord_exp,5,442.7003694998566,1,female,41,180,21,b,Tuesday,13,441.6999880662188,0.6973712830804288,0.14106522732466809,5.43,0.6747082143556327
