pause_trigger_t,word_score_warriner,scan day,pause_trigger,age,delay_frames_before,response,word_label,key_t,onset_img,word_score_pc,gender,duration_frames,rt,img_trigger,onset_word,no,duration_measured_word,word,session,word_trigger,correct_resp,offset_img,img,condition,delay_frames_after,duration_measured_img,ID,offset_word
332.68559463578276,7.0,Wednesday,31,23,336,b,pos,338.00246504391544,337.3001084954012,-2.461915733068042,female,42,0.7023565485142171,21,330.9878682247363,34,0.6972047865856439,embrace,2,11,1,337.98530469462276,image_stim_p.png,faceWord_exp,180,0.6851961992215365,2019102308,331.68507301132195
342.6859144754708,6.95,Wednesday,31,23,180,b,pos,345.36932027805597,344.7007063422352,-2.0702836690965865,female,42,0.6686139358207583,21,340.98844759352505,35,0.6970113429706544,restaurant,2,11,1,345.3856449373998,image_stim_p.png,faceWord_exp,336,0.6849385951645672,2019102308,341.6854589364957
352.68631259095855,4.75,Wednesday,32,23,180,y,neg,355.386612476781,354.70106596150436,1.0482300490198866,female,42,0.6855465152766556,22,350.9887295786757,36,0.6972833829931915,ricochet,2,12,1,355.3860828324687,image_stim_n.png,faceWord_exp,336,0.6850168709643185,2019102308,351.6860129616689
362.68678032048047,4.76,Wednesday,32,23,336,y,neg,367.88702053716406,367.30123290698975,3.561717315569441,female,42,0.585787630174309,22,360.9892572981771,37,0.697117849253118,landslide,2,12,1,367.98670242982917,image_stim_n.png,faceWord_exp,180,0.6854695228394121,2019102308,361.6863751474302
372.68727243109606,7.88,Wednesday,31,23,180,,pos,,374.70159496413544,-1.8879163634684628,female,42,,21,370.98924029571936,38,0.6976276037748903,joke,2,11,,375.3870192540344,image_stim_p.png,faceWord_exp,336,0.6854242898989469,2019102308,371.68686789949425
382.68767054658383,4.52,Wednesday,32,23,336,y,neg,387.9712724874262,387.3023765666876,2.373388118792564,female,42,0.6688959207385778,22,380.98993354896083,39,0.6973680751398206,excuse,2,12,1,387.98759490135126,image_stim_n.png,faceWord_exp,180,0.6852183346636593,2019102308,381.68730162410066
392.6881475793198,5.55,Wednesday,41,23,336,b,neu,398.05527132493444,397.30222226073965,-0.09980687036967174,female,42,0.7530490641947836,21,390.99048757436685,40,0.6972686261869967,eggplant,2,13,1,397.9880481946748,image_stim_p.png,faceWord_exp,180,0.6858259339351207,2019102308,391.68775620055385
402.6886640707962,5.29,Wednesday,41,23,180,b,neu,405.93884035153314,404.7026805586647,0.0657349158769076,female,42,1.2361597928684205,21,400.9907342712395,41,0.6974976789206266,camel,2,13,1,405.3883663022425,image_stim_p.png,faceWord_exp,336,0.6856857435777783,2019102308,401.6882319501601
412.6891298755072,6.81,Wednesday,31,23,336,b,pos,417.8893675256986,417.3034685770981,-1.5621536719325724,female,42,0.5858989486005157,21,410.9915375597775,42,0.6971306814812124,sailboat,2,11,1,417.9889656889718,image_stim_p.png,faceWord_exp,180,0.6854971118737012,2019102308,411.6886682412587
422.68951162998565,6.4,Wednesday,31,23,336,b,pos,427.95657589891925,427.30406976048835,-1.7947555393350414,female,42,0.6525061384309083,21,420.99174287333153,43,0.697456295369193,piano,2,11,1,427.9894391929265,image_stim_p.png,faceWord_exp,180,0.685369432438165,2019102308,421.6891991687007
432.69001689343713,5.86,Wednesday,42,23,180,y,neu,435.6735209256876,434.7050246600993,0.10630403813009667,female,42,0.9684962655883282,22,430.99204538972117,44,0.6976362655404955,whole,2,13,1,435.3897800773848,image_stim_n.png,faceWord_exp,336,0.6847554172854871,2019102308,431.68968165526167
