age,condition,word_label,delay_frames_before,response,img_trigger,session,onset_word,offset_img,scan day,word,no,word_score_warriner,onset_img,duration_frames,rt,key_t,gender,word_trigger,offset_word,img,word_score_pc,delay_frames_after,correct_resp,pause_trigger,pause_trigger_t,ID,duration_measured_img,duration_measured_word
25,faceWord_exp,neg,336,y,22,1,332.3027996199962,339.3182784719975,Monday,plot,34,4.9,338.6273285609932,42,0.30968532800034154,338.93701388899353,female,12,332.99869186299475,image_stim_n.png,0.2016963621838916,180,1,32,333.9995799869939,77,0.6909499110042816,0.695892242998525
25,faceWord_exp,pos,336,b,21,1,342.3272617659968,349.3563599629997,Monday,garden,35,7.25,348.65088984599424,42,0.5243676790050813,349.1752575249993,female,11,343.020070159997,image_stim_p.png,-2.3673221107876317,180,1,31,344.0209718909973,77,0.7054701170054614,0.692808394000167
25,faceWord_exp,pos,180,b,21,1,352.3628533249939,356.7933573079936,Monday,wealthy,36,6.37,356.0873389259941,42,0.4750863350054715,356.5624252609996,female,11,353.0574659829945,image_stim_p.png,-1.8465637543339983,336,1,31,354.05926052899304,77,0.7060183819994563,0.6946126580005512
25,faceWord_exp,pos,180,b,21,1,362.40049093399284,366.8314623699989,Monday,sled,37,6.35,366.12520081999537,42,0.7266399510044721,366.85184077099984,female,11,363.09644193199347,image_stim_p.png,-1.9273821271493088,336,1,31,364.09698704999755,77,0.7062615500035463,0.695950998000626
25,faceWord_exp,neu,180,y,22,1,372.43898292899394,376.86930815499363,Monday,fence,38,5.05,376.1644569239943,42,0.6093915210003615,376.77384844499466,female,13,373.13440579899907,image_stim_n.png,0.3759356543037889,336,1,42,374.13545757899556,77,0.7048512309993384,0.6954228700051317
25,faceWord_exp,pos,180,b,21,1,382.4768784599946,386.90754546199605,Monday,woman,39,7.09,386.20222632299556,42,0.3748245110036805,386.57705083399924,female,11,383.17198759599705,image_stim_p.png,-1.7483058493195842,336,1,31,384.17334930199286,77,0.705319139000494,0.6951091360024293
25,faceWord_exp,pos,180,b,21,1,392.514597743997,396.9289206309986,Monday,beach,40,7.21,396.23751395699946,42,0.3612025309994351,396.5987164879989,female,11,393.21050419699895,image_stim_p.png,-2.8031613090757777,336,1,31,394.21160537899414,77,0.691406673999154,0.6959064530019532
25,faceWord_exp,neg,336,y,22,1,402.5533036969937,409.58519004599657,Monday,jury,41,4.23,408.8773649309951,42,0.25971485300397035,409.13707978399907,female,12,403.24752981999336,image_stim_n.png,1.7036686386059527,180,1,32,404.24975698099297,77,0.7078251150014694,0.6942261229996802
25,faceWord_exp,neu,336,y,22,1,412.5925884209937,419.62334823999845,Monday,famous,42,5.89,418.91816392999317,42,0.5412873970053624,419.45945132699853,female,13,413.2869720549934,image_stim_n.png,-0.8050043475134195,180,1,42,414.2878547599976,77,0.7051843100052793,0.6943836339996778
25,faceWord_exp,pos,180,b,21,1,422.629253223,427.0596447029966,Monday,happy,43,8.47,426.3541571819951,42,0.6250289630042971,426.9791861449994,female,11,423.3247987919967,image_stim_p.png,-3.1501939707833047,336,1,31,424.3258332089972,77,0.705487521001487,0.6955455689967494
25,faceWord_exp,neu,336,b,21,1,432.6678155759946,439.6990124329968,Monday,fiddle,44,5.05,438.99290201999975,42,0.47624174999509705,439.46914376999484,female,13,433.3628934359949,image_stim_p.png,-1.0601571884744718,180,1,41,434.36393022599805,77,0.7061104129970772,0.6950778600003105
25,faceWord_exp,neg,336,y,22,1,442.7055182999975,449.737333432,Monday,lonely,45,2.67,449.03123731099913,42,0.6100014359981287,449.64123874699726,female,12,443.40039710799465,image_stim_n.png,4.010420717126172,180,1,32,444.40203191499313,77,0.7060961210008827,0.6948788079971564
25,faceWord_exp,neg,336,y,22,1,452.74325522799336,459.7755603089972,Monday,gasp,46,4.5,459.06976340899564,42,0.5094463019995601,459.5792097109952,female,12,453.43912543599436,image_stim_n.png,1.3014161644429498,180,1,32,454.44005653099885,77,0.7057969000015873,0.6958702080009971
25,faceWord_exp,neg,180,y,22,1,462.78171240999654,467.1955917449959,Monday,deceit,47,2.89,466.50431290299457,42,0.5108090620051371,467.0151219649997,female,12,463.47712574799516,image_stim_n.png,4.314775126713813,336,1,32,464.4779589779937,77,0.6912788420013385,0.695413337998616
25,faceWord_exp,pos,336,b,21,1,472.80279031999817,479.8183287639986,Monday,kiss,48,7.78,479.1270887779974,42,0.5456367160004447,479.67272549399786,female,11,473.49864254699787,image_stim_p.png,-2.8785481086132907,180,1,31,474.4996692299974,77,0.6912399860011647,0.6958522269997047
