age,pause_trigger_t,session,key_t,offset_word,gender,duration_measured_word,duration_frames,rt,duration_measured_img,delay_frames_before,word_trigger,ID,pause_trigger,offset_img,scan day,img,delay_frames_after,no,correct_resp,response,condition,word_score_pc,word,word_score_warriner,onset_word,word_label,onset_img,img_trigger
23,472.6945652263239,5,,471.6941667899955,female,0.6976551928091794,42,,0.6846193971578032,336,13,2019102308,41,477.9944007189479,Wednesday,image_stim_p.png,180,48,,,faceWord_exp,0.5156614996478043,bus,5.12,470.9965115971863,neu,477.30978132179007,21
23,482.6950454672333,5,485.41193242860027,481.6946531261783,female,0.6974097792990506,42,0.7021762575022876,0.6849661841988564,180,13,2019102308,41,485.39472235529684,Wednesday,image_stim_p.png,336,49,1,b,faceWord_exp,0.2374341841762725,number,5.59,480.99724334687926,neu,484.709756171098,21
23,492.69541150238365,5,495.3956815537531,491.69500825414434,female,0.6975194935221225,42,0.6855811621062458,0.6851137534249574,180,12,2019102308,32,495.3952141450718,Wednesday,image_stim_n.png,336,50,1,y,faceWord_exp,1.399169263323496,army,4.65,490.9974887606222,neg,494.71010039164685,22
23,502.695800635498,5,507.89620125317015,501.6954997230787,female,0.6976006564218551,42,0.5854623368941247,0.6850277783814818,336,11,2019102308,31,507.9957666946575,Wednesday,image_stim_p.png,180,51,1,b,faceWord_exp,-1.6872526925643307,cash,7.51,500.9978990666568,pos,507.310738916276,21
23,512.6962991619948,5,517.9133898329455,511.6959292772226,female,0.6971361350733787,42,0.6021013825666159,0.6849000991787761,336,13,2019102308,41,517.9961885495577,Wednesday,image_stim_p.png,180,52,1,b,faceWord_exp,0.3309936143559913,newspaper,5.11,510.9987931421492,neu,517.3112884503789,21
23,522.6967813277151,5,525.4138556376565,521.6963860993274,female,0.6974216487724334,42,0.7021615006960928,0.6848997781053185,180,12,2019102308,32,525.3965939150658,Wednesday,image_stim_n.png,336,53,1,y,faceWord_exp,4.006417686109669,dread,3.0,520.9989644505549,neg,524.7116941369604,22
23,532.6972394331824,5,538.1478124819696,531.6968984205741,female,0.6976680250372738,42,0.8352908680681139,0.684618114028126,336,11,2019102308,31,537.9971397279296,Wednesday,image_stim_p.png,180,54,1,b,faceWord_exp,-1.1429809241505904,book,7.05,530.9992303955369,pos,537.3125216139015,21
23,542.6977135788184,5,548.0315913134255,541.6973186712712,female,0.6976879145950079,42,0.7187158546876162,0.6847291113808751,336,12,2019102308,32,547.9976045701187,Wednesday,image_stim_n.png,180,55,1,y,faceWord_exp,1.5300907112092572,ant,3.9,540.9996307566762,neg,547.3128754587378,22
23,552.6981585314497,5,559.0653352092486,551.6977735687979,female,0.6972253180574626,42,1.7517077901866287,0.6844682991504669,336,13,2019102308,41,557.9980957182124,Wednesday,image_stim_p.png,180,56,1,b,faceWord_exp,-0.41434578466507305,engineer,5.79,551.0005482507404,neu,557.313627419062,21
23,562.6987850579899,5,565.3155669888947,561.6982804362196,female,0.6972949320916086,42,0.601043697912246,0.6839123491663486,180,11,2019102308,31,565.3984356401488,Wednesday,image_stim_p.png,336,57,1,b,faceWord_exp,-1.7441234463665167,cherry,7.05,561.000985504128,pos,564.7145232909825,21
23,572.6991867022589,5,577.7493813328911,571.6986913837027,female,0.6977036339230835,42,0.43522555264644325,0.6848561489023268,336,12,2019102308,32,577.999011929147,Wednesday,image_stim_n.png,180,58,1,y,faceWord_exp,2.490397821352158,mob,3.7,571.0009877497796,neg,577.3141557802446,22
23,582.6995437550358,5,585.3664590434637,581.6991549427621,female,0.6972724758088589,42,0.6524105395656079,0.685285703279078,180,11,2019102308,31,585.3993342071772,Wednesday,image_stim_p.png,336,59,1,b,faceWord_exp,-2.625984580876632,spring,7.64,581.0018824669532,pos,584.7140485038981,21
23,592.6999627226032,5,595.7837414897513,591.6996233139653,female,0.6977671526838094,42,1.0686086744535714,0.6846877278294414,180,11,2019102308,31,595.3998205431271,Wednesday,image_stim_p.png,336,60,1,b,faceWord_exp,-1.2397352233188434,wit,7.25,591.0018561612815,pos,594.7151328152977,21
