delay_frames_after,duration_measured_word,img_trigger,ID,session,response,scan day,word_trigger,img,delay_frames_before,word_label,pause_trigger_t,gender,correct_resp,pause_trigger,no,age,onset_img,word_score_pc,offset_img,onset_word,offset_word,condition,word,duration_measured_img,duration_frames,rt,word_score_warriner,key_t
336,0.6976160549093038,22,2019102205,1,y,Tuesday,13,image_stim_n.png,180,neu,342.7001965874806,female,1,42,35,25,344.71496086521074,-0.5907285556577869,345.40003002714366,341.00227512884885,341.69989118375815,faceWord_exp,truck,0.6850691619329154,42,0.8856240853201598,5.16,345.6005849505309
180,0.697253548540175,21,2019102205,1,b,Tuesday,13,image_stim_p.png,336,neu,352.7006335200276,female,1,41,36,25,357.31582234753296,0.1935892361901769,358.000600541709,351.00308675831184,351.700340306852,faceWord_exp,bridge,0.6847781941760331,42,0.8686202876269817,5.44,358.18444263515994
180,0.6974360849708319,22,2019102205,1,y,Tuesday,13,image_stim_n.png,336,neu,362.7011535402853,female,1,42,37,25,367.3159387987107,-1.0601571884744718,368.00103843654506,361.0033164527267,361.70075253769755,faceWord_exp,fiddle,0.6850996378343552,42,0.6521478025242686,5.05,367.968086601235
180,0.6970706912688911,22,2019102205,1,y,Tuesday,12,image_stim_n.png,336,neg,372.701588868862,female,1,32,38,25,377.3161267887335,3.648586845460279,378.00150103331544,371.0041219869163,371.7011926781852,faceWord_exp,hurricane,0.685374244581908,42,0.5857545875478536,3.16,377.9018813762814
180,0.6976420399732888,21,2019102205,1,b,Tuesday,11,image_stim_p.png,336,pos,382.70201104460284,female,1,31,39,25,387.31711774645373,-3.2613064969771037,388.00198480300605,381.00401131017134,381.7016533501446,faceWord_exp,fun,0.6848670565523207,42,0.4685944311786443,8.37,387.7857121776324
336,0.697438009781763,21,2019102205,1,b,Tuesday,11,image_stim_p.png,180,pos,392.7024576012045,female,1,31,40,25,394.7171904402785,-1.7483058493195842,395.40243315603584,391.00471803732216,391.7021560471039,faceWord_exp,woman,0.6852427157573402,42,0.8689783029258251,7.09,395.5861687432043
180,0.6971091877203435,22,2019102205,1,y,Tuesday,12,image_stim_n.png,336,neg,402.7028865136672,female,1,32,41,25,407.3178732355591,0.397042668763988,408.0028702169657,401.005451711826,401.70256089954637,faceWord_exp,policeman,0.6849969814065844,42,0.735576253850013,4.21,408.0534494894091
336,0.6973103305790573,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,412.70342834852636,female,1,32,42,25,414.7181547717191,0.13451130194660302,415.4031799833756,411.0057086744346,411.70301900501363,faceWord_exp,diplomat,0.6850252116564661,42,0.6520364840980619,4.65,415.3701912558172
336,0.6969709217082709,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,422.7038761882577,female,1,32,43,25,424.71859362884425,1.9014187675556817,425.40365990344435,421.006508755032,421.70347967674024,faceWord_exp,alligator,0.6850662746001035,42,0.6520470706745982,4.23,425.37064069951884
336,0.6975762753281742,21,2019102205,1,b,Tuesday,13,image_stim_p.png,180,neu,432.70429579750635,female,1,41,44,25,434.7193828022573,0.11872473318936595,435.40410421439447,431.00635765725747,431.70393393258564,faceWord_exp,noun,0.6847214121371508,42,0.718613839475438,5.22,435.43799664173275
