session,img_trigger,offset_img,word_score_warriner,ID,key_t,duration_frames,rt,age,duration_measured_word,offset_word,word_score_pc,delay_frames_after,no,condition,pause_trigger_t,correct_resp,word_label,word_trigger,img,scan day,onset_img,gender,onset_word,pause_trigger,word,duration_measured_img,delay_frames_before,response
2,22,247.99083339911886,4.81,2019102307,247.941229686141,42,0.6362398650962859,25,0.6973966262303293,241.69059177092277,0.5494484707734639,180,25,faceWord_exp,242.6909161019139,1,neg,12,image_stim_n.png,Wednesday,247.30498982104473,female,240.99319514469244,32,stone,0.6858435780741274,336,y
2,22,255.39116113074124,4.8,2019102307,255.29154147370718,42,0.5866691945120692,25,0.6975188520736992,251.69102389155887,0.2623575316864496,336,26,faceWord_exp,252.69135207217187,1,neg,12,image_stim_n.png,Wednesday,254.70487227919511,female,250.99350503948517,32,hoe,0.6862888515461236,180,y
2,21,267.99174768524244,7.88,2019102307,267.7921015941538,42,0.48654908617027104,25,0.6977254485245794,261.6914447839372,-1.8879163634684628,180,27,faceWord_exp,262.69180472404696,1,pos,11,image_stim_p.png,Wednesday,267.3055525079835,female,260.9937193354126,31,joke,0.6861951772589236,336,b
2,21,277.99219745001756,6.91,2019102307,277.8592551103793,42,0.5526766770053655,25,0.6972808167338371,271.691978598712,-1.7539828459428422,180,28,faceWord_exp,272.692241656594,1,pos,11,image_stim_p.png,Wednesday,277.30657843337394,female,270.9946977819782,31,spaghetti,0.6856190166436136,336,b
2,21,287.9926478562411,5.97,2019102307,288.01069618575275,42,0.7036314164288342,25,0.6973664707038552,281.69237382686697,-0.02119054453060663,180,29,faceWord_exp,282.6927064987831,1,neu,13,image_stim_p.png,Wednesday,287.3070647693239,female,280.9950073561631,41,power,0.6855830869171768,336,b
2,21,297.9931229641661,6.81,2019102307,297.8601151809562,42,0.5530972487758845,25,0.697320916922763,291.692872032756,-1.5621536719325724,180,30,faceWord_exp,292.69322780240327,1,pos,11,image_stim_p.png,Wednesday,297.3070179321803,female,290.9955511158332,31,sailboat,0.6861050319857895,336,b
2,22,307.99355604709126,2.29,2019102307,307.7439036362339,42,0.43634451064281166,25,0.6975239848252386,301.69327431870624,3.4738609063027237,180,31,faceWord_exp,302.6936461282894,1,neg,12,image_stim_n.png,Wednesday,307.30755912559107,female,300.995750333881,32,sick,0.6859969215001911,336,y
2,22,315.39392387890257,4.76,2019102307,315.3443554539699,42,0.6363213488366455,25,0.6971011674031615,311.6937629003078,3.561717315569441,336,32,faceWord_exp,312.69410262978636,1,neg,12,image_stim_n.png,Wednesday,314.70803410513327,female,310.9966617329046,32,landslide,0.6858897737693042,180,y
2,21,325.39436305710115,5.82,2019102307,325.26143162464723,42,0.5532708026003093,25,0.6973154635634273,321.6941850760486,-0.6680004122251881,336,33,faceWord_exp,322.69459506100975,1,neu,13,image_stim_p.png,Wednesday,324.7081608220469,female,320.99686961248517,41,monkey,0.6862022350542247,180,b
2,22,337.9949165689759,5.29,2019102307,337.9285740409978,42,0.6195838169660419,25,0.6974245361052454,331.69469611370005,0.0657349158769076,180,34,faceWord_exp,332.695058620302,1,neu,13,image_stim_n.png,Wednesday,337.30899022403173,female,330.9972715775948,42,camel,0.6859263449441642,336,y
