img_trigger,condition,no,onset_img,word_label,duration_measured_img,duration_frames,onset_word,correct_resp,ID,key_t,word_trigger,word_score_pc,gender,response,session,pause_trigger_t,delay_frames_before,offset_word,pause_trigger,age,rt,duration_measured_word,word,img,delay_frames_after,scan day,word_score_warriner,offset_img
22,faceWord_exp,38,374.6999354546424,neg,0.6856719490606338,42,370.98969134362414,1,2019102307,375.1526142489165,12,3.693241029119933,female,y,5,372.68583042547107,180,371.6854310266208,32,25,0.4526787942741066,0.6957396829966456,jealousy,image_stim_n.png,336,Wednesday,2.58,375.38560740370303
22,faceWord_exp,39,387.30020698159933,neg,0.6860116785392165,42,380.9882782099303,1,2019102307,387.75319053791463,12,3.227422121163128,female,y,5,382.68628436047584,336,381.6859173628036,32,25,0.45298355631530285,0.6976391528733075,riot,image_stim_n.png,180,Wednesday,3.15,387.98621866013855
22,faceWord_exp,40,397.3010856588371,neu,0.6855372120626271,42,390.9890802153386,1,2019102307,398.4871955027338,13,-1.4097678477610591,female,y,5,392.68677679169923,336,391.68634017999284,42,25,1.186109843896702,0.6972599646542221,mandolin,image_stim_n.png,180,Wednesday,5.7,397.98662287089974
22,faceWord_exp,41,404.7020075158216,neu,0.6849786955863237,42,400.98944657156244,1,2019102307,405.4041805656161,13,0.2374341841762725,female,y,5,402.68719190964475,180,401.68682555365376,42,25,0.70217304979451,0.6973789820913225,number,image_stim_n.png,336,Wednesday,5.59,405.38698621140793
21,faceWord_exp,42,417.30174394487403,neu,0.6858628261834383,42,410.9900131081231,1,2019102307,418.3381010950543,13,0.08756588783899029,female,b,5,412.68764039105736,336,411.6872685814742,41,25,1.0363571501802653,0.697255473351106,mushroom,image_stim_p.png,180,Wednesday,5.61,417.9876067710575
21,faceWord_exp,43,424.7027739121113,pos,0.685143267037347,42,420.9907268928364,1,2019102307,425.2883382642176,11,-2.3591802685249372,female,b,5,422.6881081208121,180,421.68770904280245,31,25,0.585564352106303,0.6969821499660611,applause,image_stim_p.png,336,Wednesday,7.12,425.38791717914864
21,faceWord_exp,44,437.3035022614058,neu,0.6850232870783657,42,430.9906370684039,1,2019102307,438.0890328648966,13,0.16108323717668446,female,b,5,432.6884994993452,336,431.6882178350352,41,25,0.7855306034907699,0.6975807666312903,desk,image_stim_p.png,180,Wednesday,5.56,437.9885255484842
22,faceWord_exp,45,447.30315258703195,neg,0.6857685104478151,42,440.99097134405747,1,2019102307,448.1561870225705,12,1.5300907112092572,female,y,5,442.68902914365754,336,441.68863840657286,32,25,0.853034435538575,0.6976670625153929,ant,image_stim_n.png,180,Wednesday,3.9,447.98892109747976
21,faceWord_exp,46,454.70400258456357,pos,0.6853258034680039,42,450.99184905877337,1,2019102307,455.5065459681209,11,-2.641671297166366,female,b,5,452.6894683218561,180,451.689143990865,31,25,0.8025433835573494,0.6972949320916086,peaceful,image_stim_p.png,336,Wednesday,8.0,455.3893283880316
21,faceWord_exp,47,467.30453909398057,neu,0.6853460140991956,42,460.99208003631793,1,2019102307,468.1403865539469,13,0.4587040848007746,female,b,5,462.6899046127219,336,461.6895514095668,41,25,0.8358474599663168,0.6974713732488453,company,image_stim_p.png,180,Wednesday,5.64,467.98988510807976
22,faceWord_exp,48,474.70451907604,neu,0.6856818937230855,42,470.99243516428396,1,2019102307,475.54075214010663,13,0.5156614996478043,female,y,5,472.690410197014,180,471.6900338961277,42,25,0.8362330640666187,0.6975987318437546,bus,image_stim_n.png,336,Wednesday,5.12,475.3902009697631
21,faceWord_exp,49,487.305327946553,neu,0.685439367312938,42,480.99276334489696,1,2019102307,488.2247020229697,13,0.07992973296861662,female,b,5,482.6908179365564,336,481.69047082867473,41,25,0.919374076416716,0.6977074837777764,clue,image_stim_p.png,180,Wednesday,5.38,487.99076731386594
22,faceWord_exp,50,497.3062990147155,neg,0.6849337832536548,42,490.9936298315879,1,2019102307,498.1251003309153,12,1.0236166268558873,female,y,5,492.6914258566685,336,491.69094593659975,32,25,0.8188013161998242,0.6973161050118506,hierarchy,image_stim_n.png,180,Wednesday,4.95,497.99123279796913
21,faceWord_exp,51,507.3056461822707,pos,0.6860479291062802,42,500.9942396765109,1,2019102307,507.89208054961637,11,-2.625984580876632,female,b,5,502.69184386194684,336,501.6913937763311,31,25,0.586434367345646,0.6971540998201817,spring,image_stim_p.png,180,Wednesday,7.64,507.991694111377
21,faceWord_exp,52,514.7065388462506,pos,0.6854810719378293,42,510.994181932183,1,2019102307,515.5425518401898,11,-1.962809513975644,female,b,5,512.6923154410906,180,511.6919417064637,31,25,0.8360129939392209,0.697759774280712,bed,image_stim_p.png,336,Wednesday,7.16,515.3920199181885
22,faceWord_exp,53,524.7072513480671,neg,0.6852494524791837,42,520.9966363895219,1,2019102307,525.1762419696897,12,2.9843905620469613,female,y,5,522.6927209349815,180,521.6923699774779,32,25,0.4689906216226518,0.695733587956056,mosquito,image_stim_n.png,336,Wednesday,3.12,525.3925008005463
21,faceWord_exp,54,534.7072369118687,pos,0.6857017835136503,42,530.9952502034139,1,2019102307,535.3433757242747,11,-1.6872526925643307,female,b,5,532.6931508097332,180,531.6927607143298,31,25,0.6361388124059886,0.6975105109158903,cash,image_stim_p.png,336,Wednesday,7.51,535.3929386953823
22,faceWord_exp,55,547.308138494147,neg,0.6854021544568241,42,540.9958375920542,1,2019102307,547.9940927491989,12,0.8708146708303101,female,y,5,542.6935858174693,336,541.6932338976767,32,25,0.6859542550519109,0.697396305622533,banker,image_stim_n.png,180,Wednesday,4.89,547.9935406486038
22,faceWord_exp,56,554.7089519202709,neg,0.684906835667789,42,550.9965510561597,1,2019102307,555.3608353817835,12,0.5712560851538326,female,y,5,552.6940904394723,180,551.6936887949705,32,25,0.6518834615126252,0.6971377388108522,election,image_stim_n.png,336,Wednesday,4.5,555.3938587559387
22,faceWord_exp,57,567.3087499432731,neu,0.6857338636182249,42,560.9968247003853,1,2019102307,567.8781641519163,13,0.002541127499528235,female,y,5,562.6945973068941,336,561.6941744894721,42,25,0.5694142086431384,0.6973497890867293,umbrella,image_stim_n.png,180,Wednesday,5.84,567.9944838068914
21,faceWord_exp,58,574.7095056248363,neu,0.685371357249096,42,570.9969629661646,1,2019102307,575.4119327496737,13,-1.1343736111597311,female,b,5,572.6950339186005,180,571.6946556926705,41,25,0.7024271248374134,0.6976927265059203,rum,image_stim_p.png,336,Wednesday,5.57,575.3948769820854
22,faceWord_exp,59,584.7104256853927,neu,0.6848789260257035,42,580.998119137017,1,2019102307,585.3456360963173,13,-0.4963231956276321,female,y,5,582.6954570566304,180,581.695069848327,42,25,0.6352104109246284,0.6969507113099098,hairbrush,image_stim_n.png,336,Wednesday,5.95,585.3953046114184
22,faceWord_exp,60,594.7100160210393,neg,0.6857056331355125,42,590.9978647409007,1,2019102307,595.3127647822257,12,0.1828236131989572,female,y,5,592.6958830817603,180,591.6955096682068,32,25,0.6027487611863762,0.6976449273061007,cab,image_stim_n.png,336,Wednesday,4.81,595.3957216541748
