condition,onset_img,delay_frames_before,word,duration_measured_word,onset_word,img_trigger,pause_trigger,duration_frames,offset_word,ID,delay_frames_after,word_trigger,img,response,offset_img,rt,age,key_t,word_label,pause_trigger_t,session,no,duration_measured_img,correct_resp,word_score_pc,word_score_warriner,gender,scan day
faceWord_exp,267.91244068899687,336,avalanche,0.6845662400010042,261.59477320999576,22,32,42,262.27933944999677,60,180,12,image_stim_n.png,y,268.58952234099706,0.46181887599959737,25,268.37425956499646,neg,263.27907809799945,1,27,0.6770816520001972,1,3.2148840110758776,4.0,male,Monday
faceWord_exp,277.9321580379983,336,plot,0.6912742159984191,271.61116035099985,22,32,42,272.3024345669983,60,180,12,image_stim_n.png,y,278.612858788998,0.39851513499888824,25,278.3306731729972,neg,273.3024605179962,1,28,0.6807007509996765,1,0.2016963621838916,4.9,male,Monday
faceWord_exp,285.36137909600075,180,truck,0.6903187360003358,281.63533208599983,21,41,42,282.32565082200017,60,336,13,image_stim_p.png,b,286.03864442899794,0.47832414099684684,25,285.8397032369976,neu,283.32557170499786,1,29,0.6772653329971945,1,-0.5907285556577869,5.16,male,Monday
faceWord_exp,297.9790685229964,336,bribe,0.6921090679970803,291.6568214860017,22,32,42,292.3489305539988,60,180,12,image_stim_n.png,b,298.6593101260005,0.48197815300227376,25,298.46104667599866,neg,293.34883396599616,1,30,0.6802416030041059,0,2.3815246085651838,3.32,male,Monday
faceWord_exp,305.40695389900065,180,diplomat,0.6893553379995865,301.68274316799943,22,32,42,302.372098505999,60,336,12,image_stim_n.png,y,306.08502703799604,0.5292360429957625,25,305.9361899419964,neg,303.3719729529985,1,31,0.6780731389953871,1,0.13451130194660302,4.65,male,Monday
faceWord_exp,318.0284966870022,336,hospital,0.6898395929965773,311.70552195100026,22,32,42,312.39536154399684,60,180,12,image_stim_n.png,b,318.70548610999685,0.4117340869997861,25,318.440230774002,neg,313.3952042910023,1,32,0.6769894229946658,0,2.561630339716405,3.52,male,Monday
faceWord_exp,325.45318784900155,180,garden,0.6900509599945508,321.7284901910025,21,31,42,322.41854115099704,60,336,11,image_stim_p.png,b,326.131595603998,0.46300106999842683,25,325.916188919,pos,323.4185447170021,1,33,0.6784077549964422,1,-2.3673221107876317,7.25,male,Monday
faceWord_exp,335.4795869459995,180,rocket,0.6874908609970589,331.7542187520012,21,41,42,332.44170961299824,60,336,13,image_stim_p.png,b,336.1548114699981,0.5431637739966391,25,336.0227507199961,neu,333.4412434690021,1,34,0.6752245239986223,1,-0.17528733847197087,5.8,male,Monday
faceWord_exp,345.5016050260019,180,fiddle,0.690120448001835,341.77490982900053,22,42,42,342.46503027700237,60,336,13,image_stim_n.png,y,346.17795345500053,0.511036124000384,25,346.0126411500023,neu,343.4648119859994,1,35,0.6763484289986081,1,-1.0601571884744718,5.05,male,Monday
faceWord_exp,355.525608154996,180,jury,0.6901595309973345,351.79808709899953,22,32,42,352.48824662999687,60,336,12,image_stim_n.png,y,356.2012768429995,0.5269990930028143,25,356.0526072479988,neg,353.4883152330003,1,36,0.6756686880034977,1,1.7036686386059527,4.23,male,Monday
faceWord_exp,365.5458491949976,180,alligator,0.6901456849955139,361.8212820810004,22,32,42,362.5114277659959,60,336,12,image_stim_n.png,y,366.22442860199953,0.3967285280014039,25,365.942577722999,neg,363.51123210899823,1,37,0.678579407001962,1,1.9014187675556817,4.23,male,Monday
faceWord_exp,375.5696675799991,180,kiss,0.6926221949979663,371.8420817139995,21,31,42,372.53470390899747,60,336,11,image_stim_p.png,b,376.2476214909984,0.3635549300015555,25,375.93322251000063,pos,373.53449872099736,1,38,0.6779539109993493,1,-2.8785481086132907,7.78,male,Monday
faceWord_exp,388.1811582110022,336,meeting,0.6898261980022653,381.86812952000037,22,32,42,382.55795571800263,60,180,12,image_stim_n.png,y,388.8682161510005,0.4386501189947012,25,388.6198083299969,neg,383.55769681799575,1,39,0.6870579399983399,1,0.7573178762670367,4.55,male,Monday
faceWord_exp,398.21051341499697,336,happy,0.6919488880012068,391.88931897099974,21,31,42,392.58126785900095,60,180,11,image_stim_p.png,b,398.89143242700084,0.44886901000427315,25,398.65938242500124,pos,393.5810473609963,1,40,0.6809190120038693,1,-3.1501939707833047,8.47,male,Monday
faceWord_exp,405.63861008200183,180,beer,0.6910446080000838,401.91331289400114,22,42,42,402.6043575020012,60,336,13,image_stim_n.png,b,406.31729405700025,0.34664338599395705,25,405.9852534679958,neu,403.60413600000174,1,41,0.678683974998421,0,-0.9222259722889368,5.67,male,Monday
faceWord_exp,418.26130161900073,336,gasp,0.6863955430017086,411.94115192599565,22,32,42,412.62754746899736,60,180,12,image_stim_n.png,y,418.9378617620023,0.4781345079973107,25,418.73943612699804,neg,413.6276107579979,1,42,0.6765601430015522,1,1.3014161644429498,4.5,male,Monday
faceWord_exp,428.2850524019959,336,fun,0.6915701059988351,421.9591917159996,21,31,42,422.65076182199846,60,180,11,image_stim_p.png,b,428.96113487800176,0.4940097440048703,25,428.7790621460008,pos,423.6504521759998,1,43,0.6760824760058313,1,-3.2613064969771037,8.37,male,Monday
faceWord_exp,435.71100725299766,180,lake,0.6909524410002632,431.9829186209972,21,31,42,432.6738710619975,60,336,11,image_stim_p.png,y,436.3869554709963,0.44383935600490076,25,436.15484660900256,pos,433.67406722500164,1,44,0.6759482179986662,0,-1.5151286486205269,7.13,male,Monday
faceWord_exp,448.32900950100156,336,hurricane,0.6893567750012153,442.00794927099923,22,32,42,442.69730604600045,60,180,12,image_stim_n.png,y,449.0075424070019,0.4963854659945355,25,448.8253949669961,neg,443.6968244289965,1,45,0.6785329060003278,1,3.648586845460279,3.16,male,Monday
faceWord_exp,455.7536220719994,180,pineapple,0.6889960690023145,452.0314046689964,21,31,42,452.7204007379987,60,336,11,image_stim_p.png,b,456.4332909349978,0.48111737900035223,25,456.23473945099977,pos,453.7202734429957,1,46,0.6796688629983691,1,-1.6708771386143015,6.9,male,Monday
faceWord_exp,468.374211549999,336,wealthy,0.6898173619993031,462.0538560979985,21,31,42,462.7436734599978,60,180,11,image_stim_p.png,b,469.0539620529962,0.48088925200136146,25,468.8551008020004,pos,463.7433117039982,1,47,0.6797505029971944,1,-1.8465637543339983,6.37,male,Monday
faceWord_exp,475.7980756140023,180,new,0.6914166569986264,472.0754822579984,21,31,42,472.766898914997,60,336,11,image_stim_p.png,b,476.4797678429968,0.5328740650002146,25,476.3309496790025,pos,473.7669466820007,1,48,0.6816922289945069,1,-1.2313279950095668,7.68,male,Monday
faceWord_exp,485.82511092099594,180,keyboard,0.6893614799992065,482.1006648440016,21,41,42,482.7900263240008,60,336,13,image_stim_p.png,b,486.5026018549979,0.562213237004471,25,486.3873241580004,neu,483.78992058899894,1,49,0.6774909340019803,1,-0.08455950357770388,5.17,male,Monday
faceWord_exp,495.84847989300033,180,hamster,0.6865859089957667,492.1266356220003,21,41,42,492.8132215309961,60,336,13,image_stim_p.png,b,496.52622839399555,0.46254160899843555,25,496.31102150199877,neu,493.8132848669993,1,50,0.6777485009952215,1,-1.1856791528275217,5.88,male,Monday
faceWord_exp,508.4702046120001,336,moral,0.690366199996788,502.14610412299953,21,31,42,502.8364703229963,60,180,11,image_stim_p.png,b,509.1467605889993,0.5942817879986251,25,509.0644863999987,pos,503.8363715930027,1,51,0.6765559769992251,1,-1.1443669013398097,6.85,male,Monday
faceWord_exp,518.4891469899958,336,commander,0.6892518520035082,512.1704447119992,22,32,42,512.8596965640027,60,180,12,image_stim_n.png,b,519.1699286399962,0.4654816970069078,25,518.9546286870027,neg,513.8595256510016,1,52,0.6807816500004265,0,0.98843671158419,4.73,male,Monday
faceWord_exp,528.5105835669965,336,sandpaper,0.6963518600023235,522.1865944579986,22,32,42,522.8829463180009,60,180,12,image_stim_n.png,y,529.1932344270026,0.5003257680000388,25,529.0109093349965,neg,523.8826177059964,1,53,0.6826508600061061,1,0.5814463879932942,4.95,male,Monday
faceWord_exp,538.5373078609991,336,envy,0.6911832269979641,532.2150168890003,22,32,42,532.9062001159982,60,180,12,image_stim_n.png,y,539.216313500001,0.5978562789969146,25,539.135164139996,neg,533.9060315469978,1,54,0.6790056390018435,1,3.3697994362845387,3.05,male,Monday
faceWord_exp,545.9620746319997,180,school,0.6899963250034489,542.239157445998,21,41,42,542.9291537710014,60,336,13,image_stim_p.png,b,546.6423859700008,0.5647494730001199,25,546.5268241049998,neu,543.9292110140013,1,55,0.6803113380010473,1,0.26215401176465297,5.41,male,Monday
faceWord_exp,558.5855940300025,336,love,0.6913754690031055,552.2612555609958,21,31,42,552.9526310299989,60,180,11,image_stim_p.png,b,559.2629942200001,0.32861354499618756,25,558.9142075749987,pos,553.9524429259982,1,56,0.6774001899975701,1,-2.40140153221556,8.0,male,Monday
faceWord_exp,568.6087030359995,336,lemonade,0.6887358919993858,562.2870770759982,21,31,42,562.9758129679976,60,180,11,image_stim_p.png,b,569.2860723369959,0.42875701600132743,25,569.0374600520008,pos,563.9758268750011,1,57,0.6773693009963608,1,-2.146343780688921,7.05,male,Monday
faceWord_exp,578.6305615070014,336,field,0.6901739839959191,572.3088435829995,21,41,42,572.9990175669955,60,180,13,image_stim_p.png,b,579.3093318179963,0.4632729820004897,25,579.0938344890019,neu,573.9988292799972,1,58,0.678770310994878,1,-0.9990759838186469,5.73,male,Monday
faceWord_exp,586.0426789900011,180,oak,0.6948261670040665,582.3274301549973,21,31,42,583.0222563220013,60,336,11,image_stim_p.png,b,586.7347696009965,0.49369181099609705,25,586.5363708009972,pos,584.0213928910016,1,59,0.6920906109953648,1,-1.0543324261381863,6.47,male,Monday
faceWord_exp,596.0631850540012,180,bridge,0.6910140260006301,592.3543979480019,22,42,42,593.0454119740025,60,336,13,image_stim_n.png,b,596.7583852919997,0.479701780997857,25,596.5428868349991,neu,594.0455320929977,1,60,0.695200237998506,0,0.1935892361901769,5.44,male,Monday
