onset_img,age,scan day,onset_word,ID,word_score_warriner,word,no,offset_word,session,duration_frames,response,gender,correct_resp,offset_img,duration_measured_word,key_t,delay_frames_after,condition,word_trigger,word_label,delay_frames_before,rt,word_score_pc,duration_measured_img,img,pause_trigger_t,pause_trigger,img_trigger
277.9789625699923,24,Monday,271.6577362459793,matilde,4.7,radish,28,272.3528620819852,3,42,y,female,1,278.6699120059784,0.6951258360059,278.5896118389792,180,faceWord_exp,12,neg,336,0.6106492689868901,0.33736940436804663,0.6909494359861128,image_stim_n.png,273.35391760099446,32,22
287.99505341399345,24,Monday,281.6739836469933,matilde,7.11,rose,29,282.37002507198486,3,42,b,female,1,288.6863392259984,0.696041424991563,288.48906468300265,180,faceWord_exp,11,pos,336,0.49401126900920644,-2.098490136277324,0.691285812004935,image_stim_p.png,283.3703611329838,31,21
298.0118684179906,24,Monday,291.6901929869782,matilde,5.63,pen,30,292.3861867179803,3,42,y,female,1,298.7031824129808,0.6959937310020905,298.50715053998283,180,faceWord_exp,13,neu,336,0.49528212199220434,-0.23071750329615884,0.6913139949901961,image_stim_n.png,293.3867425979988,42,22
308.0314589009795,24,Monday,301.7102103299985,matilde,4.57,reporter,31,302.4026779519918,3,42,y,female,1,308.7363706539909,0.6924676219932735,308.62246675998904,180,faceWord_exp,12,neg,336,0.5910078590095509,0.7962654471128737,0.7049117530114017,image_stim_n.png,303.4033638119872,32,22
318.0616027439828,24,Monday,311.74009595200187,matilde,5.4,harp,32,312.43624184897635,3,42,y,female,1,318.7524718630011,0.6961458969744854,318.73979598100414,180,faceWord_exp,13,neu,336,0.6781932370213326,-1.7878104403788575,0.6908691190183163,image_stim_n.png,313.43660552299116,42,22
325.47750248000375,24,Monday,321.75686122998013,matilde,5.65,pencil,33,322.45256558799883,3,42,y,female,1,326.16962700500153,0.6957043580187019,326.10551946700434,336,faceWord_exp,13,neu,180,0.628016987000592,0.13339963708933658,0.6921245249977801,image_stim_n.png,323.4530355029856,42,22
335.4946934489999,24,Monday,331.7738825089764,matilde,7.15,symphony,34,332.4684427320026,3,42,b,female,1,336.1857334939996,0.6945602230262011,335.92208463099087,336,faceWord_exp,11,pos,180,0.4273911819909699,-1.9498998207384868,0.6910400449996814,image_stim_p.png,333.4695986189763,31,21
345.51371680398006,24,Monday,341.7902809709776,matilde,2.11,criminal,35,342.4856485789933,3,42,y,female,1,346.2190745899861,0.6953676080156583,345.80622314297943,336,faceWord_exp,12,neg,180,0.29250633899937384,3.6129749181587063,0.7053577860060614,image_stim_n.png,343.48605829899316,32,22
358.14384921398596,24,Monday,351.8228827760031,matilde,5.89,gum,36,352.5190163399966,3,42,y,female,1,358.8352991339925,0.6961335639934987,358.6056302539946,180,faceWord_exp,13,neu,336,0.4617810400086455,-1.0048841857254538,0.691449920006562,image_stim_n.png,353.51935953099746,42,22
365.56077303297934,24,Monday,361.8388390679902,matilde,5.1,cabinet,37,362.53555612897617,3,42,y,female,1,366.2521336719801,0.696717060985975,366.1547887850029,336,faceWord_exp,13,neu,180,0.5940157520235516,0.05858023181365075,0.6913606390007772,image_stim_n.png,363.53603797298274,42,22
378.1797170600039,24,Monday,371.8583077020012,matilde,6.29,flute,38,372.5516285409976,3,42,b,female,1,378.8850920749828,0.693320838996442,378.7380643170036,180,faceWord_exp,11,pos,336,0.5583472569996957,-1.6804307003665144,0.7053750149789266,image_stim_p.png,373.55243944597896,31,21
388.2272787519905,24,Monday,381.8905050329922,matilde,3.37,tobacco,39,382.58459399000276,3,42,y,female,1,388.9172975079855,0.6940889570105355,388.78887426498113,180,faceWord_exp,12,neg,336,0.561595512990607,2.411295736651624,0.69001875599497,image_stim_n.png,383.5852748739999,32,22
398.2440670679789,24,Monday,391.92273674099124,matilde,6.62,goldfish,40,392.61826506399666,3,42,b,female,1,398.93403238098836,0.6955283230054192,398.68854644100065,180,faceWord_exp,11,pos,336,0.4444793730217498,-1.0930411682114536,0.6899653130094521,image_stim_p.png,393.6188665259979,31,21
405.6609768559865,24,Monday,401.93936234200373,matilde,2.62,shame,41,402.63490383399767,3,42,y,female,1,406.35176416198374,0.6955414919939358,406.2706017799792,336,faceWord_exp,12,neg,180,0.6096249239926692,4.2618443246155895,0.6907873059972189,image_stim_n.png,403.6353890209866,32,22
415.67723252699943,24,Monday,411.95590415000333,matilde,7.11,couple,42,412.6515610709903,3,42,b,female,1,416.36788415699266,0.6956569209869485,416.1712334199983,336,faceWord_exp,11,pos,180,0.4940008929988835,-1.9002611819546853,0.6906516299932264,image_stim_p.png,413.6520782839798,31,21
428.2934740909841,24,Monday,421.97272650699597,matilde,4.59,volcano,43,422.6677931919985,3,42,y,female,1,428.9845411029819,0.69506668500253,428.73774243699154,180,faceWord_exp,12,neg,336,0.4442683460074477,2.1987551193617842,0.6910670119978022,image_stim_n.png,423.66807732198504,32,22
438.3094514879922,24,Monday,431.9884889279783,matilde,3.95,dusty,44,432.6852292550029,3,42,y,female,1,439.0009431699873,0.6967403270245995,438.838162828004,180,faceWord_exp,12,neg,336,0.528711340011796,1.8802224749820768,0.6914916819951031,image_stim_n.png,433.68471459299326,32,22
448.3289532949857,24,Monday,442.0108594679914,matilde,5.61,witness,45,442.70100916098454,3,42,y,female,0,449.0342148289783,0.6901496929931454,448.77104434598004,180,faceWord_exp,13,neu,336,0.44209105099434964,0.5990623206044929,0.7052615339925978,image_stim_p.png,443.7016226859996,41,21
458.3596159860026,24,Monday,452.0385272039857,matilde,7.18,island,46,452.7344633989851,3,42,b,female,1,459.05065004498465,0.6959361949993763,458.7210779390007,180,faceWord_exp,11,pos,336,0.36146195299807005,-1.7760144816699572,0.6910340589820407,image_stim_p.png,453.7348685799807,31,21
468.37618026699056,24,Monday,462.0556660879811,matilde,3.45,grievance,47,462.7509958239971,3,42,y,female,1,469.0674131049891,0.6953297360159922,468.8534327399975,180,faceWord_exp,12,neg,336,0.4772524730069563,3.6017940902369654,0.6912328379985411,image_stim_n.png,463.75124840199715,32,22
475.7922452589846,24,Monday,472.071181391977,matilde,5.72,plane,48,472.7674477219989,3,42,b,female,1,476.4840736989863,0.6962663300218992,476.189202123991,336,faceWord_exp,13,neu,180,0.3969568650063593,0.20373950943912453,0.6918284400017001,image_stim_p.png,473.76777253797627,41,21
485.80927601398434,24,Monday,482.08784462697804,matilde,5.71,sum,49,482.78373390698107,3,42,y,female,1,486.50053541199304,0.6958892800030299,486.28743886898155,336,faceWord_exp,13,neu,180,0.47816285499720834,0.1511721542964875,0.6912593980086967,image_stim_n.png,483.784813338978,42,22
495.82625914597884,24,Monday,492.1048983169894,matilde,5.34,patent,50,492.80030161800096,3,42,b,female,1,496.51690847298596,0.6954033010115381,496.3200137669919,336,faceWord_exp,13,neu,180,0.49375462101306766,-0.1793860699809707,0.6906493270071223,image_stim_p.png,493.8004988169996,41,21
505.8416873989918,24,Monday,502.1205206720042,matilde,6.75,bird,51,502.8170628619846,3,42,b,female,1,506.53304718100117,0.6965421899803914,506.3699619419931,336,faceWord_exp,11,pos,180,0.5282745430013165,-1.0841943171680315,0.6913597820093855,image_stim_p.png,503.81728378799744,31,21
518.4615522649838,24,Monday,512.1401928959822,matilde,6.26,fountain,52,512.8334669059841,3,42,b,female,1,519.1667125779786,0.6932740100019146,518.9699726209801,180,faceWord_exp,11,pos,336,0.5084203559963498,-2.0727743906520253,0.7051603129948489,image_stim_p.png,513.8340836599818,31,21
525.8925305079902,24,Monday,522.1705677199934,matilde,4.32,cold,53,522.8663930059993,3,42,y,female,1,526.5834865689976,0.6958252860058565,526.470593673992,336,faceWord_exp,12,neg,180,0.5780631660018116,1.7592404876513306,0.690956061007455,image_stim_n.png,523.8669397739868,32,22
538.5085900599952,24,Monday,532.1882598229859,matilde,6.71,advantage,54,532.8835208959936,3,42,b,female,1,539.1997313399916,0.695261073007714,538.9030534129997,180,faceWord_exp,11,pos,336,0.3944633530045394,-1.2474567486001964,0.6911412799963728,image_stim_p.png,533.8834511299792,31,21
548.525318133994,24,Monday,542.2038907379902,matilde,5.75,year,55,542.8995007399935,3,42,y,female,1,549.2164369380043,0.6956100020033773,548.9523949539871,180,faceWord_exp,13,neu,336,0.4270768199930899,0.5062695562835388,0.6911188040103298,image_stim_n.png,543.8998288879811,42,22
558.5414350249921,24,Monday,552.2205995389959,matilde,4.18,belch,56,552.9160692970036,3,42,y,female,1,559.2328427409811,0.6954697580076754,554.5023759949836,180,faceWord_exp,12,neg,336,-4.039059030008502,1.9197700017151131,0.6914077159890439,image_stim_n.png,553.9168060599768,32,22
565.9581746659824,24,Monday,562.2371339759848,matilde,2.81,malice,57,562.9329010999936,3,42,y,female,1,566.6493409629911,0.695767124008853,566.8358406389889,336,faceWord_exp,12,neg,180,0.8776659730065148,3.6887696102955196,0.6911662970087491,image_stim_n.png,563.9333711669897,32,22
575.9746605010005,24,Monday,572.25397862299,matilde,5.82,spiritual,58,572.9490240579762,3,42,y,female,1,576.6658402259927,0.6950454349862412,576.4694964969822,336,faceWord_exp,13,neu,180,0.4948359959817026,-1.5026706526379858,0.6911797249922529,image_stim_n.png,573.9496879819781,42,22
585.9940783079946,24,Monday,582.272628673003,matilde,6.63,car,59,582.9658610199986,3,42,b,female,1,586.698840150988,0.6932323469955008,586.4514946480049,336,faceWord_exp,11,pos,180,0.4574163400102407,-1.4106928476010352,0.7047618429933209,image_stim_p.png,583.9662136010011,31,21
598.6245079959917,24,Monday,592.3033255729824,matilde,3.28,trial,60,592.9989733819966,3,42,y,female,1,599.3155997360009,0.69564780901419,599.1849721109902,180,faceWord_exp,12,neg,336,0.5604641149984673,2.3068979902815,0.6910917400091421,image_stim_n.png,593.9995971269964,32,22
