no,img_trigger,session,duration_measured_word,duration_frames,offset_img,word_label,pause_trigger,offset_word,word_trigger,correct_resp,duration_measured_img,delay_frames_before,gender,delay_frames_after,age,condition,scan day,ID,img,onset_word,word,key_t,pause_trigger_t,response,word_score_pc,onset_img,rt,word_score_warriner
22,22,4,0.6975913532078266,42,215.3939055929659,neu,42,211.69370291021187,13,1,0.6851150364382192,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,210.99611155700404,red,215.34418189991266,212.6941533164354,y,0.4395766978022416,214.70879055652767,0.6353913433849812,5.67
23,22,4,0.6973590924171731,42,225.3943277685903,neg,32,221.6941578076221,12,1,0.6844442391302437,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,220.99679871520493,scream,225.1114829207072,222.69457805843558,y,2.6978270877422883,224.70988352946006,0.40159939124714583,3.02
24,21,4,0.697113357950002,42,237.99487293988932,pos,31,231.69461013865657,11,1,0.6848413922125474,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,230.99749678070657,gratitude,237.69528991845436,232.69503455993254,b,-2.8305869761860607,237.31003154767677,0.38525837077759206,6.67
25,21,4,0.6976170174311846,42,247.9953708248213,pos,31,241.6950380888302,11,1,0.6846341540804133,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,240.997421071399,bay,247.8290746846469,242.69547726691235,b,-1.17416436554964,247.31073667074088,0.5183380139060318,7.23
26,21,4,0.697195804095827,42,257.9958578024525,pos,31,251.6955937180901,11,1,0.6845927705289796,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,250.99839791399427,wonder,257.97954565426335,252.69585420947988,b,-2.303583541830637,257.31126503192354,0.6682806223398075,6.68
27,21,4,0.6974149120505899,42,267.9961959279608,pos,31,261.6960627308581,11,1,0.6849440488731489,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,260.9986478188075,trust,267.7133975963807,262.6963556233095,b,-2.1205664047688315,267.31125187908765,0.40214571729302406,7.24
28,22,4,0.6973924558842555,42,275.3966051432071,neg,32,271.69644608942326,12,1,0.685514114331454,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,270.999053633539,denial,275.3303376827389,272.6968483753735,y,2.8314410724962364,274.71109102887567,0.6192466538632289,3.57
29,21,4,0.6975060198456049,42,287.99715095595457,pos,31,281.6968528665602,11,1,0.6846412116428837,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,280.9993468467146,dog,288.0311903107213,282.6972859494854,b,-1.7294291477603156,287.3125097443117,0.7186805664096028,7.0
30,22,4,0.6961589716374874,42,295.3975473390892,neg,32,291.69737064128276,12,1,0.6861438489286229,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,291.0012116696453,explosion,295.13127962197177,292.69773699739017,y,3.1835494020570807,294.7114034901606,0.4198761318111792,3.17
31,21,4,0.6974546915153041,42,307.99811913690064,pos,31,301.6978826415725,11,1,0.6850553672993556,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,301.0004279500572,honey,307.8650289074285,302.69824226072524,b,-2.066768843681998,307.3130637696013,0.5519651378272101,7.27
32,22,4,0.6972317339386791,42,315.39843403629493,neg,32,311.6982711328892,12,1,0.6854114576708525,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,311.0010393989505,majority,315.1488778661005,312.69865417073015,y,0.19555716741692625,314.7130225786241,0.43585528747644275,4.95
33,21,4,0.6974091376177967,42,327.99896477139555,pos,31,321.6987475241767,11,1,0.6853270867140964,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,321.0013383865589,parent,327.7827909530606,322.6991456396645,b,-1.2094761189992442,327.31363768468145,0.46915326837915927,6.73
34,22,4,0.6974502002121881,42,335.3993861770723,neu,42,331.6991520556621,13,1,0.685550365014933,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,331.00170185544994,team,335.38307114166673,332.69963903340977,y,-0.9453395472380092,334.71383581205737,0.6692353296093643,5.91
35,21,4,0.6972622101893649,42,347.99997754383367,pos,31,341.6996268428629,11,1,0.6853543549077585,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,341.00236463267356,kitchen,347.98372923524585,342.7000599257881,b,-1.5082836116280287,347.3146231889259,0.6691060463199392,6.17
36,22,4,0.6976523057091981,42,355.4005923932418,neg,32,351.7001154245809,12,1,0.6854531619464979,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,351.0024631188717,loan,355.2673651812365,352.7005539610982,y,0.7532200949518182,354.7151392312953,0.552225949941203,4.19
37,22,4,0.6972785710822791,42,365.40071301476564,neg,32,361.7005404874217,12,1,0.684854865889065,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,361.0032619163394,fallacy,365.20115257799625,362.70097966562025,y,2.7422742606943906,364.7158581488766,0.48529442911967635,4.0
