img_trigger,offset_word,pause_trigger_t,rt,word_score_warriner,key_t,session,onset_word,response,duration_measured_word,gender,duration_frames,delay_frames_after,word,onset_img,delay_frames_before,word_score_pc,word_label,scan day,pause_trigger,condition,age,no,img,offset_img,duration_measured_img,ID,correct_resp,word_trigger
21,363.13414295201073,364.1346429030091,0.6096301490033511,6.92,366.7696609380073,6,362.43797797001025,b,0.6961649820004823,female,42,336,sun,366.16003078900394,180,-1.2017878999114775,pos,Monday,31,faceWord_exp,23,37,image_stim_p.png,366.8505348700128,0.6905040810088394,K,1,11
22,373.15066996200767,374.15113502500753,0.4761853189993417,3.38,376.6528850330069,6,372.45458744000643,y,0.6960825220012339,female,42,336,woe,376.17669971400755,180,4.673386290788297,neg,Monday,32,faceWord_exp,23,38,image_stim_n.png,376.86732377301087,0.6906240590033121,K,1,12
21,383.1671820590127,384.16767341400555,0.5571580520045245,7.33,386.7524873580114,6,382.47393840800214,b,0.6932436510105617,female,42,336,chipmunk,386.1953293060069,180,-1.071197614358652,pos,Monday,31,faceWord_exp,23,39,image_stim_p.png,386.90050034600426,0.7051710399973672,K,1,11
22,393.20047425301163,394.2008705410117,0.2762371960125165,1.94,399.1025782550132,6,392.50472717201046,y,0.6957470810011728,female,42,180,prison,398.8263410590007,336,3.587794463102913,neg,Monday,32,faceWord_exp,23,40,image_stim_n.png,399.5170556780067,0.6907146190060303,K,1,12
22,403.2169138800091,404.21745797400945,0.0014370830031111836,5.64,408.84375001200533,6,402.5207582680014,y,0.6961556120077148,female,42,180,big,408.8423129290022,336,0.6345811289687322,neu,Monday,42,faceWord_exp,23,41,image_stim_n.png,409.55024131901155,0.7079283900093287,K,1,13
22,413.2501375280117,414.25062044399965,0.5594663400115678,5.33,416.8354101420118,6,412.55641627000296,b,0.6937212580087362,female,42,336,quantity,416.27594380200026,180,-0.1985745460766808,neu,Monday,42,faceWord_exp,23,42,image_stim_n.png,416.96676046500215,0.6908166630018968,K,0,13
21,423.2666643160046,424.2671248030092,0.6099100030114641,6.68,429.50215026701335,6,422.5710199130117,b,0.6956444029929116,female,42,180,forest,428.8922402640019,336,-1.6320665929887423,pos,Monday,31,faceWord_exp,23,43,image_stim_p.png,429.58328286100004,0.6910425969981588,K,1,11
21,433.2831837020058,434.2836889790051,0.6598007439897629,7.15,436.96866375800164,6,432.5871419160103,b,0.696041785995476,female,42,336,girl,436.3088630140119,180,-1.313583728320736,pos,Monday,31,faceWord_exp,23,44,image_stim_p.png,436.99981298000785,0.6909499659959693,K,1,11
21,443.2997584370023,444.3001217520068,1.2602985940029612,5.95,447.58531110901095,6,442.6043166360032,y,0.6954418009991059,female,42,336,escalator,446.325012515008,180,-0.1293625696653618,neu,Monday,41,faceWord_exp,23,45,image_stim_p.png,447.0163479250041,0.6913354099960998,K,0,13
22,453.3162896200083,454.3167120220023,0.5911307049973402,3.08,456.9351641910034,6,452.62219734300743,y,0.694092277000891,female,42,336,sin,456.3440334860061,180,3.1738538072533196,neg,Monday,32,faceWord_exp,23,46,image_stim_n.png,457.03288292500656,0.688849439000478,K,1,12
22,463.3327867520129,464.33329703200434,0.25951530400197953,2.07,469.2182474470028,6,462.6372539150034,y,0.6955328370095231,female,42,180,funeral,468.9587321430008,336,4.494524106175375,neg,Monday,32,faceWord_exp,23,47,image_stim_n.png,469.64936924799986,0.6906371049990412,K,1,12
22,473.34933951600397,474.3497971070028,0.5598277980025159,5.65,479.53487602900714,6,472.6533039470087,y,0.6960355689952848,female,42,180,comb,478.9750482310046,336,-0.15774590184623308,neu,Monday,42,faceWord_exp,23,48,image_stim_n.png,479.6659139960102,0.6908657650055829,K,1,13
