condition,offset_img,word_trigger,word_score_pc,correct_resp,pause_trigger_t,duration_measured_word,img,onset_img,gender,word,age,word_label,duration_measured_img,pause_trigger,response,key_t,word_score_warriner,img_trigger,onset_word,duration_frames,offset_word,delay_frames_after,ID,rt,no,session,delay_frames_before,scan day
faceWord_exp,298.64444639999965,13,-1.3575770021145472,1,293.34986409999965,0.6917402999997648,image_stim_p.png,297.96502280000004,female,tomato,25,neu,0.679423599999609,41,b,298.34550260000015,5.8,21,291.65762280000035,42,292.3493631000001,180,gr1nr2,0.38047980000010284,30,1,336,Monday
faceWord_exp,308.6548186,12,0.5814463879932942,1,303.3402827,0.6957738999999492,image_stim_n.png,307.9751643999998,female,sandpaper,25,neg,0.6796542000001864,32,y,308.48999340000046,4.95,22,301.64480939999976,42,302.3405832999997,180,gr1nr2,0.5148290000006455,31,1,336,Monday
faceWord_exp,316.06356289999985,13,-0.17528733847197087,1,313.3500912999998,0.6885161000000153,image_stim_n.png,315.3835168000005,female,rocket,25,neu,0.6800460999993447,42,y,315.93171210000037,5.8,22,311.6615804000003,42,312.3500965000003,336,gr1nr2,0.5481952999998612,32,1,180,Monday
faceWord_exp,326.07126530000005,12,3.457530661450998,1,323.35772910000014,0.6896712000007028,image_stim_n.png,325.3921988000002,female,victim,25,neg,0.6790664999998626,32,y,325.7555517999999,2.05,22,321.67220689999976,42,322.36187810000047,336,gr1nr2,0.3633529999997336,33,1,180,Monday
faceWord_exp,336.0962227,13,0.1935892361901769,1,333.36724159999994,0.6968789000002289,image_stim_p.png,335.40812619999997,female,bridge,25,neu,0.6880965000000288,41,b,335.86394519999976,5.44,21,331.6699515,42,332.36683040000025,336,gr1nr2,0.45581899999979214,34,1,180,Monday
faceWord_exp,348.7028971,12,0.13451130194660302,1,343.3913954999998,0.6913698000007571,image_stim_n.png,348.0150418000003,female,diplomat,25,neg,0.6878552999996828,32,y,348.9035457,4.65,22,341.7000700999997,42,342.3914399000005,180,gr1nr2,0.888503899999705,35,1,336,Monday
faceWord_exp,356.11298069999975,11,-2.3673221107876317,1,353.4005053000001,0.6938598000006095,image_stim_p.png,355.4296899000001,female,garden,25,pos,0.6832907999996678,31,b,355.8307858999997,7.25,21,351.7060806999998,42,352.3999405000004,336,gr1nr2,0.40109599999959755,36,1,180,Monday
faceWord_exp,366.1232839000004,13,-1.0601571884744718,1,363.4086935000005,0.6953430999992634,image_stim_p.png,365.4441423999997,female,fiddle,25,neu,0.6791415000006964,41,b,365.89043200000015,5.05,21,361.7131248000005,42,362.4084678999998,336,gr1nr2,0.4462896000004548,37,1,180,Monday
faceWord_exp,378.7289459000003,12,3.3697994362845387,1,373.4175948000002,0.6956178999998883,image_stim_n.png,378.0470370000003,female,envy,25,neg,0.6819089000000531,32,y,378.4645953999998,3.05,22,371.72075080000013,42,372.4163687,180,gr1nr2,0.41755839999950695,38,1,336,Monday
faceWord_exp,388.73643549999997,12,1.5906822936049958,0,383.4244939,0.6903117000001657,image_stim_n.png,388.0569857999999,female,mouse,25,neg,0.6794497000000774,32,b,388.58726149999984,4.8,22,381.73460739999973,42,382.4249190999999,180,gr1nr2,0.5302756999999474,39,1,336,Monday
faceWord_exp,396.1470674000002,12,3.648586845460279,1,393.43322570000055,0.6949045999999726,image_stim_n.png,395.47088520000034,female,hurricane,25,neg,0.6761821999998574,32,y,395.8652265999999,3.16,22,391.73835229999986,42,392.43325689999983,336,gr1nr2,0.3943413999995755,40,1,180,Monday
faceWord_exp,406.17256499999985,11,-1.8465637543339983,1,403.4430417000003,0.695002000000386,image_stim_p.png,405.4839268000005,female,wealthy,25,pos,0.6886381999993318,31,b,406.0902745000003,6.37,21,401.74670400000014,42,402.4417060000005,336,gr1nr2,0.6063476999997874,41,1,180,Monday
faceWord_exp,418.7780511000001,13,-0.18281188470513854,1,413.4667422000002,0.6917309000000387,image_stim_n.png,418.0974412000005,female,spatula,25,neu,0.6806098999995811,42,y,419.56298719999995,5.14,22,411.77647780000007,42,412.4682087000001,180,gr1nr2,1.4655459999994491,42,1,336,Monday
faceWord_exp,426.17214310000054,11,-2.8031613090757777,1,423.47628390000045,0.6967581999997492,image_stim_p.png,425.4946933000001,female,beach,25,pos,0.6774498000004314,31,b,425.8898095000004,7.21,21,421.77905120000014,42,422.4758093999999,336,gr1nr2,0.39511620000030234,43,1,180,Monday
faceWord_exp,436.1648032000003,11,-2.1296901000704778,1,433.4680510999997,0.6946805999996286,image_stim_p.png,435.48335270000007,female,zoo,25,pos,0.68145050000021,31,b,435.9480633000003,7.0,21,431.7731351000002,42,432.46781569999985,336,gr1nr2,0.4647106000002168,44,1,180,Monday
faceWord_exp,448.7536654000005,11,-1.0543324261381863,1,443.46055890000025,0.6972710000000006,image_stim_p.png,448.07453090000035,female,oak,25,pos,0.6791345000001456,31,b,448.4888694000001,6.47,21,441.7616872999997,42,442.4589582999997,180,gr1nr2,0.4143384999997579,45,1,336,Monday
faceWord_exp,458.76213199999984,13,-0.05916451699915906,1,453.4529300000004,0.6940085000005638,image_stim_n.png,458.0791884,female,embassy,25,neu,0.6829435999998168,42,y,458.7631118999998,5.3,22,451.7570963999997,42,452.45110490000025,180,gr1nr2,0.6839234999997643,46,1,336,Monday
