session,condition,word_score_pc,img,ID,word_label,word_score_warriner,pause_trigger_t,duration_measured_img,key_t,age,delay_frames_after,scan day,offset_word,onset_word,response,onset_img,delay_frames_before,gender,pause_trigger,word_trigger,no,img_trigger,duration_measured_word,offset_img,rt,duration_frames,word,correct_resp
6,faceWord_exp,-0.30581232848456497,image_stim_n.png,2019102307,neu,5.78,202.6940801735036,0.685117281973362,205.51107505289838,25,336,Wednesday,201.6937003438361,200.99765461543575,y,204.70872896257788,180,female,42,13,21,22,0.6960457284003496,205.39384624455124,0.8023460903204978,42,advice,1
6,faceWord_exp,0.7240429444440241,image_stim_n.png,2019102307,neg,4.55,212.69459955231287,0.6855673675891012,215.34468459687196,25,336,Wednesday,211.69414754211903,210.9962591258809,y,214.7087247921154,180,female,32,12,22,22,0.6978884162381291,215.3942921597045,0.6359598047565669,42,law,1
6,faceWord_exp,-1.87678309604286,image_stim_p.png,2019102307,pos,6.73,222.6950910212472,0.6847589460667223,225.3617843145039,25,336,Wednesday,221.6947025298141,220.99695430416614,b,224.7100102463737,180,female,31,11,23,21,0.6977482256479561,225.39476919244044,0.6517740681301802,42,read,1
6,faceWord_exp,-3.0889019952949432,image_stim_p.png,2019102307,pos,7.53,232.69546892610379,0.685630886349827,235.4457648661919,25,336,Wednesday,231.69509583315812,230.99781437497586,b,234.70960475248285,180,female,31,11,24,21,0.6972814581822604,235.39523563883267,0.7361601137090474,42,honeymoon,1
6,faceWord_exp,-0.9476055713690849,image_stim_n.png,2019102307,neu,5.81,242.6959921545349,0.6847797981463373,245.36273228470236,25,336,Wednesday,241.6955395026598,240.998115608003,y,244.71093511907384,180,female,42,13,25,22,0.6974238946568221,245.39571491722018,0.6517971656285226,42,satire,1
6,faceWord_exp,1.421533554407035,image_stim_n.png,2019102307,neg,3.89,252.69636845542118,0.6854708059690893,258.0134727281984,25,180,Wednesday,251.69596937741153,251.00021012546495,y,257.3107767710462,336,female,32,12,26,22,0.6957592519465834,257.9962475770153,0.7026959571521729,42,judge,1
6,faceWord_exp,-0.1293625696653618,image_stim_n.png,2019102307,neu,5.95,262.69682239042595,0.6849331418052316,265.36361577385105,25,336,Wednesday,261.6964201044757,260.9992336037103,y,264.7116678310558,180,female,42,13,27,22,0.6971865007653832,265.39660097286105,0.6519479427952319,42,escalator,1
6,faceWord_exp,3.7741942061665816,image_stim_n.png,2019102307,neg,2.53,272.6972625309136,0.6847720991354436,278.23105903854594,25,180,Wednesday,271.6968945709523,270.9994681100361,y,277.31239746348,336,female,32,12,28,22,0.6974264609161764,277.99716956261545,0.9186615750659257,42,lost,1
6,faceWord_exp,1.346131993343653,image_stim_n.png,2019102307,neg,4.42,282.6977013882715,0.6847724197432399,285.38126438390464,25,336,Wednesday,281.69735010992736,281.0000089823734,y,284.7127752401866,180,female,32,12,29,22,0.6973411275539547,285.39754765992984,0.668489143718034,42,protest,1
6,faceWord_exp,-1.313583728320736,image_stim_p.png,2019102307,pos,7.15,292.69805651623756,0.684935066383332,297.91508398926817,25,180,Wednesday,291.6978165563196,291.00021654134616,b,297.31313787493855,336,female,31,11,30,21,0.6976000149734318,297.9980729413219,0.6019461143296212,42,girl,1
6,faceWord_exp,-1.2017878999114775,image_stim_p.png,2019102307,pos,6.92,302.69865385000594,0.6847887807525694,307.9155283002183,25,180,Wednesday,301.6982281454839,301.0006438498385,b,307.3137977649458,336,female,31,11,31,21,0.6975842956453562,307.99858654569834,0.6017305352725089,42,sun,1
6,faceWord_exp,0.6345811289687322,image_stim_p.png,2019102307,neu,5.64,312.6991090681404,0.6845982240047306,317.86601890297607,25,180,Wednesday,311.69872570969164,311.0010814240668,b,317.31440664757974,336,female,41,13,32,21,0.6976442856248468,317.9990048715845,0.5516122553963214,42,big,1
6,faceWord_exp,-1.071197614358652,image_stim_p.png,2019102307,pos,7.33,322.69960182043724,0.6850659537594765,328.0666950896848,25,180,Wednesday,321.6992287274916,321.0019164721016,b,327.3144005523063,336,female,31,11,33,21,0.6973122553899884,327.9994665060658,0.7522945373784751,42,chipmunk,1
6,faceWord_exp,1.7380634654586231,image_stim_n.png,2019102307,neg,3.25,332.699999935925,0.6855109063908458,335.30015340750106,25,336,Wednesday,331.69963261741214,331.0026863971725,y,334.7143182985019,180,female,32,12,34,22,0.6969462202396244,335.39982920489274,0.5858351089991629,42,politician,1
6,faceWord_exp,3.1738538072533196,image_stim_n.png,2019102307,neg,3.08,342.700422111433,0.6854685603175312,345.2339898869395,25,336,Wednesday,341.7001096501481,341.0024955200497,y,344.7148248453159,180,female,32,12,35,22,0.6976141300983727,345.4002934056334,0.5191650416236371,42,sin,1
6,faceWord_exp,4.2219398121868315,image_stim_n.png,2019102307,neg,2.29,352.70092095877044,0.6848558282945305,357.9013305590488,25,180,Wednesday,351.70057449257,351.00321443751454,y,357.3159946182277,336,female,32,12,36,22,0.6973600550554693,358.00085044652224,0.5853359408210963,42,guilt,1
6,faceWord_exp,0.07641955756997082,image_stim_p.png,2019102307,neu,5.1,362.7014291093219,0.6847493220120668,365.5017801311333,25,336,Wednesday,361.70102233230136,361.00346530484967,b,364.7164375176653,180,female,41,13,37,21,0.697557027451694,365.4011868396774,0.7853426134679466,42,role,1
6,faceWord_exp,-2.3709211732995845,image_stim_p.png,2019102307,pos,6.37,372.70189234777354,0.6848962493240833,377.96880166907795,25,180,Wednesday,371.70150866825134,371.004112042021,b,377.3168970346451,336,female,31,11,38,21,0.6973966262303293,378.00179328396916,0.6519046344328672,42,parade,1
6,faceWord_exp,-0.7656585604551551,image_stim_p.png,2019102307,neu,5.89,382.7023055409081,0.6847567004151642,385.26917707175016,25,336,Wednesday,381.701934693614,381.0047533256002,b,384.7173556534108,180,female,41,13,39,21,0.6971813680138439,385.40211235382594,0.5518214183393866,42,audience,1
6,faceWord_exp,0.38949539348709145,image_stim_p.png,2019102307,neu,5.29,392.7027415111661,0.6849812618456781,397.9863883643411,25,180,Wednesday,391.7024001774844,391.00474819284864,b,397.31772310030647,336,female,41,13,40,21,0.6976519846357405,398.00270436215214,0.6686652640346438,42,era,1
6,faceWord_exp,-2.3202480308548075,image_stim_p.png,2019102307,pos,7.18,402.70320571167395,0.6850614624563605,407.9368937239051,25,180,Wednesday,401.7028515462298,401.0054863584228,b,407.3180875314865,336,female,31,11,41,21,0.6973651878070086,408.0031489939429,0.6188061924185604,42,party,1
6,faceWord_exp,1.4290259416609457,image_stim_n.png,2019102307,neg,3.94,412.70371418329887,0.6849235175177455,418.0541818807833,25,180,Wednesday,411.7033349950798,411.00618763198145,y,417.3187057173345,336,female,32,12,42,22,0.6971473630983382,418.00362923485227,0.7354761634487659,42,lawyer,1
