offset_word,ID,word_label,img_trigger,gender,offset_img,delay_frames_after,img,session,word_score_pc,onset_img,rt,condition,pause_trigger_t,age,word,duration_frames,scan day,word_score_warriner,key_t,duration_measured_img,word_trigger,duration_measured_word,onset_word,no,response,delay_frames_before,pause_trigger,correct_resp
212.18980220000958,74,pos,21,male,215.9059253000305,336,image_stim_p.png,5,-2.9544920916265727,215.22421409998788,0.34969010000349954,faceWord_exp,213.19067179999547,23,friendly,42,Monday,7.84,215.57390419999138,0.6817112000426278,11,0.6890220000059344,211.50078020000365,22,b,180,31,1
222.20458520000102,74,pos,21,male,228.52075770002557,180,image_stim_p.png,5,-1.178487968131687,227.83876439998858,0.4155356000410393,faceWord_exp,223.20547510002507,23,tangerine,42,Monday,6.81,228.25430000002962,0.6819933000369929,11,0.6926429999875836,221.51194220001344,23,b,336,31,1
232.2204172000056,74,pos,21,male,238.534559599997,180,image_stim_p.png,5,-1.2194148821621404,237.8523867999902,0.4024300000164658,faceWord_exp,233.2208938000258,23,penguin,42,Monday,6.65,238.25481680000667,0.6821728000068106,11,0.693569099996239,231.52684810000937,24,b,336,31,1
242.2353346000309,74,neg,22,male,245.951862899994,336,image_stim_n.png,5,0.5712560851538326,245.26612990000285,0.45353320002323017,faceWord_exp,243.23685069999192,23,election,42,Monday,4.5,245.71966310002608,0.6857329999911599,12,0.6912974000442773,241.54403719998663,25,b,180,32,0
252.25121349998517,74,neg,22,male,258.5667484999867,180,image_stim_n.png,5,0.8708146708303101,257.8821540999925,0.4193622000166215,faceWord_exp,253.25163990003057,23,banker,42,Monday,4.89,258.3015163000091,0.6845943999942392,12,0.69388529995922,251.55732820002595,26,y,336,32,1
262.2665860999841,74,pos,21,male,268.58194679999724,180,image_stim_p.png,5,-1.6872526925643307,267.8972584999865,0.6363153000129387,faceWord_exp,263.2671222999925,23,cash,42,Monday,7.51,268.53357379999943,0.6846883000107482,11,0.6931898999609984,261.5733962000231,27,b,336,31,1
272.2813207000145,74,neg,22,male,278.5976238999865,180,image_stim_n.png,5,3.659937177091274,277.9142995000002,0.4352105000289157,faceWord_exp,273.28241879999405,23,curse,42,Monday,2.9,278.3495100000291,0.6833243999863043,12,0.6929552999790758,271.5883654000354,28,y,336,32,1
282.2968787000282,74,pos,21,male,286.0135410000221,336,image_stim_p.png,5,-2.1428059827362134,285.3288406000356,0.5529902999987826,faceWord_exp,283.29773639998166,23,awe,42,Monday,6.85,285.8818309000344,0.6847003999864683,11,0.6924915999989025,281.60438710002927,29,b,180,31,1
292.3122586000245,74,neu,21,male,296.0281974999816,336,image_stim_p.png,5,0.3309936143559913,295.34310980001464,0.5365826999768615,faceWord_exp,293.3136930000037,23,newspaper,42,Monday,5.11,295.8796924999915,0.6850876999669708,13,0.6926316000171937,291.6196270000073,30,b,180,41,1
302.32808970002225,74,neu,21,male,306.04439830000047,336,image_stim_p.png,5,-1.235914274808286,305.36277429998154,0.4997810000204481,faceWord_exp,303.32913159998134,23,corn,42,Monday,5.95,305.862555300002,0.6816240000189282,13,0.6933049000217579,301.6347848000005,31,b,180,41,1
312.3437283000094,74,neu,21,male,316.04262299998663,336,image_stim_p.png,5,-0.4963231956276321,315.36445470002946,0.44591499998932704,faceWord_exp,313.34457910002675,23,hairbrush,42,Monday,5.95,315.8103697000188,0.6781682999571785,13,0.6808373000239953,311.6628909999854,32,b,180,41,1
322.34217680001166,74,neg,22,male,326.07461220002733,336,image_stim_n.png,5,3.17672342877373,325.3952575000003,0.49711960001150146,faceWord_exp,323.34322260000044,23,dangerous,42,Monday,2.33,325.8923771000118,0.6793547000270337,12,0.6916116999927908,321.65056510001887,33,y,180,32,1
332.374204199994,74,neu,22,male,338.68967210000847,180,image_stim_n.png,5,0.4587040848007746,338.0103604000178,0.5475005999905989,faceWord_exp,333.3752315000165,23,company,42,Monday,5.64,338.5578610000084,0.6793116999906488,13,0.6920184000045992,331.6821857999894,34,y,336,42,1
342.3895185000147,74,pos,21,male,346.105782300001,336,image_stim_p.png,5,-1.2320142343270626,345.42104869999457,0.5361017000395805,faceWord_exp,343.39072470000247,23,water,42,Monday,7.0,345.95715040003415,0.6847336000064388,11,0.6920635999995284,341.69745490001515,35,b,180,31,1
352.40508609998506,74,pos,21,male,358.7203950000112,180,image_stim_p.png,5,-1.4373817092238501,358.03791590000037,0.4172246999805793,faceWord_exp,353.40607700002147,23,drum,42,Monday,6.05,358.45514059998095,0.6824791000108235,11,0.6934045999660157,351.71168150001904,36,b,336,31,1
362.41996369999833,74,neg,22,male,366.1363985000062,336,image_stim_n.png,5,4.735833249102137,365.4537202999927,0.4512195999850519,faceWord_exp,363.4208386000246,23,grief,42,Monday,2.33,365.90493989997776,0.6826782000134699,12,0.69197509996593,361.7279886000324,37,y,180,32,1
372.4357666000142,74,neg,22,male,378.73457410000265,180,image_stim_n.png,5,2.424733943851676,378.0546070000273,0.47988729999633506,faceWord_exp,373.4362908999901,23,screech,42,Monday,3.5,378.53449430002365,0.6799670999753289,12,0.6918721999973059,371.74389440001687,38,y,336,32,1
382.43406790000154,74,pos,21,male,386.15071240003454,336,image_stim_p.png,5,-2.249771083793789,385.46821299998555,0.40016520000062883,faceWord_exp,383.43547329999274,23,intellect,42,Monday,6.62,385.8683781999862,0.6824994000489824,11,0.6937027999665588,381.740365100035,39,b,180,31,1
392.4499268999789,74,neu,21,male,398.76537310000276,180,image_stim_p.png,5,0.5156614996478043,398.0819658000255,0.36884359997930005,faceWord_exp,393.4508377999882,23,bus,42,Monday,5.12,398.4508094000048,0.6834072999772616,13,0.6937339999713004,391.7561929000076,40,b,336,41,1
402.4648046999937,74,neg,22,male,406.17997840000317,336,image_stim_n.png,5,4.0294120701769724,405.4976722000283,0.4852680999902077,faceWord_exp,403.466011099983,23,dead,42,Monday,2.02,405.9829403000185,0.6823061999748461,12,0.6935554000083357,401.77124929998536,41,y,180,32,1
412.48076820001006,74,pos,21,male,416.23015870002564,336,image_stim_p.png,5,-2.625984580876632,415.54836830002023,0.616900299966801,faceWord_exp,413.48181790002855,23,spring,42,Monday,7.64,416.16526859998703,0.6817904000054114,11,0.6919686999754049,411.78879950003466,42,b,180,31,1
422.528873400006,74,pos,21,male,428.8452648000093,180,image_stim_p.png,5,-2.547338598571031,428.1635763000231,0.5169539999915287,faceWord_exp,423.53027699998347,23,tulip,42,Monday,7.25,428.68053030001465,0.6816884999861941,11,0.6816561999730766,421.8472172000329,43,b,336,31,1
432.54435129999183,74,pos,21,male,436.2604983000201,336,image_stim_p.png,5,-1.8816288507581482,435.57664470002055,0.5516466000117362,faceWord_exp,433.5451102000079,23,theater,42,Monday,6.14,436.1282913000323,0.6838535999995656,11,0.6916685999603942,431.85268270003144,44,b,180,31,1
442.5600814000354,74,neu,22,male,446.27635810000356,336,image_stim_n.png,5,0.08756588783899029,445.59076779999305,0.7036967999883927,faceWord_exp,443.5610912999837,23,mushroom,42,Monday,5.61,446.29446459998144,0.6855903000105172,13,0.6933048000209965,441.8667766000144,45,y,180,42,1
452.57540149998385,74,pos,21,male,458.874185600027,180,image_stim_p.png,5,-2.3591802685249372,458.19250619999366,0.4497757999924943,faceWord_exp,453.5764510000008,23,applause,42,Monday,7.12,458.64228199998615,0.6816794000333175,11,0.6975476999650709,451.8778538000188,46,b,336,31,1
462.5737704000203,74,neg,22,male,466.29053380002733,336,image_stim_n.png,5,1.399169263323496,465.60773759998847,0.6011851000366732,faceWord_exp,463.5746593999793,23,army,42,Monday,4.65,466.20892270002514,0.6827962000388652,12,0.6930643999949098,461.8807060000254,47,y,180,32,1
472.5894190000254,74,pos,21,male,476.3056582999998,336,image_stim_p.png,5,-2.641671297166366,475.6238407000201,0.5333402999676764,faceWord_exp,473.59075750003103,23,peaceful,42,Monday,8.0,476.15718099998776,0.6818175999796949,11,0.6915929000242613,471.8978261000011,48,b,180,31,1
482.6045312000206,74,neu,21,male,486.3209819000331,336,image_stim_p.png,5,0.07992973296861662,485.63674190000165,0.602705999976024,faceWord_exp,483.60549630003516,23,clue,42,Monday,5.38,486.2394478999777,0.6842400000314228,13,0.6925047000404447,481.91202649998013,49,b,180,41,1
492.6196420000051,74,neu,22,male,496.33653770003,336,image_stim_n.png,5,-0.7502239645266248,495.6457282000338,0.5925112999975681,faceWord_exp,493.6208021999919,23,ticket,42,Monday,5.28,496.23823950003134,0.6908094999962486,13,0.6912984999944456,491.92834350001067,50,y,180,42,1
502.6356037000078,74,neu,21,male,508.95225189998746,180,image_stim_p.png,5,0.2374341841762725,508.27009830001043,0.48254469997482374,faceWord_exp,503.636803100002,23,number,42,Monday,5.59,508.75264299998526,0.6821535999770276,13,0.6917346999980509,501.9438690000097,51,b,336,41,1
512.6506024000118,74,neg,22,male,516.3674439000315,336,image_stim_n.png,5,1.0236166268558873,515.6841217000037,0.5185176000231877,faceWord_exp,513.6518762999913,23,hierarchy,42,Monday,4.95,516.2026393000269,0.6833222000277601,12,0.6912282999837771,511.95937410002807,52,y,180,32,1
522.6665195000242,74,neu,22,male,528.9819371000049,180,image_stim_n.png,5,-0.32385553549685003,528.2981342999847,0.6020148000097834,faceWord_exp,523.6676317999954,23,carrot,42,Monday,5.79,528.9001490999945,0.683802800020203,13,0.69225770002231,521.9742618000018,53,y,336,42,1
532.6817978000036,74,pos,21,male,536.3980026000063,336,image_stim_p.png,5,-1.962809513975644,535.7118514000322,0.4877210999839008,faceWord_exp,533.6823684999836,23,bed,42,Monday,7.16,536.1995725000161,0.6861511999741197,11,0.6813790000160225,532.0004187999875,54,b,180,31,1
542.6966321999789,74,pos,21,male,546.4134791999822,336,image_stim_p.png,5,-1.1429809241505904,545.7281115999795,0.5874227000167593,faceWord_exp,543.6983672000351,23,book,42,Monday,7.05,546.3155342999962,0.6853676000027917,11,0.6933940999442711,542.0032381000347,55,b,180,31,1
552.7122253000271,74,neu,22,male,559.0285078000161,180,image_stim_n.png,5,0.14106522732466809,558.3469014000148,0.4671948999748565,faceWord_exp,553.7137038999936,23,editor,42,Monday,5.43,558.8140962999896,0.6816064000013284,13,0.691659800009802,552.0205655000173,56,y,336,42,1
562.7280509999837,74,neu,22,male,566.4441346999956,336,image_stim_n.png,5,0.19443075193465506,565.7620841999887,0.6838803000282496,faceWord_exp,563.7291499000276,23,stapler,42,Monday,5.25,566.445964500017,0.6820505000068806,13,0.6919643000001088,562.0360866999836,57,y,180,42,1
572.7433241999825,74,pos,21,male,576.4762700999854,336,image_stim_p.png,5,-1.410303556989907,575.787437800027,0.6071151999640279,faceWord_exp,573.7445130000124,23,tea,42,Monday,6.56,576.394552999991,0.6888322999584489,11,0.6928300999570638,572.0504941000254,58,b,180,31,1
582.7739451000234,74,neg,22,male,586.4746280999971,336,image_stim_n.png,5,1.5300907112092572,585.7940001999959,0.5661023000138812,faceWord_exp,583.7740679000271,23,ant,42,Monday,3.9,586.3601025000098,0.6806279000011273,12,0.691734499996528,582.0822106000269,59,y,180,32,1
592.774198100029,74,neg,22,male,599.0899475000333,180,image_stim_n.png,5,3.0668244091236065,598.4059417999815,0.38548990001436323,faceWord_exp,593.7724966999958,23,whine,42,Monday,2.82,598.7914316999959,0.6840057000517845,12,0.6921392999938689,592.0820588000352,60,y,336,32,1
