session,condition,scan day,correct_resp,rt,img_trigger,word_label,gender,delay_frames_before,duration_measured_word,age,ID,delay_frames_after,pause_trigger,no,onset_img,img,word_trigger,offset_word,offset_img,duration_measured_img,onset_word,key_t,word_score_pc,pause_trigger_t,word,response,word_score_warriner,duration_frames
1,faceWord_exp,Wednesday,1,0.6194866138976067,22,neg,female,336,0.6973523555789143,23,2019102308,180,32,37,367.3135735243559,image_stim_n.png,12,361.69906030618586,367.9993109169882,0.6857373926322907,361.00170795060694,367.9330601382535,0.7573178762670367,362.69947478268296,meeting,y,4.55,42
1,faceWord_exp,Wednesday,0,0.9352534625213593,21,pos,female,180,0.6974777893628925,23,2019102308,336,31,38,374.71493295556866,image_stim_p.png,11,371.6995161662344,375.39966399176046,0.6847310361918062,371.0020383768715,375.65018641809,-1.1443669013398097,372.6999149231706,moral,y,6.85,42
1,faceWord_exp,Wednesday,1,0.6694627783726901,22,neg,female,180,0.6974043257068843,23,2019102308,336,32,39,384.71436288999394,image_stim_n.png,12,381.69996849726886,385.4001978065353,0.6858349165413529,381.00256417156197,385.3838256683666,4.010420717126172,382.70032907882705,lonely,y,2.67,42
1,faceWord_exp,Wednesday,1,0.6193865237291902,22,neg,female,336,0.6971508918795735,23,2019102308,180,32,40,397.3150848231744,image_stim_n.png,12,391.70041697868146,398.000712180743,0.6856273575685918,391.0032660868019,397.9344713469036,1.9014187675556817,392.7007400263101,alligator,y,4.23,42
1,faceWord_exp,Wednesday,1,0.7190626417286694,21,pos,female,180,0.6972083153668791,23,2019102308,336,31,41,404.7158629610203,image_stim_p.png,11,401.70087989605963,405.40115700499155,0.6852940439712256,401.00367158069275,405.434925602749,-1.8465637543339983,402.70121673843823,wealthy,b,6.37,42
1,faceWord_exp,Wednesday,1,0.6529809257481247,21,pos,female,336,0.6974896588362753,23,2019102308,180,31,42,417.3156548887491,image_stim_p.png,11,411.70132869831286,418.00160368997604,0.6859488012269139,411.0038390394766,417.96863581449725,-1.2313279950095668,412.70167548558675,new,b,7.68,42
1,faceWord_exp,Wednesday,1,0.7193346819840372,21,neu,female,180,0.6974219696130604,23,2019102308,336,41,43,424.71649782848544,image_stim_p.png,13,421.7017787836958,425.4019493863452,0.6854515578597784,421.0043568140827,425.4358325104695,0.26215401176465297,422.7021996763069,school,b,5.41,42
1,faceWord_exp,Wednesday,1,0.7528145576361567,22,neg,female,180,0.6971688566263765,23,2019102308,336,32,44,434.7167891168501,image_stim_n.png,12,431.702227585949,435.4024196823593,0.6856305655092001,431.0050587293226,435.4696036744863,0.5814463879932942,432.70267478423193,sandpaper,y,4.95,42
1,faceWord_exp,Wednesday,1,0.6016981343273073,21,pos,female,180,0.6959966458380222,23,2019102308,336,31,45,444.7181842853315,image_stim_p.png,11,441.70269114524126,445.40286688064225,0.6846825953107327,441.00669449940324,445.3198824196588,-2.1296901000704778,442.70307450369,zoo,b,7.0,42
1,faceWord_exp,Wednesday,1,0.9699023412540555,21,pos,female,336,0.6977302606683224,23,2019102308,180,31,46,457.3174568344839,image_stim_p.png,11,451.7031447594054,458.00345888896845,0.6860020544845611,451.0054144987371,458.28735917573795,-2.2727319315779937,452.7035743135493,pie,b,6.45,42
1,faceWord_exp,Wednesday,1,0.5518390624783933,21,pos,female,336,0.6971656486857682,23,2019102308,180,31,47,467.31916670990176,image_stim_p.png,11,461.703596127918,468.0038910093717,0.6847242994699627,461.0064304792322,467.87100577238016,-1.6708771386143015,462.7039842987433,pineapple,b,6.9,42
1,faceWord_exp,Wednesday,1,1.11976827820763,22,neu,female,180,0.6974617491941899,23,2019102308,336,42,48,474.71838991949335,image_stim_n.png,13,471.7040609703399,475.4042703900486,0.6858804705552757,471.00659922114573,475.838158197701,-0.31568469709749714,472.7043355770875,tourist,y,5.71,42
