correct_resp,img,offset_img,rt,pause_trigger,duration_measured_img,key_t,ID,gender,scan day,onset_img,word_label,onset_word,delay_frames_after,pause_trigger_t,duration_frames,img_trigger,delay_frames_before,no,response,word_score_pc,session,word_score_warriner,offset_word,duration_measured_word,word_trigger,word,age,condition
1,image_stim_p.png,405.38998314505443,0.6199427945539355,31,0.6862160295713693,405.323709910037,2019102308,female,Wednesday,404.70376711548306,pos,400.9923209587578,336,402.6901233997196,42,21,180,41,b,-1.6320665929887423,6,6.68,401.6898102967534,0.6974893379956484,11,forest,23,faceWord_exp
1,image_stim_n.png,417.9905867022462,0.5035519213415682,32,0.6863020043820143,417.8078366192058,2019102308,female,Wednesday,417.3042846978642,neg,410.9927290191408,180,412.6907229789067,42,22,336,42,y,2.6698720582687456,6,2.86,411.6902728935238,0.6975438743829727,12,fee,23,faceWord_exp
1,image_stim_p.png,427.9910438451916,0.7530471393838525,31,0.6858676383271813,428.05822334624827,2019102308,female,Wednesday,427.3051762068644,pos,420.99494672426954,180,422.6912327336613,42,21,336,43,b,-1.8284590275958619,6,6.72,421.69076307932846,0.6958163550589234,11,river,23,faceWord_exp
1,image_stim_n.png,435.39139948645607,0.6031911475583911,42,0.6859664453659207,435.30862418864854,2019102308,female,Wednesday,434.70543304109015,neu,430.99391983659007,336,432.69165683398023,42,22,180,44,y,-0.30581232848456497,6,5.78,431.691178197274,0.697258360683918,13,advice,23,faceWord_exp
1,image_stim_p.png,445.39180786767974,0.8194522238336504,31,0.6856081092264503,445.52565198228694,2019102308,female,Wednesday,444.7061997584533,pos,440.9944918269757,336,442.6921319421381,42,21,180,45,b,-1.1380831950062478,6,7.0,441.69166036276147,0.6971685357857496,11,pumpkin,23,faceWord_exp
,image_stim_n.png,455.3922993366141,,32,0.6859885808080435,,2019102308,female,Wednesday,454.70631075580604,neg,450.99445108510554,336,452.69248386193067,42,22,180,46,,0.7240429444440241,6,4.55,451.69211878906935,0.6976677039638162,12,law,23,faceWord_exp
1,image_stim_n.png,467.9928740216419,0.5868302371818572,32,0.6862384856212884,467.8934657732025,2019102308,female,Wednesday,467.3066355360206,neg,460.9952742634341,180,462.6930247345008,42,22,336,47,y,0.3271241198863318,6,4.59,461.69265035842545,0.6973760949913412,12,mayor,23,faceWord_exp
1,image_stim_n.png,475.3931831466034,0.5365515565499663,32,0.6861204304732382,475.24361427268013,2019102308,female,Wednesday,474.70706271613017,neg,470.99553250917234,336,472.6934780278243,42,22,180,48,y,3.1728286127179004,6,3.14,471.6930253759492,0.6974928667768836,12,rumor,23,faceWord_exp
1,image_stim_n.png,487.99377900455147,0.5534292787779123,42,0.6863421048037708,487.8608661785256,2019102308,female,Wednesday,487.3074368997477,neu,480.9961802086327,180,482.6938414967153,42,22,336,49,y,0.4070035035588155,6,5.21,481.6934539678041,0.6972737591713667,13,church,23,faceWord_exp
1,image_stim_n.png,495.3941256632097,0.7364292666316032,42,0.6858002697117627,495.44475466012955,2019102308,female,Wednesday,494.70832539349794,neu,490.9963351560291,336,492.694358629873,42,22,180,50,y,-0.4928774877246448,6,5.89,491.6939656471368,0.6976304911077023,13,chair,23,faceWord_exp
1,image_stim_n.png,507.99477509525605,0.5696952315047383,32,0.6859635582659394,507.87850676849484,2019102308,female,Wednesday,507.3088115369901,neg,500.9973341340665,180,502.6947836927138,42,22,336,51,y,3.587794463102913,6,1.94,501.6943807650823,0.6970466310158372,12,prison,23,faceWord_exp
1,image_stim_p.png,515.3950306461193,0.6693129637278616,31,0.6855083398986608,515.3788352699485,2019102308,female,Wednesday,514.7095223062206,pos,510.9975718483329,336,512.6953309811652,42,21,180,52,b,-1.071197614358652,6,7.33,511.69493671529926,0.6973648669663817,11,chipmunk,23,faceWord_exp
1,image_stim_p.png,527.9956986845937,0.6195562281645834,41,0.6857438087463379,527.9295111040119,2019102308,female,Wednesday,527.3099548758473,neu,520.9982182646636,180,522.6957464199513,42,21,336,53,b,-0.8574934623041074,6,5.26,521.695334830787,0.6971165661234409,13,accordion,23,faceWord_exp
1,image_stim_p.png,537.9961163690314,0.6862984756007791,41,0.6857351469807327,537.9966796976514,2019102308,female,Wednesday,537.3103812220506,neu,530.9986186258029,180,532.6961981093045,42,21,336,54,b,0.597486551423763,6,5.9,531.6957743298262,0.6971557040233165,13,medicine,23,faceWord_exp
1,image_stim_n.png,545.3964517996646,1.2368610664270818,42,0.6862978339195251,545.9470150321722,2019102308,female,Wednesday,544.7101539657451,neu,540.998195487773,336,542.6966748214327,42,22,180,55,y,0.38949539348709145,6,5.29,541.6962869716808,0.6980914839077741,13,era,23,faceWord_exp
1,image_stim_n.png,555.396916321246,0.6364637850783765,32,0.6860889918170869,555.3472911145072,2019102308,female,Wednesday,554.7108273294289,neg,550.99931765371,336,552.6971390221734,42,22,180,56,y,4.2219398121868315,6,2.29,551.6967518138699,0.6974341601599008,12,guilt,23,faceWord_exp
1,image_stim_p.png,565.397368010832,0.8530697238165885,31,0.6858214428648353,565.5646162917838,2019102308,female,Wednesday,564.7115465679672,pos,560.9997885914054,336,562.6974960749503,42,21,180,57,b,-2.3709211732995845,6,6.37,561.697285308037,0.6974967166315764,11,parade,23,faceWord_exp
1,image_stim_p.png,577.9979738134425,0.48656448465771973,31,0.6861634177621454,577.7983748803381,2019102308,female,Wednesday,577.3118103956804,pos,571.0005764814559,180,572.6980699899141,42,21,336,58,b,-2.539279812815429,6,7.63,571.6977386013605,0.697162119904533,11,chocolate,23,faceWord_exp
1,image_stim_p.png,587.9984280692879,0.636608466738835,41,0.6861926107667387,587.94884392526,2019102308,female,Wednesday,587.3122354585212,neu,581.0008902258705,180,582.6983846968506,42,21,336,59,b,0.1576901893660491,6,5.49,581.6981296592858,0.6972394334152341,13,table,23,faceWord_exp
1,image_stim_p.png,597.9988403001335,0.6696542971767485,31,0.6859401394613087,597.9825544578489,2019102308,female,Wednesday,597.3129001606721,pos,591.0012363714632,180,592.6990834041499,42,21,336,60,b,-2.035068499528653,6,6.67,591.6985611382406,0.6973247667774558,11,dolphin,23,faceWord_exp
