ID,img,correct_resp,img_trigger,onset_img,word_label,pause_trigger_t,session,duration_measured_img,response,delay_frames_before,condition,onset_word,scan day,delay_frames_after,pause_trigger,word,key_t,word_trigger,duration_frames,offset_word,no,duration_measured_word,gender,word_score_pc,rt,offset_img,age,word_score_warriner
77,image_stim_p.png,1,21,208.42505710299884,pos,203.79567528500047,2,0.7061441060068319,b,336,faceWord_exp,202.0985944629938,Monday,180,31,tree,208.98417893900478,11,42,202.79471130200545,21,0.6961168390116654,female,-1.3695211950901562,0.5591218360059429,209.13120120900567,25,7.59
77,image_stim_p.png,0,21,218.47985897499893,pos,213.85038201100542,2,0.7060062789969379,y,336,faceWord_exp,212.153970800995,Monday,180,31,carnival,219.021757747003,11,42,212.8494420539937,22,0.6954712529986864,female,-2.4114282062334524,0.5418987720040604,219.18586525399587,25,6.48
77,image_stim_p.png,1,21,225.916885507002,pos,223.88858175299538,2,0.7059774279914564,b,180,faceWord_exp,222.19236114100204,Monday,336,31,fireworks,226.59388523400412,11,42,222.887579369999,23,0.6952182289969642,female,-1.926056195769395,0.6769997270021122,226.62286293499346,25,6.8
77,image_stim_p.png,1,21,238.5537792249961,pos,233.92700132699974,2,0.6908804819977377,b,336,faceWord_exp,232.23102341599588,Monday,180,31,spaghetti,238.87947179000184,11,42,232.9261917249969,24,0.6951683090010192,female,-1.7539828459428422,0.3256925650057383,239.24465970699384,25,6.91
77,image_stim_p.png,1,21,245.97600979199342,neu,243.94844157999614,2,0.7052403609995963,b,180,faceWord_exp,242.24977937000222,Monday,336,41,monkey,246.41804069800128,13,42,242.94702131400118,25,0.6972419439989608,female,-0.6680004122251881,0.442030906007858,246.68125015299302,25,5.82
77,image_stim_p.png,1,21,258.61244235400227,pos,253.98480856099923,2,0.6908965449983953,b,336,faceWord_exp,252.28947417500603,Monday,180,31,embrace,259.09088899100607,11,42,252.9844071020052,26,0.6949329269991722,female,-2.461915733068042,0.47844663700379897,259.30333889900066,25,7.0
77,image_stim_n.png,1,22,268.6341240119946,neu,264.0062360709999,2,0.6907068520085886,y,336,faceWord_exp,262.30844501400134,Monday,180,42,business,268.92861842599814,13,42,263.00547109299805,27,0.6970260789967142,female,-0.06058349899147484,0.2944944140035659,269.32483086400316,25,5.48
77,image_stim_n.png,1,22,276.0587268090021,neu,274.02736167400144,2,0.7033947799936868,y,180,faceWord_exp,272.33031506399857,Monday,336,42,scissors,276.38279918799526,13,42,273.0264988590061,28,0.6961837950075278,female,0.4272037094573085,0.3240723789931508,276.7621215889958,25,5.03
77,image_stim_p.png,1,21,286.09374977600237,pos,284.066357771997,2,0.706352066990803,b,180,faceWord_exp,282.36888733100204,Monday,336,31,optimism,286.65389831400535,11,42,283.06519569399825,29,0.6963083629962057,female,-2.7563434535584275,0.5601485380029771,286.8001018429932,25,7.21
77,image_stim_p.png,1,21,296.13345390600443,neu,294.10524151100253,2,0.7050624479888938,b,180,faceWord_exp,292.408919649999,Monday,336,41,apartment,296.5587400219956,13,42,293.10415551900223,30,0.695235869003227,female,-0.5485436049411244,0.4252861159911845,296.8385163539933,25,5.72
77,image_stim_p.png,1,21,306.16829125500226,pos,304.14320705299906,2,0.6915197369962698,b,180,faceWord_exp,302.44722958799684,Monday,336,31,joke,306.6138442590018,11,42,303.14157493799576,31,0.6943453499989118,female,-1.8879163634684628,0.445553003999521,306.85981099199853,25,7.88
77,image_stim_p.png,1,21,318.7894816240005,pos,314.1633828969934,2,0.6920831839961465,b,336,faceWord_exp,312.46649603400147,Monday,180,31,musical,319.2859187879949,11,42,313.1622102789988,32,0.6957142449973617,female,-1.3503642789447028,0.49643716399441473,319.4815648079966,25,7.68
77,image_stim_p.png,1,21,326.21054838800046,pos,324.1848013389972,2,0.6916750789969228,b,180,faceWord_exp,322.48950178100495,Monday,336,31,restaurant,326.70557684499363,11,42,323.18417759099975,33,0.6946758099948056,female,-2.0702836690965865,0.4950284569931682,326.9022234669974,25,6.95
77,image_stim_n.png,1,22,336.2370564890007,neg,334.2066570570023,2,0.7042876089981291,y,180,faceWord_exp,332.508127544992,Monday,336,32,lab,336.7592504280037,12,42,333.2053251930047,34,0.6971976480126614,female,0.2032181950076048,0.5221939390030457,336.9413440979988,25,4.57
77,image_stim_n.png,1,22,346.27595605599345,neg,344.24559171599685,2,0.7028911200031871,y,180,faceWord_exp,342.5491062969959,Monday,336,32,problem,346.69814542699896,12,42,343.2446047340054,35,0.695498437009519,female,4.02985566434138,0.42218937100551557,346.97884717599663,25,3.52
77,image_stim_n.png,1,22,356.3098976610054,neg,354.28245904200594,2,0.7066465179959778,y,180,faceWord_exp,352.5842295939947,Monday,336,32,sick,356.62051933200564,12,42,353.2812103519973,36,0.69698075800261,female,3.4738609063027237,0.3106216710002627,357.01654417900136,25,2.29
77,image_stim_p.png,1,21,366.3479038229998,neu,364.3203767560044,2,0.6900703120045364,b,180,faceWord_exp,362.62263120499847,Monday,336,41,camel,366.89011849899543,13,42,363.31939964300545,37,0.6967684380069841,female,0.0657349158769076,0.5422146759956377,367.03797413500433,25,5.29
77,image_stim_p.png,1,21,376.367748425997,pos,374.3419244550023,2,0.6923341680085286,b,180,faceWord_exp,372.64406432599935,Monday,336,31,knowledge,376.9957111900003,11,42,373.3406854109926,38,0.6966210849932395,female,-1.6425048482978826,0.6279627640033141,377.0600825940055,25,7.28
77,image_stim_n.png,1,22,386.3929169339972,neg,384.3630935550027,2,0.7059193180029979,y,180,faceWord_exp,382.6645233659947,Monday,336,32,jaw,386.9347520099982,12,42,383.3637216729985,39,0.6991983070038259,female,0.16339675594021513,0.5418350760010071,387.0988362520002,25,4.41
77,image_stim_n.png,1,22,399.031983148001,neg,394.402672021999,2,0.7059685949934646,y,336,faceWord_exp,392.70863835800264,Monday,180,32,terrorist,399.3580076340004,12,42,393.40163367999776,40,0.692995321995113,female,4.537930167489568,0.32602448599936906,399.7379517429945,25,2.35
77,image_stim_n.png,1,22,406.4687548649963,neg,404.4407796260057,2,0.706076643007691,y,180,faceWord_exp,402.7444026769954,Monday,336,32,perjury,406.7951926370006,12,42,403.4402543489996,41,0.6958516720042098,female,3.222893544100452,0.32643777200428303,407.174831508004,25,2.95
77,image_stim_n.png,1,22,416.5067443470034,neg,414.47885634200065,2,0.7062053699919488,y,180,faceWord_exp,412.7827537150006,Monday,336,32,landslide,416.83313653900404,12,42,413.47787827999855,42,0.6951245649979683,female,3.561717315569441,0.3263921920006396,417.21294971699535,25,4.76
77,image_stim_n.png,1,22,426.5588584109937,neg,424.5336413089972,2,0.6922805380017962,y,180,faceWord_exp,422.8370104219939,Monday,336,32,cough,426.8198686419928,12,42,423.5319748699985,43,0.6949644480046118,female,2.483224745184551,0.2610102309990907,427.2511389489955,25,3.57
77,image_stim_p.png,1,21,439.21909426500497,neu,434.58843559799425,2,0.7047010679962113,b,336,faceWord_exp,432.89196265999635,Monday,180,41,toaster,439.6928348329966,13,42,433.5874580779928,44,0.6954954179964261,female,-0.5451009915059291,0.47374056799162645,439.9237953330012,25,5.8
