offset_img,ID,word_label,onset_img,delay_frames_after,key_t,no,img_trigger,word,duration_frames,correct_resp,response,session,duration_measured_word,scan day,age,delay_frames_before,duration_measured_img,rt,word_trigger,pause_trigger,img,condition,word_score_pc,gender,offset_word,onset_word,word_score_warriner,pause_trigger_t
258.6742915629875,matilde,neu,257.98343562398804,180,258.49342472999706,26,21,rocket,42,1,b,1,0.6955871419922914,Monday,24,336,0.690855938999448,0.5099891060090158,13,41,image_stim_p.png,faceWord_exp,-0.17528733847197087,female,252.35748659199453,251.66189945000224,5.8,253.35810702698654
268.6907341259939,matilde,pos,267.9995191519847,180,268.4767351629853,27,21,garden,42,1,b,1,0.6956079439842142,Monday,24,336,0.6912149740091991,0.4772160110005643,11,31,image_stim_p.png,faceWord_exp,-2.3673221107876317,female,262.37417770098546,261.67856975700124,7.25,263.3745216849784
278.70727993999026,matilde,neu,278.01521969097666,180,278.57644967298256,28,21,treaty,42,1,b,1,0.6960316360055003,Monday,24,336,0.6920602490135934,0.5612299820058979,13,41,image_stim_p.png,faceWord_exp,-0.7213913907893977,female,272.3907472899882,271.6947156539827,5.42,273.3910962899972
286.12267075499403,matilde,pos,285.433434089995,336,285.9096849449852,29,21,lake,42,1,b,1,0.695982344012009,Monday,24,180,0.6892366649990436,0.47625085499021225,11,31,image_stim_p.png,faceWord_exp,-1.5151286486205269,female,282.40726602700306,281.71128368299105,7.13,283.40775544598
298.740128179983,matilde,neu,298.049052250979,180,298.4923377719824,30,22,spatula,42,0,b,1,0.694695457990747,Monday,24,336,0.6910759290040005,0.44328552100341767,13,42,image_stim_n.png,faceWord_exp,-0.18281188470513854,female,292.4226670609787,291.72797160298796,5.14,293.424303658976
308.7731020129868,matilde,neu,308.0686796079972,180,308.60931598200114,31,21,fiddle,42,1,b,1,0.6933704660041258,Monday,24,336,0.7044224049896002,0.5406363740039524,13,41,image_stim_p.png,faceWord_exp,-1.0601571884744718,female,302.44024597798125,301.7468755119771,5.05,303.4407600509876
318.78983513999265,matilde,neg,318.0991559519898,180,318.6598286169756,32,22,lonely,42,1,y,1,0.6947537520027254,Monday,24,336,0.6906791880028322,0.5606726649857592,12,32,image_stim_n.png,faceWord_exp,4.010420717126172,female,312.47341568098636,311.77866192898364,2.67,313.4738060279924
326.22319195899763,matilde,pos,325.5188600209949,336,326.0764259150019,33,21,plum,42,1,b,1,0.6962600169936195,Monday,24,180,0.7043319380027242,0.5575658940069843,11,31,image_stim_p.png,faceWord_exp,-1.1648995537800455,female,322.48941216399544,321.7931521470018,6.15,323.49126309200074
336.23957185298786,matilde,neu,335.54895493699587,336,336.0770646799938,34,22,field,42,1,y,1,0.6957145629858132,Monday,24,180,0.6906169159919955,0.5281097429979127,13,42,image_stim_n.png,faceWord_exp,-0.9990759838186469,female,332.523124712985,331.8274101499992,5.73,333.52375274299993
346.25653649200103,matilde,neg,345.56713175200275,336,346.1762757039978,35,22,deceit,42,1,y,1,0.6956980469985865,Monday,24,180,0.689404739998281,0.6091439519950654,12,32,image_stim_n.png,faceWord_exp,4.314775126713813,female,342.5397544299776,341.84405638297903,2.89,343.54014329597703
356.2894719399919,matilde,pos,355.58515958097996,336,356.09166643899516,36,21,sled,42,1,b,1,0.6961695140053052,Monday,24,180,0.7043123590119649,0.5065068580152001,11,31,image_stim_p.png,faceWord_exp,-1.9273821271493088,female,352.5561273909989,351.8599578769936,6.35,353.55655168098747
368.905905194988,matilde,pos,368.21639170497656,180,368.85984934697626,37,21,moral,42,0,y,1,0.6956144339928869,Monday,24,336,0.6895134900114499,0.6434576419997029,11,31,image_stim_p.png,faceWord_exp,-1.1443669013398097,female,362.58933671799605,361.89372228400316,6.85,363.5899711579841
376.3390758049791,matilde,pos,375.6337131629989,336,376.2415374069824,38,21,wealthy,42,1,b,1,0.6931639270042069,Monday,24,180,0.7053626419801731,0.6078242439834867,11,31,image_stim_p.png,faceWord_exp,-1.8465637543339983,female,372.6057884549955,371.9126245279913,6.37,373.6063646049879
388.9722463229846,matilde,neg,388.26653880497906,180,388.9585113749781,39,22,victim,42,0,b,1,0.6955552569997963,Monday,24,336,0.7057075180055108,0.6919725699990522,12,32,image_stim_n.png,faceWord_exp,3.457530661450998,female,382.63913430599496,381.94357904899516,2.05,383.6397598850017
399.00554317899514,matilde,neu,398.3012201359961,180,399.0251681879745,40,22,beer,42,1,y,1,0.6959766109939665,Monday,24,336,0.7043230429990217,0.7239480519783683,13,42,image_stim_n.png,faceWord_exp,-0.9222259722889368,female,392.672268979979,391.976292368985,5.67,393.6727118639974
409.0220929829811,matilde,neg,408.33214943198254,180,409.1752175639849,41,22,jury,42,1,y,1,0.6946353889943566,Monday,24,336,0.6899435509985778,0.8430681320023723,12,32,image_stim_n.png,faceWord_exp,1.7036686386059527,female,402.7053781769937,402.01074278799933,4.23,403.70590776597965
419.05537723499583,matilde,pos,418.3517017669801,180,419.242018859979,42,21,love,42,1,b,1,0.6960334249888547,Monday,24,336,0.7036754680157173,0.8903170929988846,11,31,image_stim_p.png,faceWord_exp,-2.40140153221556,female,412.72202831399045,412.0259948890016,8.0,413.7218569149845
426.4717091299826,matilde,pos,425.78213203698397,336,426.4921110869909,43,21,woman,42,1,b,1,0.6955221529933624,Monday,24,180,0.6895770929986611,0.7099790500069503,11,31,image_stim_p.png,faceWord_exp,-1.7483058493195842,female,422.7551076679956,422.05958551500225,7.09,423.75571810198016
439.105149230978,matilde,pos,438.3999038019974,180,438.9409237789805,44,21,limousine,42,1,b,1,0.6963918149995152,Monday,24,336,0.705245428980561,0.5410199769830797,11,31,image_stim_p.png,faceWord_exp,-1.4783411251765788,female,432.7717695979809,432.0753777829814,6.14,433.77227409699117
449.1382359559939,matilde,neu,448.4350246669783,180,448.92632953397697,45,22,bridge,42,1,y,1,0.6932043379929382,Monday,24,336,0.7032112890155986,0.49130486699868925,13,42,image_stim_n.png,faceWord_exp,0.1935892361901769,female,442.80513586697634,442.1119315289834,5.44,443.8054520250007
459.1548019729962,matilde,neu,458.46459871699335,180,459.30784614299773,46,21,famous,42,1,b,1,0.6958764729788527,Monday,24,336,0.6902032560028601,0.8432474260043819,13,41,image_stim_p.png,faceWord_exp,-0.8050043475134195,female,452.83829302198137,452.1424165490025,5.89,453.8387468709843
466.5879619369807,matilde,pos,465.8827339349955,336,466.4264466939785,47,21,pineapple,42,1,b,1,0.6946700859989505,Monday,24,180,0.7052280019852333,0.5437127589830197,11,31,image_stim_p.png,faceWord_exp,-1.6708771386143015,female,462.8541662549833,462.15949616898433,6.9,463.85515070098336
479.22121508797863,matilde,neu,478.5159704120015,180,479.1421708400012,48,21,embassy,42,1,b,1,0.6950907850114163,Monday,24,336,0.7052446759771556,0.62620042799972,13,41,image_stim_p.png,faceWord_exp,-0.05916451699915906,female,472.8875188799866,472.1924280949752,5.3,473.8885554909939
489.2369773469982,matilde,neu,488.54835957297473,180,489.0579280089878,49,21,truck,42,1,b,1,0.6958355699898675,Monday,24,336,0.6886177740234416,0.509568436013069,13,41,image_stim_p.png,faceWord_exp,-0.5907285556577869,female,482.9212462469877,482.22541067699785,5.16,483.9216231049795
499.2540798999835,matilde,neu,498.56275817999267,180,499.0908301539894,50,21,tomato,42,1,b,1,0.6956076039932668,Monday,24,336,0.6913217199908104,0.5280719739967026,13,41,image_stim_p.png,faceWord_exp,-1.3575770021145472,female,492.93768759598606,492.2420799919928,5.8,493.93822372998693
506.6875905029883,matilde,neg,505.9822806369921,336,506.4910277769959,51,22,mouse,42,1,y,1,0.6958164930110797,Monday,24,180,0.7053098659962416,0.5087471400038339,12,32,image_stim_n.png,faceWord_exp,1.5906822936049958,female,502.9542520919931,502.25843559898203,4.8,503.9547734669759
516.7207205070008,matilde,neg,516.0152924360009,336,517.0234346819925,52,22,policeman,42,1,y,1,0.6929440460226033,Monday,24,180,0.7054280709999148,1.0081422459916212,12,32,image_stim_n.png,faceWord_exp,0.397042668763988,female,512.987432613998,512.2944885679753,4.21,513.9879041340027
529.3538909899944,matilde,pos,528.6493578179798,180,529.2734525440028,53,21,happy,42,1,b,1,0.6955033679842018,Monday,24,336,0.7045331720146351,0.6240947260230314,11,31,image_stim_p.png,faceWord_exp,-3.1501939707833047,female,523.0203695499804,522.3248661819962,8.47,524.0210607249755
539.3869342689868,matilde,neg,538.6818057849887,180,539.3556452929915,54,22,meeting,42,1,y,1,0.6953244220057968,Monday,24,336,0.7051284839981236,0.6738395080028567,12,32,image_stim_n.png,faceWord_exp,0.7573178762670367,female,533.0537910139828,532.358466591977,4.55,534.0543439890025
549.4200963419862,matilde,pos,548.7146320089814,180,549.2563409519789,55,21,boat,42,1,b,1,0.6956040560035035,Monday,24,336,0.7054643330047838,0.5417089429975022,11,31,image_stim_p.png,faceWord_exp,-1.0613549170130714,female,543.0868385949871,542.3912345389836,6.36,544.0870607929828
556.8366016380023,matilde,neg,556.147508317983,336,556.7557690939866,56,22,sandpaper,42,1,y,1,0.6951758849900216,Monday,24,180,0.6890933200193103,0.6082607760035899,12,32,image_stim_n.png,faceWord_exp,0.5814463879932942,female,553.1201013439859,552.4249254589959,4.95,554.1207285239943
566.8700810379814,matilde,neu,566.1645539649762,336,566.6893224349769,57,21,whale,42,1,b,1,0.6955692420015112,Monday,24,180,0.7055270730052143,0.5247684700007085,13,41,image_stim_p.png,faceWord_exp,-0.8455595735963974,female,563.1365254849952,562.4409562429937,5.81,564.1372834929789
576.8864547039848,matilde,pos,576.1973618019838,336,576.7566865949775,58,21,new,42,1,b,1,0.6937822950130794,Monday,24,180,0.6890929020009935,0.5593247929937206,11,31,image_stim_p.png,faceWord_exp,-1.2313279950095668,female,573.1697541309986,572.4759718359855,7.68,574.1704578039935
586.9196151029901,matilde,neg,586.2163712070032,336,586.8387759649777,59,22,aggressive,42,1,y,1,0.6928763219912071,Monday,24,180,0.7032438959868159,0.6224047579744365,12,32,image_stim_n.png,faceWord_exp,2.166851165767892,female,583.1864669059869,582.4935905839957,3.08,584.1869653250033
599.5699153239839,matilde,pos,598.8644850539858,180,599.3889971209865,60,21,kiss,42,1,b,1,0.6959313200204633,Monday,24,336,0.7054302699980326,0.5245120670006145,11,31,image_stim_p.png,faceWord_exp,-2.8785481086132907,female,593.2361321990029,592.5402008789824,7.78,594.2368058849825
